x	Y_20180224_15102_1_4g	Y_20180224_15102_10_1g	Y_20180224_15102_11_9g	Y_20180224_15102_12_14g	Y_20180224_15102_12_5g	Y_20180224_15102_12_7g	Y_20180224_15102_13_4_2g	Y_20180224_15102_15_3g	Y_20180224_15102_15_4g	Y_20180224_15102_15_7g	Y_20180224_15102_16_1g	Y_20180224_15102_17_2g	Y_20180224_15102_17_4g	Y_20180224_15102_17_7g	Y_20180224_15102_19_2g	Y_20180224_15102_2_3g	Y_20180224_15102_20_12g	Y_20180224_15102_20_1g	Y_20180224_15102_21_1_S_g	Y_20180224_15102_21_5g	Y_20180224_15102_21_6g	Y_20180224_15102_21_8g	Y_20180224_15102_22_3g	Y_20180224_15102_23_1g	Y_20180224_15102_24_4g	Y_20180224_15102_24_5g	Y_20180224_15102_24_6g	Y_20180224_15102_25_12g	Y_20180224_15102_25_14g	Y_20180224_15102_25_5g	Y_20180224_15102_25_7_1g	Y_20180224_15102_25_7_2g	Y_20180224_15102_26_6g	Y_20180224_15102_27_14g	Y_20180224_15102_27_3g	Y_20180224_15102_28_11_2_S_g	Y_20180224_15102_28_4g	Y_20180224_15102_29_4_1g	Y_20180224_15102_29_5g	Y_20180224_15102_3_5g	Y_20180224_15102_4_1g	Y_20180224_15102_5_1g	Y_20180224_15102_6_4g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_7_4g	Y_20180224_15102_9_5g
0	15578.498	13652.516	17087.256	17159.43	17023.801	14472.872	20116.746	15436.544	14573.712	14196.367	14027.705	13120.159	15091.903	14616.667	13174.599	17528.461	13822.217	17872.367	14544.403	16351.483	13427.061	16082.186	13968.646	14448.272	14074.186	14103.217	15130.57	15829.749	15480.61	14723.217	13163.626	16498.016	15521.897	15970.773	13462.706	14045.687	15317.3	15030.881	15499.212	14864.291	15560.334	14128.1	15095.591	16334.945	16149.098	14447.211	17603.391
0.1334	17682.518	16000.985	20526.357	18692.168	19349.018	15187.166	18355.928	15576.026	14936.757	14923.592	14624.529	13721.608	16776.047	14870.6	14041.747	20509.943	15101.713	19251.172	16091.567	18352.957	14400.424	16276.862	14340.366	15701.927	15438.944	16095.354	15735.834	15670.863	16601.461	16039.639	13393.82	19340.742	16688.584	16746.035	14409.435	14571.82	18124.359	17414.49	18104.461	15673.826	18116.355	15468.613	16300.188	19531.223	16893.717	16410.965	21322.504
0.2668	21260.715	20759.672	27199.506	20747.596	24546.498	16998.016	21222.148	20171.355	15032.368	15678.116	16124.785	14624.362	19869.578	16578.373	17761.348	27047.234	15714.188	25280.342	19011.586	24949.193	16140.446	17712.793	15618.66	18618.75	17281.432	21582.588	19383.738	18308.131	19793.906	19776.152	15443.665	23022.838	19096.961	20422.955	15544.563	17268.121	22730.564	21815.709	26831.635	17902.227	26375.49	19850.814	20135.365	26234.082	17313.389	19123.42	28459.984
0.4003	26429.658	28964.363	31988.02	26264.557	32015.438	20901.391	25279.223	26415.924	15997.438	17135.252	19026.551	18071.666	24070.652	18048.607	25259.438	37406.645	18520.605	31801.107	23813.328	32351.428	20407.102	22199.738	18192.006	22179.154	21832.131	30488.615	26300.486	24510.477	25817.762	23065.447	20159.1	26895.361	26123.412	25006.096	17693.51	20051.801	26813.777	27808.168	38161.938	21103.281	34263.027	30551.879	28181.562	28573.947	19202.752	19155.422	31632.396
0.5337	26068.867	33387.824	30909.055	35997.438	36973.68	26438.867	25290.412	28233.793	19178.041	19621.684	19459.791	25002.057	24716.84	22143.625	37858.148	42550.824	26943.49	31083.334	24472.379	30052.842	23270.518	29970.199	18608.305	24890.621	28334.594	36741.938	26592.037	38549.285	29760.201	23052.811	26659.227	23682.23	32846.793	27239.219	23090.256	20851.814	24824.674	25614.457	38648.016	21698.787	30939.062	36468.809	37932.305	26949.25	22900.543	17769.402	29210.531
0.6671	21844.41	28627.244	26090.053	42585.074	38773.547	25856.787	21864.855	22733.688	19775.486	22064.957	19459.73	25319.596	21560.691	20629.779	42133.539	37427.785	33473.105	24891.094	23822.373	24452.529	21630.824	33736.406	18926.816	21417.232	28793.082	31191.535	23948.365	50673.953	27338.498	19731.695	28136.498	21646.539	34234.574	24996.139	29893.951	19642.447	22157.986	22577.797	28719.506	19127.363	25196.504	32388.639	38635.23	20876.104	26982.684	17915.279	22915.521
0.8005	16846.176	26235.215	22357.822	37855.77	39508.75	22537.922	20553.711	19159.729	17416.332	21275.211	17043.863	22511.602	20112.551	17900.98	32946.852	29512.467	29506.604	21739.232	18572.18	21172.068	18465.381	29355.891	17645.881	19336.318	22296.721	27747.062	20407.217	48629.223	23146.662	17214.033	23102.844	20493.146	28342.23	22317.391	30378.365	19927.451	18283.387	20043.268	22345.494	18040.393	23225.734	27499.938	29402.041	18905.395	25320.43	17039.955	19412.682
0.934	14864.294	24193.604	20223.861	30537.188	35791.844	20182.723	19864.088	19051.051	15831.809	19324.371	16963.926	20411.037	17434.447	15893.784	24531.791	25450.381	23037.02	19635.67	16518.832	18504.826	16224.732	23410.217	17905.893	18659.375	19598.223	23032.414	18738.764	38548.074	19953.066	15251.341	18991.285	19824.854	23579.154	18182.588	25634.418	18734.281	17077.615	17967.123	20360.246	17457.85	22785.174	28742.527	24706.957	18091.475	24307.062	16067.206	17637.074
1.0674	13171.333	22638.043	19585.604	26409.359	29944.166	19243.928	17565.555	18176.475	15902.166	19237.637	16569.936	19542.256	15551.208	17379.125	21396.488	22184.494	19428.818	20570.182	15729.168	18132.871	15159.687	21056.768	17643.424	17496.113	18628.777	21826.68	17195.551	28109.188	18821.188	15191.822	19647.559	19069.998	20712.979	16623.895	22935.623	17538.242	17364.58	16295.025	19171.811	16437.396	22263.857	28118.121	20228.881	17840.18	22559.354	15796.602	17904.219
1.2008	13148.609	20146.695	18581.137	24149.502	26741.531	17030.504	16446.334	17110.98	15770.297	18589.777	17129.625	19124.299	15389.209	14606.545	21530.943	20539.656	17543.494	19856.018	15252.47	16309.667	14463.831	19051.049	17654.027	16685.881	17724.564	20207.902	16666.646	25844.109	18940.145	15322.25	20338.443	17904.85	20614.316	15546.131	22347.512	16431.791	17613.148	15369.306	19018.982	16439.178	22045.715	25717.438	18820.475	18549.408	20868.072	16534.23	18455.689
