x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_13g	Y_20180130_15100b_1_1g	Y_20180130_15100b_1_2g	Y_20180130_15100b_1_5g	Y_20180130_15100b_1_8g	Y_20180130_15100b_10_12g	Y_20180130_15100b_10_13g	Y_20180130_15100b_10_14g	Y_20180130_15100b_10_7g	Y_20180130_15100b_11_11g	Y_20180130_15100b_11_2g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_1g	Y_20180130_15100b_12_8g	Y_20180130_15100b_13_10g	Y_20180130_15100b_13_14g	Y_20180130_15100b_13_2g	Y_20180130_15100b_13_4g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_9g	Y_20180130_15100b_15_12g	Y_20180130_15100b_15_15_1g	Y_20180130_15100b_15_15_2g	Y_20180130_15100b_15_2g	Y_20180130_15100b_15_7g	Y_20180130_15100b_16_12g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_3g	Y_20180130_15100b_17_4g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_10g	Y_20180130_15100b_18_11g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_18g	Y_20180130_15100b_18_2g	Y_20180130_15100b_18_8g	Y_20180130_15100b_18_9g	Y_20180130_15100b_19_13g	Y_20180130_15100b_19_1g	Y_20180130_15100b_2_1g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_8g	Y_20180130_15100b_2_9g	Y_20180130_15100b_20_14g	Y_20180130_15100b_20_5_2g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_1g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_17g	Y_20180130_15100b_22_19g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_3_10g	Y_20180130_15100b_3_11g	Y_20180130_15100b_4_12g	Y_20180130_15100b_4_17g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_24g	Y_20180130_15100b_4_4g	Y_20180130_15100b_4_7g	Y_20180130_15100b_5_15g	Y_20180130_15100b_5_17g	Y_20180130_15100b_5_20g	Y_20180130_15100b_5_3g	Y_20180130_15100b_6_2g	Y_20180130_15100b_6_3g	Y_20180130_15100b_6_4g	Y_20180130_15100b_6_5g	Y_20180130_15100b_6_8g	Y_20180130_15100b_7_13g	Y_20180130_15100b_7_15g	Y_20180130_15100b_7_16g	Y_20180130_15100b_7_2g	Y_20180130_15100b_7_7g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_3g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_7g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100b_9_6g	Y_20180130_15100b_9_7g
1.3342	38104.441	36176.023	34833.777	41872.945	41527.773	57587.789	40784.047	35844.684	37647.023	44644.238	35458.953	40703.238	34429.051	35750.484	36801.082	35331.727	38642.125	33804.84	40021.324	37841.082	40235.727	33717.871	38136.973	44473.918	39547.598	35689.082	42159.52	41360.672	39125.75	36189.547	43082.527	34417.961	38536.465	35688.398	35802.539	32390.48	28256.367	39172.219	36193.52	36954.906	31424.148	37523.188	40314.324	38347.934	38829.449	46733.734	40038.555	36498.145	42995.504	36768.723	40950.715	39591.91	33838.832	31779.969	39564.656	36954.777	36239.793	37595.129	44019.926	32174.602	40050.645	37092.789	37752.906	39551.832	39866.82	38556.316	36077.742	46507.945	40202.168	36605.422	40569.578	38280.605	35304.547	46349.34	42536.332	37705.168	36563.707	35388.73	38341.906	34109.766	40692.438	39388.801	40681.535	37624.285	37921.574	48771.395
1.4676	39169.062	39197.438	41622.066	46493.547	42886.547	87432.875	49247.723	38006.957	44088.789	59239.754	40177.746	43857.094	35232.555	37468.98	39454.285	40923.062	40724.535	36969.648	46635.18	38679.453	39758.438	34341.727	38977.535	47545.391	41973.742	43383.805	51343.152	43532.543	39261.082	42957.18	59381.934	35664.844	43174.902	39087.172	37173.391	32492.705	28805.17	42831.496	36750.562	38940.66	31496.816	39207.023	43549.902	44593.844	41898.379	53095.816	46051.875	36788.059	50612.34	38568.867	44367.09	43908.863	35983.035	31622.451	43324.012	37487.391	36861.086	38826.887	53789.695	33917.594	44023.945	37538.871	39657.434	43297.727	41073.199	39539.887	36515.117	62281.578	41770.633	39410.109	43856.934	41283.68	36013.73	58195.094	50614.34	40430.645	37746.082	36405.727	41964.32	34242.473	42795.559	40929.801	46074.824	39236.18	39762.586	62946.324
1.6011	39393.367	39429.391	52534.062	59415.832	46569.633	127249.148	71588.258	44607.398	54446.262	86122.984	54611.352	54338.422	35681.387	38958.453	49836.512	49561.773	46722.004	41449.012	61740.934	41372.121	43122.781	38087.875	41239.477	61158.566	43685.918	60866.324	68062.367	49777.449	42078.395	67108.438	89615.75	34982.668	53034.184	43321.281	37879.258	33103.727	29114.906	54576.059	40702.004	43508.672	34342.641	44260.602	53898.832	55738.266	50374.188	74639.273	56531.074	36363.996	65454.352	40262.199	49458.488	53163.367	37109.496	33105.309	48414.496	37607.473	41340.57	42131.281	74603.109	33225.449	53413.629	43450.434	46544.043	54057.898	44229.609	42927.02	39184.957	99167.625	46104.348	42979.242	50951.203	47964.465	40238.199	85889.633	64218.562	38591.133	39706.383	38772.188	48330.574	35996.285	48059.664	41906.824	56629.941	42832.332	46798.496	74762.516
1.7345	39734.121	42975.332	66368.547	82587.188	52865.191	104401.742	110396.75	58091.309	66894.562	134795.094	80487.023	80241.578	35820.961	42117.176	62893.363	65938.836	68477.906	51469.375	99070.008	51112.637	47110.406	47059.504	42157.965	97357.359	48703.629	97020.695	103794.625	63496.113	42828.422	101133.719	107583.539	35688.465	63793.418	53918.539	38677.355	40490.543	30383.254	69189.82	48252.605	54184.734	37615.289	55011.914	76526.836	79560.609	68322.234	120804.953	67316.391	38989.43	100251.32	52384.859	63455.168	79570.039	45436.434	40006.688	58573.602	43710.355	49572.281	46540.152	110214.734	34678.781	77838.414	50426.137	56497.93	80588.609	58231.199	48072.66	45035.762	114626.984	59801.699	57392.902	69957.258	63407.289	54881.07	119980.242	97950.008	40080.105	49118.172	41084.707	60397.699	37727.676	58460.875	46675.215	71746.992	51963.762	60016.973	75682.891
1.8679	40835.168	54392.004	71415.336	100365.32	73869.281	61866.672	126553.867	86035	66372.188	147667.672	104694.344	130760.469	39947.625	49326.484	74192.016	88894.094	89343.945	69223.648	118257.258	74059.109	58158.324	65787.703	46460.398	145599.734	61148.48	115498.938	133606.484	86316.844	49519.301	108573.914	84346.484	39576.887	60252.047	69227.859	39996.652	52501.75	31533.311	68048.961	68497	77531.688	43059.453	74311.453	109517.664	113421.32	109474.727	143513.219	59242.312	42423.016	113938.688	70249.656	87926.117	123946.234	65157.336	49368.863	76117.109	50846.891	68965.984	64039	119537.297	36017.637	98574.672	63450.445	82911.484	93520.711	86080.148	69052.383	59465.91	89345.898	85674.773	82800.453	92003.648	91457.016	88138.492	130302.914	124230.883	47894.25	62423.191	48361.66	79270.172	41700.746	84276.172	57618.453	96533.656	66752.875	86216.828	58305.918
2.0013	47732.758	77754.266	54819.699	82316.906	111405.547	43871.539	84268.219	99583.852	48775.004	104210.242	91512.945	150227.578	46572.758	63833.824	63250.477	85081.812	79438.922	74555.859	93569.492	78633.922	84767.734	94443.609	62293.328	128349.117	92962.844	90093.273	108019.188	93939.289	66970.273	77008.391	57970.746	47818.77	47314.438	65471.438	44185.855	67122.609	35323.262	55414.988	82460.32	93413.602	51155.742	83924.312	119037.453	114941.625	121330.445	105654.906	47899.312	57902.535	91409.117	76464.234	94875.938	126946.961	99563.227	70649.688	112424.359	72776.164	70259.742	94834.078	86661.961	39410.293	86258.078	85176.211	103084.016	77479.898	107301.984	100616.82	80358.43	58376.766	94187.195	93384.062	96636.852	102260.688	116225.742	99894.695	103584.07	61291.285	77889.906	70990.141	76620.547	52533.969	105654.625	79856.039	120512.164	80890.742	94359.703	47399.789
2.1348	59657.566	99116.766	42891.391	58568.082	135559.203	NaN	52009.871	82334.148	41173.07	65147.688	61716.234	113016.703	59495.309	98517.672	52528.75	56775.664	57828.93	59965.348	55965.574	60628.754	115815.977	104239.078	89020.273	79434.43	129127.867	60753.324	71073.914	70225.883	96380.414	47009.812	NaN	64311.305	NaN	51749.762	57437.125	66088.57	44638.203	46550.824	69450.406	75387.266	47725.973	68286.398	87281.875	82829.453	90692.445	65618.281	NaN	77471.539	63545.527	61512.277	77517.227	84937.023	118314.695	106452.844	156397.797	86547.836	55910.672	119255.578	62916.125	49811.648	58910.617	95476.758	85052.867	61504.613	87496.625	111620.922	78926.062	NaN	73987.672	72712.125	70687.523	74614.508	100158.234	62599.309	68364.477	84317.68	72119.5	87311.039	58455.848	74887.539	92343.828	115209.648	114860.305	70640.633	72881.617	NaN
2.2682	75167.594	90919.094	38260.512	44378.539	113610.781	NaN	41687.844	58419.762	NaN	48075.461	43956.121	72975.695	70905.195	131535.922	NaN	45342.758	45681.52	45834.754	NaN	47589.801	115319.93	78023.898	96207.531	57353.914	119356.406	44521.906	51667.219	51148.02	111348.773	37217.152	NaN	72275.766	NaN	42841.516	71919.281	47093.848	52850.195	40570.746	52712.637	55243.301	40438.547	50468.254	56472.789	57535.742	61814.375	48884.238	NaN	72651.758	54980.508	44872.738	54021.988	55569.566	86008.469	136526.422	153197.516	73015.625	43544.684	101857.375	NaN	71643.883	47307.605	79587.016	60534.598	49933.355	58761.391	85533.391	58930.105	NaN	55859.305	50202.105	52888.273	49626.789	64418.828	44690.684	49840.406	82756.406	51271.863	75815.562	46310.281	97696.266	65375.215	111741.359	82304.859	54243.957	52277.84	NaN
2.4016	75128.367	63198.98	36980.758	NaN	75227.031	NaN	39471.043	NaN	NaN	NaN	38479.133	54320.699	62628.383	118585.062	NaN	41553.453	NaN	38360.637	NaN	NaN	83174.133	49146.152	74677.75	49899.719	78109.781	NaN	NaN	44735.547	87610.016	NaN	NaN	65042.422	NaN	NaN	65919.391	37850.121	48779.793	39050.605	44364.844	42955.191	35709.379	42513.156	45313.449	48347.883	48360.004	41876.359	NaN	53857.609	NaN	40645.129	46135.895	44721.551	54319.227	110172.688	98580.484	52055.91	39239.582	66129.562	NaN	87162.641	41860.113	55791.008	48853.992	NaN	46236.434	58577.488	44654.695	NaN	NaN	NaN	45240.477	42257.547	46395.125	NaN	NaN	60021.039	42633.293	54784.844	NaN	90906.062	51491.949	81623.289	54286.207	45305.246	42996.73	NaN
2.535	58845.469	46879.031	NaN	NaN	54755.438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49664.961	75802.711	NaN	NaN	NaN	NaN	NaN	NaN	57686.344	40350.625	54133.781	NaN	54656.211	NaN	NaN	NaN	60903.418	NaN	NaN	47132.223	NaN	NaN	50370.391	NaN	38475.613	NaN	NaN	NaN	NaN	NaN	41738.34	44705.777	NaN	NaN	NaN	45063.453	NaN	36061.336	43978.848	NaN	41409.652	82095.328	60816.965	42527.625	37275.145	50336.914	NaN	75498.383	NaN	43585.684	NaN	NaN	NaN	47796.02	39515.336	NaN	NaN	NaN	42713.121	NaN	38262.043	NaN	NaN	47572.207	38249.566	NaN	NaN	60061.898	45703.488	60143.129	43654.785	41995.414	NaN	NaN
2.6684	47536.141	42096.191	NaN	NaN	44915.012	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39386.367	53639.316	NaN	NaN	NaN	NaN	NaN	NaN	48298.316	NaN	46211.492	NaN	47561.234	NaN	NaN	NaN	49656.488	NaN	NaN	37766.914	NaN	NaN	42904.438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39731.602	NaN	35328.699	NaN	NaN	NaN	63741.426	NaN	40466.621	NaN	NaN	NaN	53423.562	NaN	NaN	NaN	NaN	NaN	45439.457	39143.773	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41846.555	38970.418	NaN	NaN	45940.898	42528.281	57404.273	39462.898	NaN	NaN	NaN
2.8019	43601.359	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36659.367	47382.492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41696.973	NaN	NaN	NaN	NaN	NaN	NaN	35787.703	NaN	NaN	39984.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49867.684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41134.945	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34351.949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39906.609	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	36121.504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
