x	Y_20181208_15100_1_6g	Y_20181208_15100_12_1g	Y_20181208_15100_13_3g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_6g	Y_20181208_15100_16_2g	Y_20181208_15100_17_1g	Y_20181208_15100_19_3g	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_9g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_5g
0	11608.582	11768.8252	16395.5957	11289.9707	13984.4004	11562.4043	12520.4199	10565.6055	15676.9414	15538.7588	14478.3555	16470.3496	11311.5996	11654.7197	11790.3369	11531.6572	10777.8564	14067.5908	13766.5234	11974.2744
0.1334	12994.665	12732.0186	19436.168	12985.9395	14412.1885	12495.209	14516.4795	12128.165	16571.6406	16808.6133	14569.7812	16922.0254	13631.0205	12048.1582	14516.0986	11574.2041	13298.6055	15550.502	15224.8086	12783.3438
0.2668	14926.9561	15567.3682	22140.9746	15327.1406	16779.0645	12938.5889	16565.8926	14526.1016	18033.7383	18295.3262	15023.7002	18285.6328	15620.5352	12238.9355	18055.2891	12593.0586	15291.0254	17244.2949	16120.7959	13295.3389
0.4003	13587.1865	17488.9355	22367.9961	15831.3477	18503.7383	14514.8438	16619.3105	17358.8203	21636.1406	19094.5781	17393.3047	18570.5234	18139.0234	13726.0098	17870.1543	14937.1191	16304.1279	19026.4492	20157.5215	14901.3721
0.5337	12557.6475	16961.4355	19952.4609	15322.8555	19620.3633	16743.0742	15698.5195	17823.0684	23156.6953	18488.5664	22171.3613	16669.8945	16249.4512	16296.3467	16509.5488	15860.2393	15352.8525	18578.4258	23130.1328	15345.4746
0.6671	12443.3164	15749.0557	17131.1699	14144.0977	18837.4453	16113.5645	16068.8467	16531.3652	21098.7031	15785.6074	24989.7246	16667.248	14473.5107	18008.9219	15468.8311	15869.7344	14561.7656	16414.877	22684.3047	14834.6885
0.8005	12564.1396	15443.2168	17017.9707	14662.0215	17881.8574	14906.7256	14757.5537	16048.457	17703.9062	14733.7627	23970.5137	15439.5459	13626.1621	18039.1289	14475.1943	14519.2988	12793.2617	15617.043	21103.0898	14297.6221
0.934	11985.6826	15132.5166	15988.8818	14672.6787	17497.6113	14631.0654	13880.3779	15995.207	16924.8965	13643.2656	22624.9258	15700.4365	15118.4756	17944.3164	14354.1611	15021.4482	13005.5342	14318.9346	20292.3574	14102.8252
1.0674	12114.8271	15084.3037	14884.7607	14993.915	16950.1758	15595.4736	13137.3906	16720.1387	15657.4082	13200.6104	22019.8359	15136.5244	14578.7129	16625.3711	14550.4326	14707.8457	13497.3428	13712.4434	18980.5547	15100.1143
1.2008	12546.4609	13967.6973	13749.2324	14693.2646	17055.666	15863.4717	13352.4443	15320.7988	15602.1768	13371.1729	22814.7461	14563.1484	13378.7949	15269.8525	14271.0049	14692.4102	14274.3037	14714.1143	17241.3809	15686.001
1.3342	12868.3408	13182.6035	13916.96	14240.1816	17246.8809	14922.5225	12738.2129	14496.3828	15938.6035	12983.2012	19911.2285	14657.7637	12246.8311	14456.3887	14651.2451	13410.7295	14785.7402	14894.5605	15022.1484	19104.082
1.4676	12295.8818	12453.3252	13353.8311	15389.7324	17154.1738	14559.415	12966.3789	14338.8086	14776.4854	13201.124	18096.9453	14415.0801	11966.5889	13711.2852	14350.8584	12480.3506	14211.5879	14541.2363	13741.6562	19908.7188
1.6011	12150.1494	11836.7324	12966.667	14301.4756	15458.125	13737.7979	12957.0967	13598.415	13396.1172	12091.9414	17041.8047	13295.8691	12278.9189	12945.6348	13195.7871	12357.3701	12369.8408	15010.3076	12430.0215	17019.1934
1.7345	11996.8799	11823.2881	12746.6064	12916.8672	14062.8516	13971.4531	12932.8584	13423.2979	13805.1328	11714.4268	14584.1631	13417.3262	12100.3896	13409.085	12487.9004	12262.5127	12500.4912	15460.8271	13008.1523	13457.1514
1.8679	NaN	11781.5566	13626.3496	12964.0977	12900.8916	NaN	12955.6562	13433.4629	14441.7158	12339.6279	13747.1104	13150.7148	12060.8789	12369.5107	12869.2373	11714.4844	12414.1006	13976.3789	12309.9727	12512.8252
2.0013	NaN	NaN	NaN	12704.9619	12950.6191	NaN	NaN	13436.4229	14324.2803	11288.0996	13912.1758	13159.8613	12860.6777	11859.25	12254.4473	NaN	12561.7041	13465.1621	11614.6445	12349.5977
2.1347	NaN	NaN	NaN	12749.0312	13088.0029	NaN	NaN	NaN	14448.1836	NaN	13451.1221	12640.665	NaN	10968.5029	NaN	NaN	NaN	11741.6113	NaN	12359.2617
2.2682	NaN	NaN	NaN	11926.5479	13370.2178	NaN	NaN	NaN	NaN	NaN	13084.4619	NaN	NaN	11476.2666	NaN	NaN	NaN	NaN	NaN	11568.1182
2.4016	NaN	NaN	NaN	NaN	12754.2217	NaN	NaN	NaN	NaN	NaN	12647.3047	NaN	NaN	11713.708	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
