x	Y_20181208_15694_1_16g	Y_20181208_15694_1_22g	Y_20181208_15694_10_15g	Y_20181208_15694_10_1g	Y_20181208_15694_11_4g	Y_20181208_15694_12_7g	Y_20181208_15694_13_5g	Y_20181208_15694_14_1g	Y_20181208_15694_15_1g	Y_20181208_15694_15_6g	Y_20181208_15694_16_2g	Y_20181208_15694_16_4g	Y_20181208_15694_17_1g	Y_20181208_15694_18_2g	Y_20181208_15694_18_3g	Y_20181208_15694_19_10g	Y_20181208_15694_19_19g	Y_20181208_15694_19_5g	Y_20181208_15694_19_9g	Y_20181208_15694_2_14g	Y_20181208_15694_21_5g	Y_20181208_15694_21_6g	Y_20181208_15694_22_1g	Y_20181208_15694_22_3g	Y_20181208_15694_22_6g	Y_20181208_15694_23_8g	Y_20181208_15694_24_14g	Y_20181208_15694_24_16g	Y_20181208_15694_26_3g	Y_20181208_15694_26_9g	Y_20181208_15694_28_1g	Y_20181208_15694_3_18g	Y_20181208_15694_3_9g	Y_20181208_15694_4_10g	Y_20181208_15694_4_9g	Y_20181208_15694_5_11g	Y_20181208_15694_5_20g	Y_20181208_15694_6_11g	Y_20181208_15694_6_19g	Y_20181208_15694_7_8g	Y_20181208_15694_8_8g	Y_20181208_15694_8_9g	Y_20181208_15694_9_4g	Y_20181208_15694b_10_2g	Y_20181208_15694b_6_2g	Y_20181208_15694b_6_6g
0	13244.0107	13308.2832	9891.6377	10563.5889	13288.2578	11295.7607	14578.7148	12040.6494	13186.0225	12174.1768	10157.7119	11822.6484	10677.168	11625.4912	10270.1602	12618.4209	14469.5352	12624.7207	13496.4854	10266.3291	31409.9277	14571.5771	10303.3643	11655.541	12981.7178	11826.6523	12353.4287	12821.9023	12363.5566	11699.9658	10398.7236	13334.7314	13332.3564	9964.6533	10698.3027	10870.9385	11271.1113	10727.3389	13266.6641	10935.7529	11160.5879	12007.5557	11941.4131	8672.8291	13106.7979	10460.4297
0.1334	12809.0967	12608.4912	10486.9062	12271.5381	15668.667	13177.4043	16286.3164	12288.959	17806.2383	13377.0879	10772.6738	14763.2393	10733.6104	13103.7627	11621.9209	13221.8848	15471.6055	12329.1982	13366.0908	10799.1396	32115.0645	14720.9268	11346.6025	11292.2764	13142.2422	12681.4854	11923.6846	14737.7588	12053.8428	13202.7383	11561.4434	14347.0498	13610.4482	10528.25	12032.6436	11119.083	12401.3291	10838.8564	14361.0664	10629.124	12441.0664	12020.6123	12068.2588	9256.1201	16857.4121	10960.1904
0.2668	12912.1191	12879.9551	11755.9062	14458.8818	17536.4141	15699.085	15101.041	12843.668	20801.5371	15495.4873	10974.9658	16295.96	10980.2275	15941.4268	13911.7705	14191.7695	15250.6152	12176.1484	13259.7051	11401.4688	30113.5117	16040.7021	11533.2998	11857.3184	13347.7695	13977.3604	11991.917	15435.5732	13562.5361	13854.8008	13895.4463	14198.0508	14954.6729	11497.0361	14790.8945	11799.1475	12865.3398	11572.4873	15935.8174	11311.7715	14166.5898	12707.5225	12998.7607	10145.9775	20123.7578	11699.1465
0.4003	12662.999	15135.5273	15542.8359	15778.0137	19558.7461	17073.5879	14514.7393	15756.9912	20220.8164	19044.4121	12403.165	15716.6982	12524.54	17225.4102	13714.3926	14526.0977	15978.5996	12947.9023	14411.1631	14084.2031	30890.0195	15986.6133	11692.1494	14159.3496	13590.627	13562.1826	13549.7656	15803.8574	16131.3184	13323.7549	14749.6143	13133.377	18763.707	12039.877	17523.8145	13303.7324	12882.043	11465.7939	18017.3398	12980.1621	16483.4688	14002.5283	13963.3828	11580.9219	19852.5605	12692.1699
0.5337	13909.6436	17288.2207	21120.7207	14775.3369	19111.8359	15671.6172	13817.0869	18176.7754	19337.0645	17602.0703	13932.8145	14501.5596	14403.6309	15484.8311	13712.4678	15938.7217	19089.9453	15365.4844	15792.2041	14788.3896	31811.707	16896.9512	12705.4717	15250.3613	15242.4102	13934.2109	14528.6172	14669.5117	17506.0234	13199.4502	14951.9746	13200.3037	21300.4043	12964.9189	16654.6934	15075.6055	12852.6533	12302.1816	16907.2852	15358.1768	16341.3877	14968.5068	16513.6035	12428.2139	18276.248	14283.6299
0.6671	16453.7324	17084.9648	23388.7617	13697.7793	17254.5762	13636.2568	14356.6191	17601.5117	18607.7402	16247.1953	13813.167	14501.2021	18206.5977	14522.791	12624.2979	18252.7109	20161.6797	18676.6504	17965.2383	13449.1768	32772.8047	15859.4404	13781.832	15238.417	16648.2363	13761.8359	17009.0449	14788.0557	16241.3291	13364.3711	14252.1621	12721.6084	21555.2617	15008.5234	15881.373	14345.8418	14121.3877	14425.7451	15897.0547	16196.8262	15358.5303	14998.8447	18126.5195	13275.5771	16528.3398	14443.4023
0.8005	20548.9102	16098.1455	22224.6641	12517.8516	16191.8779	13638.9863	14574.5557	16729.8652	17392.0684	15006.0264	13110.1982	14069.1445	18635.7266	15421.2998	12940.4971	18678.6562	18058.5176	18459.4297	18508.9355	13090.3799	34812.7539	16134.8584	12656.6064	14795.5967	15481.2959	13410.8008	16298.2812	14220.7559	14339.2686	13140.0615	14522.1436	12587.5596	19877.875	17175.7031	15506.6201	13784.3115	15305.5312	16598.1445	15067.1836	15034.9141	15301.2412	13902.0498	17988.4297	12010.7744	16279.4395	14516.1621
0.934	19929.9336	15726.5947	20643.8789	12376.4834	15670.9688	12242.2148	14549.5186	17291.1133	16251.5479	15994.3945	13171.917	13894.7969	16828.4102	15167.4678	12150.8359	17575.9258	16368.9248	16849.4609	17864.832	12911.7803	38133.5664	14792.9736	11678.3584	14552.6006	15057.4434	12830.0625	14596.04	13836.5381	14103.042	12902.0654	14769.7627	12608.915	18475.9688	19537.1836	14514.042	13420.7314	15121.0752	17679.4199	15678.7422	14324.458	14800.3584	13781.2822	18008.4336	12514.9541	16592.8477	14332.5459
1.0674	16855.7109	16295.4463	19947.0586	11999.5312	14477.2002	12806.2549	14089.9746	16531.6602	15096.4453	15303.7295	12655.1064	14942.959	15883.9238	14989.5566	12191.2354	16676.2676	14847.9824	15633.8486	17758.3398	12138.6992	49178.1211	14958.251	12147.4521	13505.3096	14162.6787	13883.168	14174.0479	13946.0908	14098.4961	13064.3174	15254.8828	12458.8271	17074.5176	19089.9609	14301.8789	12926.3047	13889.9541	18310.4844	15078.9043	14305.2422	14931.4482	13530.5146	18723.5605	12702.001	16856.9609	14334.0391
1.2008	15399.2793	16374.6367	20566.2891	11458.6162	13805.7227	13322.6797	13566.3281	15231.6748	15255.1455	15475.4443	12756.0791	14534.2617	15707.1348	15383.2744	12049.2549	15579.6318	14556.4014	16280.167	17637.1875	12048.9443	59108.6289	13798.8174	12434.3828	14144.1689	13825.8828	13748.2256	12744.2764	13165.7637	14337.25	13202.0596	14303.876	12909.6357	16312.3701	17118.8008	13298.7256	12723.7627	14220.8154	18207.6543	15177.9053	14289.9502	15340.6611	13142.6465	19042.9414	12563.2129	15771.2754	14007.2764
1.3342	14251.2529	16380.0459	22131.7461	11655.0508	14169.6602	13524.0693	13122.7676	15107.0586	14238.9795	15460.3477	12765.2168	14462.8408	14885.4033	15892.7197	13899.1016	14054.3926	14020.0283	16556.6367	17720.5371	12106.5205	50126.2031	13625.2578	12293.0215	13891.7393	14361.3604	13272.0508	13008.666	14023.665	15334.3379	13498.9814	13872.4287	12903.3311	15527.5684	15560.7529	12574.5195	13962.2529	13650.3633	18719.1426	14449.6748	13706.4326	14562.1113	14288.9492	19021.7656	11761.7031	14583.2725	14359.5488
1.4676	14077.084	15885.4102	19418.7031	11742.2822	14079.7617	14210.4473	13470.7275	14035.249	14138.4951	15245.4307	12993.4844	14451.5576	13112.5449	16488.4316	13977.7129	13953.1533	13676.4082	16325.0557	18846.1719	12746.5117	41319.6328	13979.1367	12391.1914	14028.6484	13807.3408	13051.4717	13150.5371	13470.123	13651.7559	12519.376	14585.1787	13422.5811	15959.6562	15632.7275	12627.4551	14879.5645	13134.8613	18484.9082	14654.9092	13614.5723	14386.7031	14048.791	20865.5645	12580.5479	14548.1504	14594.166
1.6011	14401.4336	15044.6348	18220.6875	11862.7461	14037.0928	13089.2002	13874.8809	15720.709	14791.0059	15004.2549	12505.9062	15071.9121	12331.168	15602.8555	13714.5898	13665.999	13229.0361	16792.666	19526.3164	12979.9033	35674.5234	13751.4385	12371.7051	13927.6055	13426.2207	12366.1543	13280.8838	12942.1465	14455.8545	11656.8838	14962.0479	13931.4697	14985.3076	16353.3418	12409.0166	14615.9717	13273.5195	18295.6191	14829.7227	13095.165	14235.0977	14425.6094	18860.4102	12030.2529	14830.3242	14172.6006
1.7345	14644.667	14257.1094	18246.498	11745.6338	14155.5508	12684.3779	13009.7168	17123	14835.3545	15874.3154	12631.8076	14211.1191	11789.3301	15162.9414	13682.5068	13421.1016	13679.1572	16833.5703	18783.916	13217.9385	32361.7656	13641.959	11781.8594	14636.126	14611.2158	10988.084	13432.293	12588.6162	13544.0547	11496.7012	14867.252	14236.8379	14559.5127	16396.8203	13504.3467	16609.4336	13618.7832	18345.7383	15365.7207	12255.6963	14435.1416	14850.5586	17686.0098	11676.2334	14059.8789	13988.3076
1.8679	14751.2734	14425.627	18861.2676	11497.4131	14378.0107	12580.5068	12606.71	16019.6367	14690.335	15831.0723	12069.957	13755.1709	11978.7822	15077.1641	14174.5332	12175.4951	13231.7793	15882.9922	16585.1484	14072.1152	32915.2734	13558.2061	11464.9395	13741.3809	13760.5713	11331.3701	14046.8984	12588.3633	12910.7207	11124.1641	14275.1221	13754.9482	13789.4053	15371.958	13155.8799	14823.6855	13627.4648	17623.5547	14664.583	11672.6904	13924.6279	14782.2783	17477.7949	11880.5615	14116.959	13812.4551
2.0013	15718.8252	13355.6943	17673.209	11093.7354	13720.5391	12234.9004	12432.958	14744.8906	14472.2666	15696.042	11205.4736	13425.4717	11671.9268	14024.0801	13413.9688	11603.1406	12771.9941	15363.5068	15851.4775	13601.6992	31462.8711	12953.3965	11403.1377	13142.9854	14454.3281	11036.6289	13537.5234	12092.0332	12817.9287	10839.1963	13954.71	13127.3291	13492.9912	14832.293	12337.1289	13049.7959	12243.1455	16243.4512	14236.6602	11256.4717	13953.8105	14411.7041	18132.793	12340.583	12761.2158	13082.5449
