x	Y_20181208_15693_1_11g	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_13_11g	Y_20181208_15693_13_5g	Y_20181208_15693_14_2g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_20_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_11g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_7_8g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_8g
0	30217.3262	26770.8242	32972.1094	29783.1504	28928.916	31978.1641	28536.7305	26824.3848	31948.4102	29836.4941	29657.8535	33187.2578	26535.6719	28563.1328	30960.8164	31727.8145	32005.6777	31991.248	31368.9043	26555.0918	28179.7539	27375.2695	26435.6133	27263.9297	29105.2969	31174.4609
0.1334	29835.1875	26752.9746	31276.2949	28554.6758	28386.8945	32324.7559	29069.3574	27647.1641	31380.7676	30309.7812	30270.3105	31962.5391	26291.3301	28482.7578	31907.3008	30632.6016	31394.0352	31974.5859	31104.2695	27422.25	28629.1426	27122.8027	26852.5234	28374.5547	29409.5273	29559.2832
0.2668	30056.1348	25801.3047	33074.1953	29291.9668	29650.2422	32687.3457	28470.4648	27224.1016	30559.5645	30733.4688	30049.1973	31363.4258	26881.8105	27731.3477	32191.1367	31172.6133	32097.9551	31348.2598	31513.8652	27078.3496	27781.2617	26641.9863	27902.7285	28361.1172	30576.9727	30645.6094
0.4003	29436.5977	27181.8828	32119.877	29042.6211	28278.9512	31675.0176	29602.4395	26952.3555	31735.627	31973.3496	30622.2109	32914.3789	25637.9238	29295.3086	30996.7441	31811.0176	32745.2598	31553.8086	31185.4805	27027.1133	27856.6172	26737.4609	28361.3398	28515.7324	30578.8848	31077.166
0.5337	30165	26652.1016	32956.7188	29264.0195	27448.498	31768.2676	31454.1133	27469.0918	32279.6309	31783.8027	28261.5059	33838.8438	26077.7676	29713.7793	32081.9727	30744.543	33993.2031	32317.2266	30674.8066	26414.7559	27240.8145	28090.4609	28557.877	29569.9395	32613.2891	32757.123
0.6671	31315.3066	26080.7188	33295.8672	29639.8809	30045.1934	32941.1602	30506.9609	28461.7988	32804.5352	31435.8242	29505.082	35327.9258	26716.2305	30572.0527	31652.5938	33283.2734	33886.3906	31709.4844	31257.7324	27325.834	30477.0527	29246.1211	29523.5664	28410.9766	30777.5898	31376.2715
0.8005	31993.3281	28311.3633	32959.2539	27555.8594	28621.9746	32811.3086	30736.3809	28293.875	33395.3203	32228.7891	30414.3184	38619.9648	26617.4902	33887.2344	32178.6523	34284.0078	34231.7773	30240.0684	32146.3418	28198.3555	28712.2559	28744.9863	28834.5156	29450.6484	31756.752	30856.5312
0.934	32065.9121	27682.8535	34215.9922	29155.5566	29719.8027	32213.7324	30751.0977	29820.1836	34200.0273	33233.6172	32100.5918	47893.0352	26926.7852	37481.9375	33633.5977	35894.6133	35209.8203	29866.4082	32153.9629	25840.9746	28617.832	29846.2051	29770.5254	29296.1875	32527.7539	30970.7109
1.0674	32688.7988	29174.5449	34398.4102	28880.1582	31295.3965	33678.2305	30947.6875	28971.0371	34990.457	32620.6816	34032.4375	59441.668	27907.207	43726.4922	33613.3633	38440.7617	34946.1406	31468.0977	32798.1562	28584.2695	30741.0742	32137.4395	32793.332	31210.2012	32811.8125	32228.2305
1.2008	35308.1094	32305.8242	34100.0938	30780.9805	33649.3281	33230.3633	32294.1875	31080.291	36682.1953	32768.8359	44939.9258	61842.9414	28682.7363	61979.5156	34663.8438	44558.668	36756.8242	35066.3477	36056.4766	26655.1719	30891.7988	43141.0195	38153.7266	33580.7344	31702.3418	31595.3555
1.3342	38314.7266	40150.9648	33801.9766	32162.0801	36784.832	36844.7656	30289.9473	34899.4531	43494.3867	35530.3438	63098.4492	49997.4648	34462.1016	85570.8438	39159.168	55316.6133	37978.6055	36514.9609	38987.332	26483.0918	32955.2422	50032.8711	45479.0508	38960.625	33830.5977	33569.043
1.4676	45808.5469	57052.6719	32946.9922	40973.6484	49713.9375	42209.3984	31047.3066	42821.1172	59830.7344	40430.582	75076.0156	39661.5234	50403.5	83724.6016	48813.1211	79565.8281	44131.4805	43491.1523	42857.4414	27642.8457	41189.1953	45145.668	46858.4141	53557.375	38376.7969	32829.0859
