x	Y_20181208_15693b_13_1g
0	26788.7871
0.1334	26290.8848
0.2668	25903.8418
0.4003	25575.2773
0.5337	24861.4043
0.6671	26237.252
0.8005	26301.8281
0.934	27904.1562
1.0674	26401.4199
1.2008	27478.9902
1.3342	26543.7676
1.4676	27758.7676
1.6011	26656.1426
1.7345	26133.8633
1.8679	26676.7422
2.0013	27315.2695
2.1347	26874.0996
2.2682	27506.4434
2.4016	26449.1172
2.535	26039.8242
2.6684	25900.3652
2.8019	25755.6348
2.9353	25290.2812
3.0687	27073.834
3.2021	26790.9688
3.3355	29127.3711
3.469	30858.6133
3.6024	33591.8086
3.7358	43342.3594
3.8692	59279.3555
4.0027	62016.8438
4.1361	46273.918
4.2695	34727.7969
4.4029	32671.0605
4.5363	29548.0273
4.6698	29659.0254
4.8032	NaN
4.9366	NaN
