x	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_39_1g
0	40474.141	37744.473	36211.102
0.1334	41183.84	37758.305	36289.066
0.2668	43330.625	37266.004	35279.281
0.4003	40726.09	38533.23	35579.738
0.5337	42147.141	38911.895	36988.84
0.6671	44341.543	39964.797	36997.469
0.8005	42430.176	39789.145	37925.281
0.934	41470.215	38647.75	37716.121
1.0674	43163.504	39533.691	40238.418
1.2008	43085.422	39520.312	40710.395
1.3342	44461.953	42916.809	39859.543
1.4676	43985.082	45894.652	38796.422
1.6011	45232.484	52976.066	41697.871
1.7345	52292.133	71198.109	44809.273
1.8679	73879.609	86284.922	52534.398
2.0013	111663.336	74858.234	70186.078
2.1348	126681.102	58602.598	94873.852
2.2682	90656.984	49544.199	97546.516
2.4016	59804.293	45376.141	71348.914
2.535	50104.809	NaN	52217.672
2.6684	46245.375	NaN	NaN
2.8019	47061.711	NaN	NaN
2.9353	NaN	NaN	NaN
