x	Y_20181208_15692b_10_6g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_11g	Y_20181208_15692b_11_14g	Y_20181208_15692b_11_17g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_3g	Y_20181208_15692b_11_6g	Y_20181208_15692b_12_7g	Y_20181208_15692b_12_8g	Y_20181208_15692b_13_5g	Y_20181208_15692b_16_8g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_5g	Y_20181208_15692b_2_6g	Y_20181208_15692b_5_3g	Y_20181208_15692b_6_2g	Y_20181208_15692b_6_4g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_6g	Y_20181208_15692b_9_5g
0	11948.2412	12671.4375	10882.5049	12491.4512	11316.2607	12278.8135	10848.7539	11944.0439	10340.0225	11305.1348	11552.376	10877.7842	14921.585	10471.2158	11621.0508	12843.8115	12167.1338	9378.6064	14648.04	13414.1748	12376.7129
0.1334	12970.6543	12758.7354	12160.7393	14080.1426	11453.1914	12872.3271	11159.3389	12657.6338	10909.2227	11889.917	13625.7061	11397.3438	16136.7021	11933.9385	13023.8496	13446.8682	13985.9746	10032.3584	14540.2627	15056.6182	12425.9639
0.2668	13517.3281	12770.5371	15850.4727	15724.5742	11946.1807	14852.6719	13636.9775	14233.1689	12470.748	13576.8896	15679.1533	12733.4844	17844.0312	13049.3828	14660.3877	14173.8477	15764.8252	11971.1758	15796.9229	17945.5508	11893.7021
0.4003	13361.3545	13714.4961	16834.2402	15865.001	13754.8701	16064.8535	16332.2969	16571.4434	13184.1543	17631.7969	14700.9307	13900.8662	20196.3496	14962.8604	16818.6309	14692.416	17020.4141	15210.9014	17488.8672	20001.6289	12246.4219
0.5337	11852.3418	16126.7002	15604.8027	15860.1582	15730.0176	15744.1846	15989.8643	16153.0654	13985.7959	19238.1055	13493.9727	15401.2803	20429.8828	15824.0732	19262.2344	18366.793	16676.2871	15013.5098	21608.3633	20262.0781	12660.7227
0.6671	11688.3174	17243.582	14670.75	14733.3818	14941.7832	14938.6338	14567.6016	16076.2168	13841.2012	19366.918	13474.8857	15462.8789	17987.3867	16703.8301	22187.4102	21278.207	15439.0088	13895.9512	24509.9219	18585.1133	14009.3105
0.8005	11824.1094	16497.3164	13655.8896	14782.9746	14399.3994	13382.8096	14601.0166	14875.0869	13275.0576	16424.5215	13338.0859	14372.9775	16081.3574	17831.6797	24458.5078	20200.8027	15551.2061	13710.209	21921.3008	17434.8594	15941.7266
0.934	11766.5332	16278.5801	13655.1904	14999.0488	13636.1064	12824.8203	13758.6992	14081.1436	12906.3994	15587.0625	13625.1338	13726.0342	16393.1016	17226.1777	23853.291	18608.1172	16181.25	14020.1426	18059.2598	18173.9219	16703.2109
1.0674	11057.0146	15074.8662	14082.5283	14419.3809	12439.9697	12497.8037	13994.9678	13388.0859	13680.1807	15629.7822	12882.4902	12926.1895	15663.0928	16184.1406	19446.6719	18559.125	14953.7266	14012.7295	16871.5508	19037.7949	17355.9297
1.2008	11324.8701	15128.7803	14021.2607	15003.0459	12296.165	12822.6494	13426.3799	13415.626	14535.8359	15609.1484	12238.3691	12537.5352	15931.2012	15884.5879	16324.416	17436.1113	15534.2852	13675.8799	16391.4375	18078.8223	16580.1914
1.3342	11028.5732	14999.5869	14086.1943	14055.458	12785.6855	12566.9473	14298.0635	13388.6426	14700.6934	14816.0654	13064.1465	11705.5605	15511.6611	14866.085	16081.6152	17469.0117	16043.6865	12960.7969	17256.4551	16387.0332	16023.6719
1.4676	10639.7939	14972.3545	13790.5664	14349.4023	12207.3145	13321.5068	14382.8418	12540.0596	13597.9727	15487.1484	13684.9141	11422.374	14812.4316	15556.2246	16152.9365	16065.5283	14410.6377	12603.2373	16911.4258	15185.5479	15456.043
1.6011	10456.1162	14333.3984	13056.1484	13837.1572	12492.4463	13529.792	13631.541	12349.0439	13728.293	15097.9951	12809.9033	11930.3311	15480.9658	14343.6006	15495.2979	14652.9375	13140.043	12409.7168	16548.5137	14449.8516	15470.8613
1.7345	11204.7998	14083.5791	13117.8691	12593.541	13362.5439	12777.9717	12924.6885	12224.8184	12848.2852	14160.4277	12970.6025	11697.5176	14583.4121	13949.2861	14343.9082	14160.6309	12818.0371	12926.0488	14913.5547	13626.3633	13755.7158
1.8679	NaN	13120.6572	14196.3818	11968.6592	13332.4121	12021.292	12429.6436	12336.0547	13476.9814	13209.0254	13122.2656	11434.291	13481.4941	13122.623	12678.9189	13521.4619	12202.3555	12494.9902	13371.9668	13832.6074	13700.1074
2.0013	NaN	13013.7734	NaN	12191.9395	12429.2793	11316.3223	12808.6074	12704.4941	13989.6299	12933.5674	12688.9141	11721.1523	13694.0898	13312.79	12355.6006	13159.918	11838.5527	12091.4629	13116.1006	13842.7725	14463.166
2.1347	NaN	11790.9844	NaN	NaN	11988.0811	11013.0088	12642.1113	12072.3652	13784.2822	11599.6953	NaN	11778.5088	12740.8145	12884.3857	12067.2969	13155.6973	12003.3262	NaN	12821.042	13928.5527	13301.1865
2.2682	NaN	11836.2871	NaN	NaN	11270.2568	10706.252	NaN	11713.0889	13185.8271	11421.9453	NaN	11930.5781	13368.2354	12320.7568	11704.7617	12667.7568	NaN	NaN	12313.5146	14215.0977	12096.2627
2.4016	NaN	11552.5371	NaN	NaN	NaN	NaN	NaN	NaN	13803.0039	11456.0342	NaN	NaN	NaN	12924.0674	11590.665	12832.3389	NaN	NaN	12997.5859	13917.3887	11499.6709
2.535	NaN	11456.0625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11104.7139	NaN	NaN	NaN	12431.6963	11759.9482	13037.5723	NaN	NaN	12821.1602	NaN	11758.6104
2.6684	NaN	11585.9404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10892.3428	NaN	NaN	NaN	NaN	11831.6572	12252.6826	NaN	NaN	NaN	NaN	11584.1172
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11683.0801	NaN	NaN	NaN	NaN	NaN	11812.4336
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
