x	Y_20181208_15100b_13_17g	Y_20181208_15100b_20_5g	Y_20181208_15100b_21_6g	Y_20181208_15100b_22_8g	Y_20181208_15100b_27_12g	Y_20181208_15100b_3_2g
0	25507.9707	31170.9004	31437.9258	29683.3574	32404.2129	28622.2344
0.1334	26599.7383	30841.6387	32367.6406	27763.0039	31953.7812	28306.6504
0.2668	25465.2969	30889.668	30913.9668	27145.666	31360.0605	28149.7266
0.4003	26653.2832	30969.752	29605.5801	27473.6953	30999.1328	27934.9902
0.5337	26652.6582	31366.5605	31210.0312	26656.1445	30860.5293	29230.1211
0.6671	25901.7383	30942.2949	30785.4004	26416.7617	31369.4961	28475.8184
0.8005	27202.3379	31927.4688	30168.2422	28819.8809	32028.043	27836.2773
0.934	26320.9727	31122.1543	30302.4746	27757.6035	32045.2031	29975.6699
1.0674	25440.8828	30386.9785	30952	26574.8223	33147.7656	27227.9648
1.2008	26577.8125	30397.9277	31397.6348	28740.0117	33853.7266	29142.9668
1.3342	26342.0723	31481.2188	31925.5781	30944.752	34006.6328	29820.5605
1.4676	25971.5605	29333.2969	32038.1484	28342.6055	33909.3359	28077.5195
1.6011	26437.5781	30055.8223	31817.4922	29331.2266	34078.8242	27629.2383
1.7345	27865.9922	29213.7734	31069.9844	26892.8516	34599.8945	27857.0312
1.8679	27618.0742	30180.9785	32214.5625	28767.0781	32587.3496	29850.9277
2.0013	27378.4336	29972.5996	31630.168	28410.4336	31727.1543	27517.8809
2.1347	26243.2031	31161.8828	30554.416	29212.7812	30583.8887	28019.0938
2.2682	26544.3438	32983.8789	31403.709	29164.5957	30916.2285	28177.7617
2.4016	27833.3594	31197.7988	32076.002	28258.7188	32087.9922	28173.7363
2.535	28439.5645	31603.1055	32141.9805	29509.6641	31320.0566	29181.4609
2.6684	27946.3984	32680.0332	32366.6895	29611.7949	31751.0566	31266.5684
2.8019	30474.5879	33183.4531	34482.1875	31739.9121	31693.9219	31616.2461
2.9353	34327.2578	36851.4492	36020.293	31303.4844	32229.8047	34040.8594
3.0687	41090.3984	47093.3477	39919.6602	31722.043	33083.2266	36458.457
3.2021	49872.9414	73468.1797	50261.6641	31190.0508	37756.7227	39362.332
3.3355	45029.7422	95542.0234	76815.9531	32241.7051	48509.4805	39413.5117
3.469	35815.207	87064.9062	128345.5938	34455.8672	68745.5703	40088.1484
3.6024	31793.709	64580.9883	151171.0312	37743.1172	107036.3906	44492.1211
3.7358	29741.3496	48121.9492	114178.3125	49410.2031	138839.9219	58706.5781
3.8692	28234.832	39371.1367	63826.3711	90304.9766	120272.3438	79027.8984
4.0027	28461.834	36666.4023	42552.2578	134926.1406	72818.75	76273.7969
4.1361	28162.2305	33837.7031	35372.6289	126731.1953	43885.293	52970.5859
4.2695	NaN	33518.832	33241.7109	84075.0156	36536.7383	39109.8125
4.4029	NaN	NaN	31403.2578	51268.7422	35324.6953	33737.0625
4.5363	NaN	NaN	30721.5332	40318.5859	32308.1367	32640.7227
4.6698	NaN	NaN	NaN	34005.8008	32769.2188	31491.0977
4.8032	NaN	NaN	NaN	31954.7207	32463.7969	30252.8809
4.9366	NaN	NaN	NaN	32860	30792.2324	31246.1953
5.07	NaN	NaN	NaN	NaN	31828.5977	NaN
5.2035	NaN	NaN	NaN	NaN	32401.1387	NaN
5.3369	NaN	NaN	NaN	NaN	31721.7109	NaN
