x	Y_20181208_15100_7_3g	Y_20181208_15100_8_3g
0	9760.7168	10853.249
0.1334	10888.2881	10606.4316
0.2668	13495.6211	13134.8691
0.4003	15393.1289	15805.6377
0.5337	16145.5381	16339.834
0.6671	14930.1895	16929.9746
0.8005	14760.0449	15462.5098
0.934	14179.7607	15589.9434
1.0674	14265.8301	14960.6406
1.2008	13845.7139	14808.8779
1.3342	13474.3408	13902.8379
1.4676	14300.6641	13721.4033
1.6011	14592.3945	12971.9678
1.7345	14839.1777	13841.1211
1.8679	16044.2471	14343.708
2.0013	14976.5518	15047.4355
2.1347	14104.2246	16475.9746
2.2682	14968.8672	16214.5078
2.4016	14588.0322	14780.5049
2.535	13513.8438	13897.4941
2.6684	14320.1465	13277.0225
2.8019	12974.4414	11841.7432
2.9353	13180.5488	12202.7979
3.0687	13502.5254	12156.0957
3.2021	13377.2471	11752.5352
3.3355	NaN	11914.71
3.469	NaN	11522.125
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
