x	Y_20181208_15100b_1_6g	Y_20181208_15100b_10_2g	Y_20181208_15100b_13_1g	Y_20181208_15100b_13_4g	Y_20181208_15100b_13_6g	Y_20181208_15100b_13_9g	Y_20181208_15100b_16_9g	Y_20181208_15100b_17_1g	Y_20181208_15100b_18_1g	Y_20181208_15100b_2_2g	Y_20181208_15100b_20_9g	Y_20181208_15100b_22_10g	Y_20181208_15100b_22_2g	Y_20181208_15100b_22_5g	Y_20181208_15100b_23_2g	Y_20181208_15100b_26_6g	Y_20181208_15100b_27_1g	Y_20181208_15100b_28_1g	Y_20181208_15100b_29_1g	Y_20181208_15100b_4_1g	Y_20181208_15100b_6_1g	Y_20181208_15100b_7_3g	Y_20181208_15100b_8_3g
0	29243.3789	30236.6152	27027.2324	28521.3398	27471.7812	29009.1309	29400.7012	29486.6211	28249.8047	29374.3535	33007.1953	30213.7539	26593.6836	31142.6309	27871.5469	26491.9688	27497.3223	25084.0254	31642.959	23514.6348	30922.7637	28698.5801	31712.3242
0.1334	31023.4219	30464.1797	26535.5469	27103.7578	27752.1504	30650.2422	29004.5664	27974.6953	29745.4277	29606.1914	32560.0469	30301.4199	27164.0918	31671.5312	30026.5723	27758.3359	27608.1309	23817.0977	30914.9492	24772.666	29318.9863	28128.334	31127.5762
0.2668	30718.9727	32429.0547	26421.4062	29073.4473	28056.5879	30937.9922	30226.6758	27824.0898	29072.748	30505.3926	33374.3477	31041.0938	26439.9375	30485.4531	28308.2402	28264.002	28000.5684	24865.5977	30638.6387	24096.0781	30774.1641	27662.3789	30877.1895
0.4003	32363.2109	31712.5273	26994.873	28374.457	29111.6445	30483.1777	30391.4375	29633.2129	28486.7266	29996.2656	33365.25	31360.7734	26867.3027	31430.6035	28372.127	27325.4727	26976.1309	27205.5996	32093.6211	24354.3262	30404.5293	28361.4863	30791.2695
0.5337	31567.3047	32732.7852	27970.8633	28621.4785	29062.2266	30932.3809	31218.6289	30126.6074	29794.1953	28466.3242	35369.6328	31160.0625	28913.0254	32699.6484	29933.6191	28635.3848	28243.1504	24525.7207	32710.9551	23513.4336	30622.3574	29076.1367	32255.1973
0.6671	31389.3516	32041.1875	28159.6973	29276.6855	28990.8359	30183.7188	30375.6016	28410.2363	29808.8125	29330.5762	33836.7461	32888.9062	27543.7324	32380.0957	30250.1367	29117.0273	28824.4043	23265.3594	31713.3945	24312.3066	30589.6348	29374.4922	30614.0176
0.8005	30680.2422	31394.2695	26764.9023	27686.5625	28929.375	29619.8027	30202.9043	30408.668	29837.1445	30456.0879	35029.5703	32864.6914	27106.8047	33167.75	28569.543	28023.252	28100.0586	24061.3809	32197.0352	24896.0684	29704.4609	29680.8359	30848.1484
0.934	30690.9902	32430.7441	27246.5352	28121.1504	28402.6504	30391.0039	29422.2344	29667.2344	30803.6465	30728.1074	33965.4375	31824.6328	26498.7305	32381.3203	29286.8867	29900.6055	28246.1055	24262.123	32254.6484	25581.832	28865.3145	28254.2559	31371.6699
1.0674	32199.5508	31429.2617	27071.2383	29070.7344	28761.0625	31430.9863	30092.8848	31398.9082	30264.5254	31209.1895	35611.3594	32694.6016	29346.293	32938.9375	29994.8398	31078.5996	27822.2344	23749.7734	31934.1816	24394.4492	28886.3418	29057.9629	33740.7539
1.2008	32119.4043	32502.7109	26914.7734	30721.7188	29540.6328	30352.9668	30024.1621	29976.4922	29727.2812	32448.2617	33438.7578	34679.5859	28493.3789	33672.125	30753.2949	30357.873	27277.3926	24931.8535	32363.1055	25900.7539	30045.5742	29743.375	36921.6719
1.3342	30920.4355	33434.8789	26936.7422	29436.5684	28681.5137	29784.2715	31899.6602	31890.0215	30060.8789	32415.7578	35334.8398	34240.8281	29383.5527	34088.0703	33590.7109	29851.2402	27573.6348	24074.7598	34565.2266	26324.0566	31644.8926	29681.8066	39949.168
1.4676	32054.498	34462.1406	29006.6523	29575.6211	28546.8965	30881.2344	33976.4375	34686.7188	32206.5586	31770.0801	37698.8047	35343.8711	29529.0156	34028.6914	41619.9414	30941.8652	28425.123	25077.748	39912.8945	27140.0449	34471.4414	28332.7969	38476.418
1.6011	33140.0508	37927.8203	30006.8008	28531.0781	29144.0918	30526.1328	40989.8516	44102.293	36847.043	34946.918	37080.625	40265.582	29037.0332	35152.3789	57319.5703	32132.252	29105.2422	28973.7285	54993.0625	29541.7812	40703.332	30803.8945	37786.9805
1.7345	35001.3555	42470.168	34968.6797	30079.6445	29984.6641	32038.2539	53153.5156	62762.0742	38329.4141	38827.2617	40338.168	50163.1797	30294.6973	41680.2539	71179.0156	37156.625	28621.0527	34565.9531	90728.6719	35182.1211	46993.4531	29368.3789	39453.6602
1.8679	40877.0977	48796.9531	44804.7305	32522.1387	30126.3184	33650.9141	55416.2305	95643.3438	36125.6484	44927.6719	51292.5352	65806.8203	36466.8984	54748.1016	58390.2617	46159.5039	33015.0234	45172.2812	125609.6328	40849.0469	43590.2344	30385.4805	39222.7188
2.0013	52746.6641	45573.7539	46761.8281	38191.2695	32102.3223	40791.9531	44400.6055	95871.2422	31950.1758	57067.6172	77600.3047	70813.8906	47821.1797	57350.7383	42119.5078	47740.457	38104.1602	53573.2852	111756.3594	40826.4961	35912.7969	29696.3535	NaN
2.1347	60488.1992	38843.125	39726.1797	53270.9336	35482.8281	46077.6992	37628.1875	64121.7969	30355.9531	64514.4844	119587.2891	53793.3789	70004.2656	46243.2031	33836.8438	42487.0742	48791.7773	47188.8359	72216.6094	35406.3359	32339.6855	32012.2793	NaN
2.2682	56270.8203	34780.7422	35170.9531	64249.582	42339.4688	38944.125	33955.2617	42170.9453	28738.3066	58929.082	120877.4609	42137.8477	81501.1641	38052.7188	NaN	36462.8789	55161.2852	34721.875	47883.6992	29189.8477	31350.623	34088.8945	NaN
2.4016	41747.8672	34617.625	33049.7773	58866.5234	47574.5625	32840.8906	NaN	36349.5117	29736.0703	48374.082	80375.8281	37522.9922	67377.0312	36947.3516	NaN	33897.7617	50746.9375	28513.0586	39618.4453	28561.4062	NaN	40611.4062	NaN
2.535	34705.9414	NaN	NaN	40141.6289	45970.6562	29820.4121	NaN	33543.9805	NaN	NaN	53648.5508	34055.2773	46508.6289	36149.9219	NaN	32870.625	37295.7344	25664.7344	NaN	NaN	NaN	40020.3867	NaN
2.6684	32959.5312	NaN	NaN	31792.334	37874.0352	29026.5117	NaN	NaN	NaN	NaN	43671.0117	NaN	35907.3828	35748.332	NaN	37085.1211	30604.6367	25691.9961	NaN	NaN	NaN	38620.957	NaN
2.8019	NaN	NaN	NaN	31805.6719	32015.127	NaN	NaN	NaN	NaN	NaN	39194.1523	NaN	NaN	NaN	NaN	NaN	28161.1797	NaN	NaN	NaN	NaN	36910.3789	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38300.832	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43938.8008	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
