x	Y_20181208_15693b_1_13g	Y_20181208_15693b_2_13g	Y_20181208_15693b_6_4g	Y_20181208_15693b_7_3g
0	31920.5293	33600.6602	30062.123	27594.9258
0.1334	31236.293	33326.0781	28752.0625	27475.957
0.2668	31510.8809	34779.4336	29223.1758	27991.7266
0.4003	32271.834	35078.1719	30767.8184	26843.377
0.5337	33538.6484	34306.2422	29781.1758	26813.8027
0.6671	32590.9512	34557.4297	31187.4551	27520.1582
0.8005	32889.3633	35149.9766	31483.1973	26728.7461
0.934	33890.2422	34870.9609	31986.5801	27132.332
1.0674	31695.8125	34652.625	31049.0312	27403.8477
1.2008	32641.2578	33960.1836	32363.1426	28587.5
1.3342	33881.8477	33347.8398	30607.4883	28578.9551
1.4676	34367.9453	34206.3047	32989.1289	26881.9766
1.6011	33763.9023	33876.0508	32029.082	27492.5879
1.7345	32482.3828	34009.6055	31779.5723	26804.3105
1.8679	32978.9297	33336.0547	31898.6953	27580.5938
2.0013	32326.6367	32925.5664	29794.5938	28735.9395
2.1347	33403.2656	32577.2656	31612.9531	27849.3398
2.2682	35132.1289	32226.1992	31524.7832	29369.7344
2.4016	33788.2812	31110.9004	33786.8984	35283.0664
2.535	34552.0664	31830.5566	38089.582	47670.0508
2.6684	36255.0898	34350.0391	46884.4648	61753.2891
2.8019	42123.2695	35044.875	65751.6875	63861.2227
2.9353	55766.3984	39938.2695	78118.0781	47935.1602
3.0687	83225.6953	41142.4648	57521.4023	35795.1641
3.2021	111152.7812	37301.3359	38445.2969	30400.6562
3.3355	103496.6875	35563.957	36559.3477	29241.4844
3.469	70766.8594	NaN	32744.4727	28268.3438
3.6024	50851.5664	NaN	31378.9473	27745.2734
3.7358	NaN	NaN	NaN	27560.8984
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN
