x	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_14_10g	Y_20181208_15693_14_8g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_20_2g	Y_20181208_15693_5_10g	Y_20181208_15693_7_3g	Y_20181208_15693_8_6g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g
0	11630.3633	11689.8662	9840.627	12095.1904	12110.8721	10979.7666	15604.8379	11150.9355	12013.1562	11668.8984	10796.4609	12145.5273	12493.75	12189.8721	14927.1748	10835.7559	11439.4531	13352.7246
0.1334	12888.2764	11764.1475	9841.9346	13470.5127	14144.2754	12574.0908	17951.4766	11946.375	11535.585	13725.6084	11199.2207	13043.0273	14024.4688	13151.1846	17675.6953	11013.2305	11596.5801	13702.335
0.2668	14613.7354	12097.6738	10170.7412	14608.1279	16538.7891	13640.8613	15378.4658	12454.832	12373.2432	17193.3008	11336.1094	15615.3418	15823.8672	15304.9531	19263.8926	12265.0547	12986.9287	15860.3076
0.4003	17366.7441	12420.3428	10305.6846	17512.1406	18999.7695	13229.5957	12722.2373	13740.1494	13252.5557	21277.3262	13009.0615	18366.7871	19020.0898	17585.127	16772.5508	13976.8047	15062.21	19941.457
0.5337	18451.1895	14351.5117	10497.8125	17611.2871	17903.7969	13233.9248	13489.8477	15923.8193	14294.8271	20578.4414	13892.5391	18826.9102	18132.9727	16832.8164	13737.0479	16271.8232	14976.3018	19702.7285
0.6671	16213.5078	15089.7031	10331.4014	16918.9492	16660.7754	12456.8242	14940.5498	16176.0459	14304.1221	16303.9082	15336.9717	16248.8076	16172.8799	14371.6406	12147.1104	15420.7432	13043.5273	18080.6797
0.8005	14658.4102	14821.1289	10800.373	15708.4004	15603.1357	12591.748	15464.3643	16242.0791	12006.6475	15043.3799	13917.7598	15362.6777	16302.8955	13303.665	11604.29	14777.5215	11307.4375	17164.3477
0.934	13335.2617	13816.2383	10503.7988	14379.0107	15298.8027	12843.1748	14447.6279	16305.9512	11624.7246	14985.9326	14249.2744	14955.8398	15657.4678	13863.7734	12217.6338	14036.0391	10968.5312	16186.6104
1.0674	13427.4951	13432.2715	10581.5273	13956.9307	14200.041	13291.501	14169.3389	16503.5977	10889.0859	14219.5664	14607.6406	14450.0674	15247.0986	14503.873	11781.6348	13467.2129	10936.5566	15065.5225
1.2008	14216.0986	13740.5791	10658.3184	12721.1963	12253.2109	12989.2861	14013.0586	16338.1748	10723.0498	13806.7578	15552.8682	14571.8223	14771.2363	13266.7354	12221.0303	13323.7881	10974.3877	15435.1621
