x	Y_20181208_15694b_10_5g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_5g
0	13117.6973	12287.3359	12395.9688	13581.0264
0.1334	14448.5918	12270.4727	14501.3242	14031.3076
0.2668	15298.7637	13080.7754	16952.4082	15219.1934
0.4003	14843.6221	14282.3545	16004.1865	15788.2197
0.5337	14372.5342	14103.626	15166.7256	14037.9492
0.6671	14081.1865	17084.25	16122.0391	13395.5654
0.8005	13205.459	19501.4883	17461.7988	13216.0117
0.934	13400.3506	18264.2188	16916.9004	13466.1914
1.0674	12068.5889	17325.9746	15534.0693	12703.4854
1.2008	11413.9922	17517.5469	12986.9053	12750.4844
1.3342	11558.2021	16799.7031	11902.3682	12214.2852
1.4676	12003.5098	14942.9629	11604.6133	11269.2002
1.6011	11000.9932	14039.627	11278.7461	10773.2764
1.7345	10841.8613	12889.2676	11340.8398	10606.1904
1.8679	NaN	12516.2275	11178.2998	10347.7656
2.0013	NaN	12122.2412	NaN	NaN
2.1347	NaN	11579.584	NaN	NaN
2.2682	NaN	11893.0127	NaN	NaN
2.4016	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN
