x	Y_20181208_15693_1_1g	Y_20181208_15693_1_5g	Y_20181208_15693_10_10g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_7g	Y_20181208_15693_13_1g	Y_20181208_15693_13_5g	Y_20181208_15693_13_9g	Y_20181208_15693_17_10g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_18_7g	Y_20181208_15693_18_8g	Y_20181208_15693_2_1g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_20_7g	Y_20181208_15693_4_10g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_12g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_16g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_2g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_8g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_17g	Y_20181208_15693b_7_14g	Y_20181208_15693b_8_11g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_8g
0	26770.8242	26792.7637	32972.1094	31164.7871	27557.4395	30140.7109	29006.0215	27683.3359	28536.7305	26157.0371	27039.2891	31948.4102	29836.4941	31152.0117	31222.0957	26535.6719	27837.3008	29820.5215	30960.8164	26512.3555	27271.002	31991.248	31368.9043	26555.0918	29141.5117	27706.6895	30686.5547	28944.8672	27263.9297	29105.2969	25780.5312	30218.209	28484.8906	26499.748	29864.541	30972.7598	28804.2754	28010.9551	25000.0488	34894.2422	27828.0176	26686.1543	28725.291	31116.1445	29814.2891	28209.9297	33041.2461	28892.748	34238.7383	29933.5195	30285.123	33423.6641	29814.5195	28012.9609	28304.1133	30534.6797	29750.4609	31796.9512	30246.9629	30265.0918	29027.9414	28939.9746	29835.7383
0.1334	26752.9746	26525.4453	31276.2949	31335.5137	28168.1797	29351.082	29146.0176	27995.0879	29069.3574	27650.2363	27198.209	31380.7676	30309.7812	30634.3789	30907.2266	26291.3301	29388.2969	29651.0977	31907.3008	27970.1719	27012.5273	31974.5859	31104.2695	27422.25	29921.1719	29105.9238	30779.6211	29374.4141	28374.5547	29409.5273	27437.8105	29855.7324	29864.375	27122.1211	28883.6895	31185.3535	27292.9805	27268.2461	23914.0117	34694.8281	29369.2383	26858.9648	29367.7598	30189.3828	29539.3984	28646.6133	34284.1094	28479.5586	34755	28893.3613	30486.2578	33720.3438	29566.0781	29926.1406	29888.3652	33320.3711	30127.1191	32128.8477	29666.8398	29973.7637	28131.9844	28003.0488	29993.0391
0.2668	25801.3047	27600.6934	33074.1953	31468.957	28187.2363	29160.0234	29898.3301	28664.9648	28470.4648	27183.4434	27423.1738	30559.5645	30733.4688	32832.6016	31210.3457	26881.8105	29958.3047	29691.8184	32191.1367	26843.0254	26677.6621	31348.2598	31513.8652	27078.3496	30179.9375	29334.4668	31897.7227	28864.9863	28361.1172	30576.9727	29027.416	30225.6562	31697.2305	28487.3418	28958.7461	31286.2559	28798.9375	27579.0391	23840.8828	33296.293	29114.4922	26827.7695	30637.1094	30528.377	29485.8047	29072.6992	33533.1875	29842.4199	34264.7578	29668.6953	27941.9727	34781.2266	30806.3926	28328.8047	30175.1367	32293.6367	30467.4727	33083.9492	30114.2949	29811.4922	29095.8398	27497.1602	29314.7949
0.4003	27181.8828	27242.2793	32119.877	29896.0195	27419.375	29139.6387	29616.6699	28877.6719	29602.4395	27551.6211	28037.3418	31735.627	31973.3496	31655.0645	30669.2266	25637.9238	29154.3086	30049.5879	30996.7441	27538.8555	26905.4668	31553.8086	31185.4805	27027.1133	30453.7168	30349.7988	32312.9941	29023.666	28515.7324	30578.8848	28798.0801	30109.3887	29521.8438	27799.8809	28509.5605	29961.791	28898.2832	28156.1523	24732.7266	35000.5234	28929.1426	26165.5723	28197.7852	32750.6387	29274.6133	28905.7461	33149.5469	30474.1777	35759.1797	31023.4453	28609.459	33494.707	30382.2969	30068.1016	29093.1055	31791.8125	31587.5059	32897.8516	28664.3848	30357.4238	30066.5098	29313.7969	28794.873
0.5337	26652.1016	27218.3594	32956.7188	29626.3926	27571.8164	29021.248	29849.8574	29354.707	31454.1133	27531.2891	27742.9551	32279.6309	31783.8027	30968.127	31556.4746	26077.7676	30045.2812	30249.8945	32081.9727	27902.6523	28211.502	32317.2266	30674.8066	26414.7559	30595.1602	29434.2734	32436.2363	29397.0293	29569.9395	32613.2891	27172.0273	30230.3535	30319.1367	29015.1582	29794.8027	31545.1348	30603.5996	29826.9453	25039.3574	34967.5938	29003.1035	26413.043	31701.0469	32309.418	28807.207	28086.459	32798.9766	29342.3984	35091.3828	30503.6719	28700.0254	33607.8438	30884.3184	30843.8906	30350.0586	34035.1367	32701.2793	32015.0684	29014.5859	31137.8867	29444.2344	29205.3652	29454.7227
0.6671	26080.7188	27249.3145	33295.8672	30821.793	28608.3477	29525.8398	30106.4902	29096.3867	30506.9609	27274.7734	28793.4375	32804.5352	31435.8242	31753.1289	31120.7598	26716.2305	31162.1914	30980.9766	31652.5938	28228.5156	28305.9277	31709.4844	31257.7324	27325.834	28952.9121	30912.2539	30623.6504	28659.7559	28410.9766	30777.5898	27016.8926	30113.9219	29862.3789	28938.4395	30779.2031	31221.0449	28910.625	29212.6133	24201.959	35655.3867	29440.3457	27397.4473	31151.7578	32245.4707	29178.4531	29707.498	30503.6113	31721.9277	36632.1328	31773.4023	30134.8164	33373.1836	31252.2812	31593.0879	29849.7695	32903.7109	33504.9102	31797.7656	29033.7812	32280.0605	29534.6426	29504.1406	30160.3301
0.8005	28311.3633	27833.5547	32959.2539	31234.6406	27445.2363	29485.8379	31999.6367	31487.3457	30736.3809	26793.3594	28296.4004	33395.3203	32228.7891	32302.877	30019.4688	26617.4902	29955.7656	29417.9219	32178.6523	29176.2695	28586.8906	30240.0684	32146.3418	28198.3555	30141.8555	28977.2168	31253.2266	30176.3438	29450.6484	31756.752	27020.6582	29908.9375	30977.5938	28275.8809	30344.9414	31878.623	29006.2363	29926.4922	24161.1562	34617.0664	30672.5059	27718.1816	32510.0918	32996.7188	28322.7812	30990.8887	31422.2949	30777.373	36357.1523	31846.8516	30844.8066	33522.4141	32022.5879	31693.791	30891.4355	33449.6484	32536.9453	32047.9727	30110.291	32613.543	29374.6211	29619.6309	31508.6348
0.934	27682.8535	27963.1719	34215.9922	31713.6309	28256.1426	31338.3105	30346.0996	30351.9102	30751.0977	27821.4746	29047.127	34200.0273	33233.6172	31201.3711	31944.9199	26926.7852	29979.6211	31035.5117	33633.5977	28556.8613	28721.9629	29866.4082	32153.9629	25840.9746	31984.5586	30603.9414	32457.543	29985.5	29296.1875	32527.7539	27826.25	30486.5156	30851.3809	28244.2402	30131.5117	32449.209	30130.9609	31951.6816	25490.9141	34066.875	32468.2988	27045.1289	33060.2617	33548.9883	28327.5977	33321.0703	31650.5996	30377.1289	34419.3594	32223.2109	31026.9668	31328.9277	33013.1641	32779.0508	34854.2656	34337.3828	31842.1562	32925.9883	31796.5508	32943.4844	29648.0723	29029.8203	31045.625
1.0674	29174.5449	27258.3965	34398.4102	32396.418	28131.3906	29221.8809	31842.6133	31103.1445	30947.6875	27027.9043	30851.5977	34990.457	32620.6816	31520.2188	31249.3008	27907.207	31673.3594	29941.3691	33613.3633	27978.8652	28783.8359	31468.0977	32798.1562	28584.2695	32038.291	32825.7266	33843.7578	28713.1895	31210.2012	32811.8125	28674.5898	31581.166	30704.7773	29884.7246	30993.4727	32938.4531	28343.5996	31421.8633	25522.6641	35150.6289	34776.2969	28737.4668	36506.5078	35704.2539	29524.209	36608.4102	33215.8477	30930.666	34643.0547	31958.6309	30914.3145	33884.3828	32230.4531	33588.3789	38687.5	33445.6367	32853.8789	33435.2969	34592.0625	33584.9492	29340.8281	29240.0957	30714.2207
1.2008	32305.8242	26868.0586	34100.0938	32406.5586	27587.5156	29395.0352	33362.2578	29801.3262	32294.1875	28232.666	29380.3027	36682.1953	32768.8359	32008.5977	31355.2383	28682.7363	31939.5801	31551.3594	34663.8438	29546.7988	29183.2715	35066.3477	36056.4766	26655.1719	35340.8789	30774.9102	36443.6562	29825.2539	33580.7344	31702.3418	28441.332	32060.8047	33327.2461	31581.2129	30934.3672	32956.6719	30309.3223	37432.7812	26052.6211	37437.7266	38299.1758	30620.6152	43713.043	43806.0859	29799.8984	45505.0586	31820.4082	32677.9941	35383.1133	31412.0957	30349.998	34591.8359	30920.4375	34782.4922	47436.8047	35171.8633	33478.6133	33970.957	46164.8828	36175.0664	31015.8652	31689.0488	31484.1445
1.3342	40150.9648	27491.0977	33801.9766	32706.123	30117.6758	30661.541	35469.9062	31352.4258	30289.9473	28395.1289	29896.5449	43494.3867	35530.3438	33416.7695	32963.7969	34462.1016	31736.3984	30313.9922	39159.168	29765.5977	32888.8164	36514.9609	38987.332	26483.0918	37506.668	35251.9727	42153.4883	30554.9609	38960.625	33830.5977	28534.6367	35053.0508	33896.2227	30322.0566	31130.1426	34829.1172	30234.9941	46547.8086	26570.5527	37467.3672	48303.2852	38825.8359	60605.168	61179.6953	30547.4121	62372.3398	33411.6953	35667.1953	36389.8281	31863.9844	32193.2891	35742.8828	30513.4805	34327.2266	73623.2969	37486.8906	34194.3906	34659.6641	61392.7656	40797.0781	31906.1094	34694.3594	31538.1758
1.4676	57052.6719	27642.9785	32946.9922	33047.1758	29024.8672	30475.4688	37946.1328	32636.4141	31047.3066	29097.1816	30576.7734	59830.7344	40430.582	32928.1289	34914.4297	50403.5	35538.1172	31143.418	48813.1211	31153.6328	41801.1719	43491.1523	42857.4414	27642.8457	45596.1367	43483.2031	59309.5859	29890.4805	53557.375	38376.7969	29442.4375	39025.2578	36512.5938	34945.1484	31655.2812	39872.4961	31381.3027	68632.125	25976.2949	42433.8242	65183.1875	50150.7812	80704.9609	73762.9297	31353.3359	68014.7109	37752.1367	45411.9375	37803.043	33074.6016	33055.4219	40469.6602	32365.3418	39336.3477	88211.8672	41303.3945	36649.1914	43653.375	64917.1562	49719.3086	35562.9766	42748.7656	32411.791
1.6011	67619.4531	27329.6367	37022.7891	37062.0625	32382.6113	32561.2559	42247.168	36548.3203	32788.8633	30067.959	36166.3633	82942.5391	51699.7578	33052.5039	39888.4375	74251.6406	45304.9453	32789.4336	55388.332	36780.7266	60821.1719	56521.7305	41421.3867	28454.4414	68499.5312	60892.3789	88750.6953	30956.3125	66292.875	49404.75	28489.2871	50263.8008	42919.1406	39975.5703	34740.0859	50077.9727	35577.7891	85291.5859	27870.9023	53668.8359	67965.9688	56101.7148	67864.1875	61110.2891	31431.918	53098.1523	47173.5391	55213.3008	46319.7422	32527.3125	35134.1055	49203.3711	32961.4141	47892.1172	72823.3828	53261.25	43573.3828	54905.7734	50186.6992	71082.0156	44735.168	41471.8398	32357.9883
1.7345	58082.3633	26978.0039	37910.4375	50466.9727	36759.6484	38484.9961	46780.0977	46162.7656	31884.6543	36813.3594	44163.2617	83959.5469	58375.4688	35837.6172	47090.6211	82598.3594	58669.6016	33665.5117	50759.5859	50548.2148	63247.7188	80119.6406	37029.1758	30436.3945	85214.1328	72056.9375	109196.9297	31531.2734	61900.0469	55607.6328	27304.7441	51567.5781	44008.6172	42044.9023	41641.7305	75166.9219	44782.4844	67977.8438	31749.6348	79209.6875	50309.6328	47099.3789	49985.9492	48501.9648	36891.0742	40198.3828	57420.7656	56453.0898	63127.207	34542.8789	42915.3086	48338.125	34736.9727	71809.6953	49958.1133	78935.2188	61405.0195	63564.7773	37952.3242	84513.5312	56769.1523	34448.3125	34384.1133
1.8679	39512.7461	30249.2871	42022.1562	60656.9727	43130.2383	48626.2031	39957	70381	31927.5957	44160.1836	47847.5898	60038.5664	49961.7227	40301.3242	44561.9961	61715.3945	63669.2188	36923.4609	39369.043	64017.0078	50318.8711	92265.4219	34303.4258	29605.8516	75474.3125	62939.0781	84626.3516	31802.9023	46955.2656	49420.2891	27617.4609	40284.6523	38920.9336	38612.043	45711.0859	91690.4219	58284.3438	52980.9375	40316.6094	107404.9375	39791.6289	36570.8906	40880.832	48741.3984	45995.3438	33851.9141	60343.0938	53515.4688	71048.6875	38632.1992	55032.3672	41435.9141	40135.8789	103918.6797	39274.1484	100041.1719	75335.1172	49074.5781	34076.5234	68828.8359	59919.8672	34947.875	35129.8984
2.0013	31708.9785	37638.8594	51434.4688	61618.4062	41716.2422	49613.6055	33996.6602	86255.0547	31083.4102	49794.9609	43881.2812	40848.1875	39663.4258	56042.2461	37699.8086	42379.6602	47652.8242	41775.1719	35558.9844	58155.9375	38562.375	71917.875	34593.2227	31092.6367	52414.2773	44949.1953	56916.7852	31769.1445	38384.8125	42894.4414	29000.1445	34927.8828	36395.9336	32857.4062	44215.3203	75858.8359	60659.6094	46244.75	54168.5742	100464.5781	34667.2539	31191.1758	43184.4297	NaN	54477.0586	31771.291	49391.6133	67306.1797	58069.7617	51205.7109	54093.8672	38092.25	47404.8164	102840.4219	36073.7305	91989.2656	69381.0391	38052.375	NaN	47855.125	55986.3281	31757.457	37928.8047
2.1347	30111.7539	45362.3594	61263.7344	45844.6641	33370.5156	40659.5195	30569.0312	67987.8359	32370.3848	42802.2773	36212.3633	33728.7852	35679.957	71839.9219	34544.7188	37972.3516	38311.6289	45904.0547	32602.5273	43428.793	33999.8945	56686.7031	NaN	35631.3984	41301.6133	35275.8438	39837.918	31978.7188	33748.1641	39007.1172	29341.1348	33239.125	33156.1523	29934.0176	35167.9531	53522.5938	47800.0156	36467.0156	63458.6562	65657.0156	31459.6094	27035.6836	NaN	NaN	49290.1367	30411.7773	41183.1914	NaN	43759.1914	72213.3984	43414.5	38249.4766	54043.793	70697.75	32787.3008	65728.2109	48933.7305	36026.3672	NaN	38221.9141	48167.9023	NaN	43808.5508
