x	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g
0	13263.991	13576.913
0.1334	15972.598	14663.073
0.2668	20394.127	15904.816
0.4003	22210.436	19145.766
0.5337	22656.182	19915.338
0.6671	20398.203	20491.914
0.8005	20709.863	18491.055
0.934	19591.912	17851.084
1.0674	19618.195	18141.566
1.2008	18907.287	18744.516
1.3342	19378.25	19680.256
1.4676	18410.838	20309.09
1.6011	19733.08	20293.973
1.7345	19808.455	21261.229
1.8679	20825.646	21789.375
2.0013	21005.516	23442.812
2.1348	23046.58	20981.857
2.2682	24870.582	18473.977
2.4016	23708.057	16760.02
2.535	21165.906	16443.846
2.6684	19421.92	16726.688
2.8019	18532.09	NaN
2.9353	NaN	NaN
3.0687	NaN	NaN
3.2021	NaN	NaN
