x	Y_20180212_14590b_15_8g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_22_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_45_2g	Y_20180212_14590b_5_3g
0	12727.554	13594.623	15376.728	13035.079	15436.017	13422.305	12452.79	13508.141	11854.608	13329.058	13465.916	12386.153	14476.742
0.1334	16282.008	16411.051	19604.709	14698.332	16128.198	15010.839	14372.489	14793.98	12848.053	14634.28	14627.775	13492.541	15144.527
0.2668	20147.221	19110.988	24722.432	17113.398	19057.988	16420.459	16495.154	15371.52	13779.018	16344.505	16343.784	17641.695	18766.287
0.4003	21989.842	20789.812	25706.787	22274.621	21840.734	19359.672	21267.049	16146.035	16404.752	18487.402	17577.393	22533.369	23250.658
0.5337	19424.693	22357.305	22194.742	26383.883	21554.586	22353.807	27336.291	16838.922	19978.25	26326.176	21603.906	21450.785	23842.357
0.6671	16265.021	23443.953	18346.434	26488.395	17992.721	21937.482	29114.701	18787.043	19725.68	34005.988	25268.986	18622.033	22714.951
0.8005	15166.992	22822.531	16783.045	22321.57	18149.738	18737.727	24036.713	18104.336	18932.977	33062.355	24119.727	17199.057	20037.723
0.934	15243.035	20741.885	14341.027	19886.342	18818.875	19051.656	19081.117	18123.824	17396.508	27738.754	21973.621	15890.653	19602.775
1.0674	15306.657	19362.379	13329.139	18067.418	17769.574	18044.283	18708.559	18403.725	18534.549	25360.961	21145.674	16557.352	18364.059
1.2008	16283.983	17524.629	12962.294	16899.621	17251.715	17416.316	17199.555	17569.338	17530.723	21677.869	19503.586	15870.09	16041.082
1.3342	16511.287	17378.908	13194.83	16811.648	17355.746	15954.698	15932.607	15816.954	16666.426	19917.77	18195.229	17016.373	15087.82
1.4676	15932.289	17072.068	13072.599	16244.308	16485.434	17633.814	14532.098	14616.803	16150.794	17961.869	18056.645	18443.602	14707.908
1.6011	14897.535	16226.487	12289.7	16630.068	18324.402	19149.84	13142.642	13599.436	15570.911	16906.289	17934.09	19808.305	15860.325
1.7345	15202.286	17047.432	13349.901	16060.756	19197.207	21201.381	12945.276	14267.028	14101.813	16017.739	18332.701	18593.871	15989.089
1.8679	14978.929	17050.674	12436.593	14885.105	21560.703	21605.16	13457.329	15897.967	15033.807	15593.598	18656.438	17948.199	16515.422
2.0013	15246.178	16797.844	13242.184	14878.76	25500.99	19562.348	15253.757	16302.578	16661.697	16001.548	17942.988	18116.479	18314.908
2.1348	16798.033	16816.168	15266.296	14406.917	32025.383	19177.854	16842.832	17959.137	18092.652	15654.748	19298.686	18627.922	19415.727
2.2682	19211.701	15952.042	17457.695	14277.21	38494.547	20773.275	18059.395	20493.445	18887.834	18098.162	22622.039	18285.203	19978.416
2.4016	24956.67	15959.714	20865.543	15648.708	39243.188	24374.662	21951.941	25846.787	20271.293	20070.072	31276.557	20755.289	20899.641
2.535	31855.186	14535.935	24791.768	18364.484	33272.793	27298.252	29397.242	28583.82	22763.486	24317.492	36060.688	22379.453	19213.559
2.6684	NaN	12903.062	25204.365	21163.391	24080.031	30241.121	33634.746	30668.316	25596.943	29650.311	36064.699	21718.191	17932.758
2.8019	NaN	12928.228	22458.209	23545.115	20197.961	30531.664	NaN	29513.389	26397.555	33798.082	30661.814	20520.139	16725.602
2.9353	NaN	12139.743	NaN	23727.412	NaN	NaN	NaN	26178.148	NaN	NaN	25804.6	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22556.766	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
