x	Y_20180224_15102_10_2g	Y_20180224_15102_11_6g	Y_20180224_15102_12_5g	Y_20180224_15102_13_14g	Y_20180224_15102_13_5g	Y_20180224_15102_15_14g	Y_20180224_15102_15_15g	Y_20180224_15102_19_2g	Y_20180224_15102_19_3g	Y_20180224_15102_19_4g	Y_20180224_15102_1_1g	Y_20180224_15102_20_4_S_g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_13g	Y_20180224_15102_28_6g	Y_20180224_15102_2_6g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_6_1g	Y_20180224_15102_7_2g	Y_20180224_15102_7_6g	Y_20180224_15102_8_10g	Y_20180224_15102_8_5g	Y_20180224_15102_9_2g
0	35214.543	36978.656	39106.297	38415.949	46492.25	35301.516	37260.109	37085.359	36796.57	31679.969	39064.199	37994.73	37594.18	36850.113	35879.703	79207.758	38418.273	35388.508	32131.09	37158.172	38298.133	37104.262	38718.57
0.1334	35208.707	37605.672	39218.934	37371.133	42705.641	34618.781	37740.934	38165.828	39091.754	31582.006	39864.16	38478.383	37939.809	35540.184	38081.762	86588.945	39324.449	36909.371	31873.361	37150.828	37357.797	36234.633	40780.941
0.2668	35695.938	36694.629	39394.633	37807.164	40814.625	35306.809	36460.477	37859.785	39002.949	31198.371	41414.992	38239.969	39132.594	35905.379	36663.105	76524.57	39734.211	33812.496	32891.133	37126.105	39350.844	36759.457	40850.273
0.4003	34654.176	37881.617	40226.688	38117.102	39753.219	35415.297	35725.852	37622.043	37731.762	32119.793	40025.082	37700.785	37610.355	36308.883	36460.793	58590.848	40223.301	37398.625	32934.309	36539.93	38928.641	36779.648	38811.68
0.5337	35683.555	37644.09	39340.203	37368.035	38361.477	36047.656	36135.691	35983.445	38116.754	31455.285	39099.984	38348.41	37438.082	35405.039	36289.273	48222.238	40123.141	37057.242	33741.918	36544.914	39317.395	36371.84	37287.441
0.6671	36033.25	37766.363	40942.531	37823.145	39195.406	36752	35577.887	38185.363	38292.34	32609.385	40829.879	37103.742	39039.129	35309.773	35873.555	43822.125	39679.43	37873.566	32116.408	35795.129	40851.195	35556.789	38563.961
0.8005	36119.707	37393.789	39282.621	38017.176	37622.895	36406.828	35336.848	37185.586	39914.801	34335.547	39408.23	38066.309	39451.906	36979.922	37323.078	41662.586	39785.332	36190.121	34540.316	36522.715	41860.203	35448.84	37781.656
0.934	34960.527	38677.141	40113.641	37761.555	37952.719	38090.41	34139.488	38132.875	41076.297	34851.617	38634.703	40449.512	39616.184	35615.77	36649.301	41409.953	40070.625	35736.484	35377.672	36552.332	41531.742	35683.258	38450.996
1.0674	36077.891	37603.422	40349.879	37957.848	37547.938	36987.746	32870.793	37832.07	40325.32	34229.211	39668.781	40545.973	38078.055	34995.586	37597.918	40023.496	40338.246	36584.676	34335.883	36473.297	39876.008	36163.621	41396.211
1.2008	35893.965	38692.59	39541.629	39463.203	38027.531	38751.633	33295.492	38318.641	38558.516	34378.934	39994.922	40634.566	37950.668	37063.133	36375.07	41661.824	40255.102	38023.137	33283.453	38417.68	41520.844	37500.27	41112.789
1.3342	36317.84	38045.094	39233.688	40700.648	38463.859	37862.754	33852.125	38599.188	38114.293	34992.383	41219.934	40192.012	39983.098	36536.293	37970.07	40063.035	39344.422	36702.078	35288.184	38882.777	42029.918	38373.859	39219.504
1.4676	38900.566	36998.492	39830.664	39604.535	37972.938	38504.793	34303.145	39112.039	37246.355	35605.957	43026.441	39247.215	38833.367	35053.555	37489.703	39102.055	37726.074	37458.582	34396.117	38397.129	42482.445	39480.508	39153.242
