x	Y_20181208_15100_10_3g	Y_20181208_15100_11_5g	Y_20181208_15100_13_2g	Y_20181208_15100_13_3g	Y_20181208_15100_13_7g	Y_20181208_15100_15_4g	Y_20181208_15100_16_4g	Y_20181208_15100_16_8g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_18_9g	Y_20181208_15100_19_1g	Y_20181208_15100_19_3g	Y_20181208_15100_2_3g	Y_20181208_15100_20_2g	Y_20181208_15100_20_9g	Y_20181208_15100_21_10g	Y_20181208_15100_21_11g	Y_20181208_15100_21_1g	Y_20181208_15100_21_3g	Y_20181208_15100_22_10g	Y_20181208_15100_22_1g	Y_20181208_15100_22_4g	Y_20181208_15100_23_2g	Y_20181208_15100_23_8g	Y_20181208_15100_25_4g	Y_20181208_15100_26_2g	Y_20181208_15100_26_4g	Y_20181208_15100_26_6g	Y_20181208_15100_27_1g	Y_20181208_15100_27_7g	Y_20181208_15100_27_9g	Y_20181208_15100_32_5g	Y_20181208_15100_5_1g	Y_20181208_15100_6_3g	Y_20181208_15100_6_4g	Y_20181208_15100_8_2g
0	12752.8672	11270.1289	16464.1914	10374.5234	12063.1748	11786.0127	11271.7051	12511.1973	11849.6006	13617.7695	12828.3936	11158.7588	10736.9932	12264.916	14166.1875	13430.2217	15427.6885	13766.1396	16025.8682	12640.1328	13117.5195	13241.3027	12223.5547	12689.0264	12954.7217	11765.918	11363.7461	12202.5049	11529.2256	6357.3164	10547.7832	11239.9941	12507.7188	12361.5	13317.2949	12534.7598	11498.252
0.1334	13068.7676	11767.3438	21297.4844	11173.9717	12938.2236	14202.4619	12173.915	13705.3848	12045.5674	15443.0469	12497.2881	11879.665	11008.6514	12452.7246	14475.8047	13671.5186	18970.0586	13312.1797	21067.0215	12306.0039	13520.9678	13934.6582	13118.3564	13621.627	12877.0205	12383.9141	12853.0615	13536.9561	11752.3408	6983.8242	10889.7959	11849.8115	13084.2803	12035	13799.501	13161.8262	12200.4502
0.2668	13985.0205	13838.4414	21711.0312	12891.1113	12583.1992	18182.3652	13686.9453	14927.7432	12399.6006	17250.0039	16057.917	14121.5928	11597.8135	12414.4121	17828.9141	15235.0479	22554.7891	14096.4453	25206.1973	13333.3096	13992.0293	15193.6914	14645.415	14983.3252	13578.8916	13768.5947	15392.4297	16416.7344	11949.0322	9344.9355	11738.7109	13330.7119	14697.9561	14656.6807	14123.5898	14186.7607	14117.2803
0.4003	16649.2441	18627.4062	19450.9355	16754.1465	12519.2236	19693.8633	16009.3682	16958.0547	12861.0801	19276.8574	18263.7754	16551.3164	14048.1631	14062.1318	21633.4863	18056.1328	23400.6035	14348.2783	22599.709	13821.249	14900.6855	16831.8574	18087.7148	15395.6543	15538.4805	14400.0234	17577.3047	19977.5977	12647.8662	19411.8359	13050.4727	16374.3662	16946.373	17146.7656	15788.5273	15933.4473	17154.9297
0.5337	21076.2871	22165.4844	17340.0137	20968.0684	14974.958	18043.3398	15199.6855	19025.2051	14268.7578	18855.793	18078.459	17016.373	17144.8008	16700.5254	21819.3789	19713.1543	20688.2832	15848.0596	19681.457	15438.6455	17107.3164	14213.6055	22252.1875	15737.4033	18306.6895	15150.1699	18261.1211	19069.625	13998.0098	20797.0234	14282.3691	21141.6855	17865.5859	17768.4453	19249.3613	18191.375	17428.7461
0.6671	20791.3262	22430.3184	15451.958	22500.7461	19331.7422	17257.7129	13151.2568	18710.0762	15467.5967	16598.3223	15222.5381	17266.082	16209.5176	17263.6211	19277.5859	19132.4863	15944.7109	17586.6699	17770.4473	16717.9199	20593.3516	14351.96	22677.0977	15886.0166	20801.873	14498.9424	15847.9189	16279.1455	15851.6738	16890.5449	13989.2129	28015.8594	15702.9346	14852.8926	22802.7363	20690.5059	16171.624
0.8005	17427.8691	18867.7754	14091.4375	22491.2461	24932.248	17446.8691	12366.1035	16142.1631	13926.7578	16065.46	14060.4619	17308.3672	13120.2031	16720.5566	16272.6025	18687.1406	14207.5674	19291.3418	16035.4238	15024.1152	22218.666	16244.1328	20296.5879	17561.127	21110.0332	13723.4531	14904.0244	14807.5117	14968.7129	13913.6279	12558.1367	28280.8613	14279.127	14358.0371	20279.4238	18056.0742	16354.9785
0.934	15462.752	16920.4609	13737.873	19153.748	23576.3867	16913.2598	11746.8086	15213.1113	12441.127	15178.0537	13089.7686	17227.9316	11768.9551	15835.335	15237.1758	16490.0938	14291.0361	17987.75	14237.1982	12307.1582	22086.709	16814.3105	17442.4609	17218.8027	17036.8438	13488.3682	15419.7764	14240.6816	14158.1475	12498.6836	12309.3594	23285.2012	14349.1113	14100.5918	18308.0508	16191.2207	15539.6025
1.0674	13429.8145	16023.6348	13273.7783	18472.2617	19208.9707	14772.4062	11445.3584	15808.8086	12506.7881	14956.5605	13602.9424	18173.0469	12294.8535	16483.1992	13010.2539	14830.4707	15322.4902	15264.8711	12354.3164	11712.8809	21660.6016	16205.1514	16707.9219	16087.3262	15460.4941	13736.9795	15126.0508	14245.3164	13489.165	12060.6904	12173.208	19860.5234	12972.0244	16426.7871	15727.2969	16796.127	15443.2207
1.2008	12326.7441	14556.5967	14383.2471	17228.4824	15336.4248	14424.0049	11656.0928	15690.4531	12142.5049	14760.0723	12155.5156	16343.2969	11879.4131	15718.1855	13031.8691	14864.2188	15346.5576	13736.249	11580.167	11955.248	19040.2012	14988.5713	17388.0215	15277.7275	14990.8457	12972.5762	13385.6006	13902.5469	13717.1963	14180.9863	11585.6436	17278.0645	13420.9443	16637.4629	15135.7939	16249.2881	14508.2324
1.3342	12490.0186	13543.874	14854.21	16528.1172	12043.3457	12977.6523	11640.1533	14824.3252	12649.9775	14072.8125	12097.4287	15211.6855	11776.8984	14268.4326	13755.0996	14079.8252	14918.249	13865.335	11281.7432	12814.1562	17226.9746	14603.8193	17039.1699	14222.0918	15276.0703	12622.6514	13090.8076	13125.6406	14910.957	14281.6309	11136.4434	15008.8281	12670.9375	15837.0508	13253.8574	17008.6133	15630.8936
1.4676	12233.3105	14140.04	13984.6846	14343.8389	12053.1787	12350.4199	11845.8633	14921.8301	12559.958	12424.6289	12774.3916	13516.0723	11207.3262	13282.6133	13015.999	13275.4023	13367.8799	13369.6777	11569.7305	13430.0303	17040.1758	13030.7295	15303.4443	12925.292	14458.3027	12492.1123	12371.959	12061.7471	14447.6904	12923.4766	10798.9121	13544.1709	11920.2275	14598.0918	13185.1055	15793.8623	13469.0107
1.6011	12397.123	14110.2578	13491.9922	12999.7422	12202.7285	11950.3027	11949.9033	13837.6074	12646.6133	12003.5029	12447.0508	12248.5762	11450.5586	12407.8916	12350.0732	12815.1885	13143.2305	13254.0273	11527.7754	13369.5449	15491.0068	12218.6621	13966.002	12659.7021	13412.2734	12534.4688	12247.4395	12557.1455	13977.4697	12330.5244	11285.7139	12816.4453	12326.9365	12659.9512	12853.8633	13409.0391	11988.376
1.7345	12110.5703	13551.6328	NaN	12492.1689	NaN	12130.2695	12891.9795	13318.21	12598.3789	11491.4688	12013.1836	12415.6592	11223.4336	12319.9248	13291.0508	12998.6543	12097.167	14079.1494	11149.7695	12610.2451	14109.3047	12445.2969	12782.0518	12160.8506	12562.0205	11988.4033	11812.4355	12483.4102	12791.1182	11139.998	12003.9385	11576.1904	12269.5186	11559.626	12221.8447	12132.6748	11101.5068
1.8679	12054.8418	12717.9199	NaN	11774.5098	NaN	12315.376	11963.6338	13134.0928	12807.0928	10990.2031	12395.0264	11504.6201	11378.1494	12050.0791	NaN	12295.5996	12943.542	13878.4756	11813.8281	12222.499	13316.416	12823.4883	12334.8311	12140.0322	11899.4111	12228.8975	11590.5225	12217.6738	11952.7881	10431.1895	12185.2207	10603.7891	12166.7998	11542.3369	12130.834	11376.9424	10737.8545
2.0013	12396.2207	12933.0254	NaN	11255.6885	NaN	NaN	11900.0752	12632.2295	12432.4209	10584.9844	12014.2461	11284.7725	12280.0713	12610.3662	NaN	12499.1738	12769.2998	13114.4092	NaN	11482.3008	12101.8213	12834.3457	11705.5771	12544.085	11702.8838	11849.0947	11699.8604	12363.6318	11556.4287	10084.9697	11902.7275	10727.123	12434.0098	11550.5264	12960.5645	11541.6572	10786.8672
2.1347	11770.2441	11964.585	NaN	11229.54	NaN	NaN	12041.4404	13011.5332	12648.8604	10078.752	NaN	11630.6748	12374.3574	12058.9375	NaN	12016.8447	12943.6514	13282.7822	NaN	11190.7959	11734.8398	NaN	11595.6387	12122.2695	11466.208	12123.2334	12395.7803	12433.8574	12023.2012	10432.8154	12547.0635	11416.0986	11823.5068	11576.2998	13111.7627	11697.3887	10974.0713
