x	Y_20181208_15692b_1_1g	Y_20181208_15692b_11_4g	Y_20181208_15692b_12_16g	Y_20181208_15692b_2_4g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_6g
0	28649.1094	27090.8027	28813.6465	31730.8906	26314.6309	31956.4238
0.1334	28874.752	28619.9141	28935.6914	29900.2539	24561.2188	31883.3926
0.2668	28354.875	28817.5762	29855.4316	30731.6055	25266.5371	30907.5098
0.4003	30918.9395	28650.4629	28488.793	30938.6523	23991.9766	30858.3184
0.5337	29579.3672	28549.2871	30036.3789	30605.6055	24981.0039	32289.8203
0.6671	30507.9062	28325.0898	29905.3066	31415.7734	24723.8047	32772.6602
0.8005	29348.5352	29826.9707	29226.5918	31036.459	25970.5566	33531.6953
0.934	30177.0723	28678.4785	29504.7305	33251.3125	27344.7246	32812.9688
1.0674	31136.9473	30229.8086	30201.8184	31998.6211	25368.6348	32660.8379
1.2008	31517.5742	30526.1758	30553.4512	33259.4922	26272.0195	34638.3125
1.3342	31080.541	30451.6953	29748.832	36337.6211	27028.5742	32238.2148
1.4676	31138.1074	31573.582	31287.9551	39418.2031	28076.4316	32291.3516
1.6011	29770.3926	31661.4434	31122.8047	40082.9336	27468.1504	32134.3359
1.7345	31993.543	30980.5078	31802.6953	38290.9258	27389.7969	32128.7656
1.8679	31184.4766	31860.2129	31641.0898	35777.2578	29062.3398	32346.7578
2.0013	32500.4297	33800.4258	33097.75	37324.8242	28514.6055	32680.2559
2.1347	33606.082	32660.2188	35715.7969	47418.6016	29692.0312	35010.4023
2.2682	36870.2031	32993.0742	39414.625	53697.125	36187.9844	35791.375
2.4016	46122.7461	36883.7188	36394.0625	47128.1094	44681.7812	41257.6836
2.535	62082.7188	45200.2188	34053.4375	37901.8164	58139.875	55875.3125
2.6684	82931.0703	68122.3594	30394.998	32632.9336	56559.6914	64353.168
2.8019	83066.5625	101230.8438	29351.9102	29789.3477	43487.5664	58606.9492
2.9353	58903.5039	96121.8281	29607.0195	NaN	32253.5664	62211.8555
3.0687	42863.0312	63904.3281	29456.7988	NaN	31019.0254	NaN
3.2021	35960.9883	52646.2305	NaN	NaN	NaN	NaN
3.3355	33206.2344	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN
