x	Y_20180224_15100_10_5g	Y_20180224_15100_11_5g	Y_20180224_15100_11_6g	Y_20180224_15100_12_7g	Y_20180224_15100_12_9g	Y_20180224_15100_13_3g	Y_20180224_15100_14_1g	Y_20180224_15100_16_1g	Y_20180224_15100_16_2g	Y_20180224_15100_16_4g	Y_20180224_15100_17_3g	Y_20180224_15100_17_4g	Y_20180224_15100_18_7g	Y_20180224_15100_19_12g	Y_20180224_15100_19_14g	Y_20180224_15100_19_15g	Y_20180224_15100_19_16g	Y_20180224_15100_2_11g	Y_20180224_15100_20_3g	Y_20180224_15100_22_6_2g	Y_20180224_15100_24_6g	Y_20180224_15100_25_3g	Y_20180224_15100_25_5g	Y_20180224_15100_26_4g	Y_20180224_15100_26_5g	Y_20180224_15100_28_10g	Y_20180224_15100_28_4g	Y_20180224_15100_29_4g	Y_20180224_15100_29_8g	Y_20180224_15100_4_11_2g	Y_20180224_15100_4_6g	Y_20180224_15100_4_8g	Y_20180224_15100_7_5g	Y_20180224_15100_7_6g	Y_20180224_15100_8_4g
0	41147.816	35840.977	36553.887	41568.215	34282.777	39419.664	39164.359	49162.984	39251.164	36934.598	39412.312	37436.445	43198.727	39339.262	37830.379	37918.438	39098.555	39448.191	34093.398	39771.262	34481.156	38854.426	39667.543	38868.328	39002.695	40743.703	42157.695	40936.801	38252.07	34822.602	36272.012	37020.652	40564.625	39915.566	37186.691
0.1334	40940.688	34969.77	35936.293	42836.348	34836.188	41391.582	39584.344	47923.066	39841.492	37273.09	40825.289	38909.383	40893.645	39387.926	38604.496	37502.551	39241.039	39291.602	33907.715	41930.328	35014.219	39999.203	39105.836	38803.18	37917.125	39321.234	40979.664	43264.715	38724.113	36132.621	36241.836	37165.719	38908.066	40306.688	37665.164
0.2668	41549.629	36689.652	36261.824	42318.375	33511.133	39788.422	40620.281	47562.812	40525.23	37523.73	40235.883	39606.375	41432.363	41165.16	38479.965	37905.305	37688.934	41097.473	33611.191	43177.129	34141.727	39756.262	40049.164	37533.695	39533.57	38460.629	41618.27	43381.711	37105.727	36789.02	37018.242	36066	37644.512	39066	37440.578
0.4003	41434.664	35864.711	37220.234	42304.977	32047.84	40511.383	41348.996	46206.395	40421.641	36830.598	38620.141	40666.48	39084.77	40013.801	38186.113	37205.633	37489.77	41511.086	35855.094	41437.109	34426.438	39787.238	39364.172	38148.609	38161.719	39519.832	41574.219	42897.129	37978.129	37074.32	37744.523	34799.715	37143.402	38836.355	38815.219
0.5337	41415.762	35895.82	36119.691	42858.617	32234.586	41065.473	40786.918	44713.668	40146.484	36607.613	39813.777	39128.023	38682.621	40395.91	37871.086	37482.488	37085.02	42201.43	34320.32	40647.277	34398.117	39219.387	37497.051	38771.293	38860.539	38625.547	39836.402	42054.586	38000.914	35423.172	38335.348	35879.359	35453.109	40441.137	38146.047
0.6671	40562.207	36079.863	36967.844	41667.621	34308.43	41332.926	40352.777	45321.238	38348.133	36127.75	41588.82	41766.586	39604.484	40020.184	39422.906	38107.395	37361.375	42132.281	32438.539	40313.098	35802.422	38474.109	38267.574	41286.48	38280.164	40408.355	41059.438	42077.949	40342.617	37395.797	36307.648	36559.668	34749.059	39179.191	38022.305
0.8005	39599.891	36929.539	35502.242	41726.668	34102.121	41639.531	40961.492	42765.414	38405.539	37963.594	41087.152	42155.598	38431.977	40252.047	39343.488	37618.582	38158.348	43449.164	32503.904	41515.609	34864.828	40316.168	37061.465	42768.859	38168.465	38861.16	42706.246	40866.18	39613.094	37074.695	34492.91	37700.859	34410.234	37382.109	39445.949
0.934	39386.848	35560.07	36834.754	41630.078	32127.004	39907.555	40447.73	42525.227	39396.582	36776.883	40546.199	41494.469	40453.988	40300.41	39432.129	37545.148	39741.891	41250.875	33280.07	42177.512	33926.949	39718.426	38340.945	40941.691	37401.949	37365.895	41138.996	41494.66	38487.965	38119.016	34187.797	35698.914	34219.688	37135.027	37515.145
1.0674	42267.598	34516.34	37781.438	43011.949	32191.824	40500.074	40578.379	42471.621	38479.617	36954.316	39779.266	42593.973	41440.148	38328.516	39668.535	38058.73	40260.91	40954.453	33838.367	42147.188	33206.66	40008.008	40354.52	38395.051	36926.391	37330.363	40686.301	42876.59	39745.477	35297.797	35697.656	35375.496	34907.199	38386.246	37155.133
1.2008	43593.801	35005.145	36691.051	41135.137	32229.867	40121.641	41017.055	41628.18	38707.789	37208.891	38720.109	42764.359	39549.398	37332.109	38855.145	39652.418	38041.918	42216.602	34012.285	44777.449	33991.434	40426.379	40234.16	40922.309	36750.41	38788.34	41052.223	40211.93	39599.871	37544.305	34684.852	36549.336	36002.641	38070.297	36714.5
