x	Y_20180130_15100b_17_8g	Y_20180130_15100b_2_8g
0	12011.039	12152.119
0.1334	11826.413	12260.564
0.2668	13476.79	13883.239
0.4003	16100.091	16824.215
0.5337	17188.113	17695.135
0.6671	15743.455	18000.061
0.8005	16114.67	17239.846
0.934	15639.493	16704.928
1.0674	15705.726	16768.619
1.2008	15841.726	15850.027
1.3342	15884.737	16730.682
1.4676	15667.912	17831.572
1.6011	16061.373	18145.971
1.7345	15655.207	17923.539
1.8679	16044.456	17877.748
2.0013	15325.865	17396.096
2.1348	14351.544	17059.676
2.2682	13515.855	16811.818
2.4016	15043.184	16487.297
2.535	15226.355	16451.703
2.6684	15298.074	15817.766
2.8019	15978.241	16251.423
2.9353	14761.852	16303.615
3.0687	14463.323	16196.214
3.2021	13412.872	15248.115
3.3356	13177.229	14485.994
3.469	12818.647	13952.142
3.6024	12680.785	13881.406
3.7358	12931.348	12871.863
3.8692	12403.844	14007.253
4.0027	NaN	14069.769
