x	Y_20181208_15693_10_3g	Y_20181208_15693_10_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_18_6g	Y_20181208_15693_19_5g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_7_5g	Y_20181208_15693b_1_12g	Y_20181208_15693b_10_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_3g	Y_20181208_15693b_3_19g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_26g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_3g
1.3342	42642.6953	51345.332	34249.1562	98368.0703	74400.9922	70789.6641	44038.5508	37050.9883	58406.8945	50648.9062	75242.2109	43495.4141	72600.9375	38376.4727	37043.2227	37377.6602	74579.3828	90971.9062	30260.834	77546.4375	57836.3086	113064.1406	40651.1406	56696.7812	41941.7617	65381.082	25392.0312	32453.1836
1.4676	56391.6836	66857.9375	34342.8672	122546.7891	81065.3594	49997.918	64183.2617	47587.8633	69916.9531	80259.8672	80053.3047	37688.1797	76356.8984	48585.3008	43042.6445	49238.0742	54852.6016	68318.6016	32798.9961	63504.8477	73430.3906	112506.2422	52881.7422	86216.0625	57609.9922	89148.5391	26162.5352	32747.4531
1.6011	72012.1484	66071.9844	37717.707	88762.4219	59288.8984	38278.4688	93775.5938	55085.2539	57516.4609	110911.0625	60985.7461	29652.5156	57217.207	68311.2812	61259.6914	49115.2109	40165.9844	44707.7617	38853.6055	46334.9844	66944.75	84064.3047	83102.8125	105224.2188	87587.0547	87210.7812	30815.4766	40061.5312
1.7345	70260.7109	52993.9492	44643.8438	55200.0352	43078.3633	34968.7734	105790.7344	46540.707	43150.9141	103744.1719	45154.418	27431.0391	41364.918	87503.2031	76900.9531	38525.793	31236.3281	33864.6953	47717.6016	39907.2461	50703.4492	54075.9609	130890.8984	89148.4688	107290.7891	64872.0156	40378.1758	54796.3867
1.8679	51630.293	42409.3164	56696.7773	42289.3633	36322.7539	32207.3145	77903.5469	37490.457	38133.1484	68194.0078	36717.8359	25347.9004	35773.3008	78121.2891	69937.5781	29736.6875	27904.9785	32855.3516	46481.7891	39931.332	38406.832	41629.8633	129194.2031	59976.6172	84551.9531	43130.1836	56751.1641	63761.043
2.0013	37003.5859	37352.1797	58861.9453	36743.6992	32337.2246	34382.8398	48740.1797	32941.4336	36028.832	47405.1133	35151.8359	NaN	32595.2051	55470.5391	48530.2344	27990.0801	28502.2031	33045.4062	40575.1641	48136.6367	33708.8867	35466.0156	89780.3828	45723.8164	53804	34190.4375	74868.6328	50746.3789
2.1347	31286.7363	34459.4336	48648.2227	34674.1523	31706.4941	NaN	38079.2656	30494.2793	33572.3203	40064.5703	33827.2969	NaN	31690.8398	43235.1602	39306.5352	27560.7734	27819.207	33826.3008	35258.8945	NaN	31764.1172	35085.0625	57114.125	41682.0117	43148.7305	32415.2188	70953.3203	38424.0898
2.2682	27892.0801	31316.2305	39438.75	34989.4062	32768.6406	NaN	33823.8125	NaN	NaN	38200.0742	32801.2617	NaN	NaN	36391.7422	35658.7422	NaN	NaN	NaN	33938.5938	NaN	30546.9492	32675.0566	46941.5391	41625.0938	38832.8984	29416.2285	46890.3789	30616.2988
2.4016	28573.1816	NaN	35441.9375	35679.7891	NaN	NaN	33632.1055	NaN	NaN	NaN	NaN	NaN	NaN	36648.0078	NaN	NaN	NaN	NaN	32653.1543	NaN	30903.3223	33397.8125	42176.0742	42146.9844	37708.7852	NaN	31858.6035	28298.4023
2.535	27294.2734	NaN	33264.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42635.8711	NaN	35474.3594	NaN	28774.6875	NaN
2.6684	NaN	NaN	33806.9141	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38431.2266	NaN	NaN	NaN	26449.1152	NaN
2.8019	NaN	NaN	32301.8809	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	38547.9492	NaN	NaN	NaN	NaN	NaN
