x	Y_20180130_15100b_10_15g	Y_20180130_15100b_10_9g	Y_20180130_15100b_11_5g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_7g	Y_20180130_15100b_14_1g	Y_20180130_15100b_15_3g	Y_20180130_15100b_15_9g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_22g	Y_20180130_15100b_18_8g	Y_20180130_15100b_1_14g	Y_20180130_15100b_1_3g	Y_20180130_15100b_20_14g	Y_20180130_15100b_23_2g	Y_20180130_15100b_2_6g	Y_20180130_15100b_2_7g	Y_20180130_15100b_3_4g	Y_20180130_15100b_3_8g	Y_20180130_15100b_5_2g	Y_20180130_15100b_7_2g	Y_20180130_15100b_9_15g
0	28842.191	39027.906	41056.262	37193.215	34565.645	35565.305	31565.881	44990.281	36065.984	31906.098	38898.5	36871.836	32146.676	38484.859	36850.805	41191.871	33820.73	37078.473	33093.074	35954.977	32885.148	38915.027	36464.617
0.1334	29808.24	39322.883	40695.219	35254.52	34905.137	34164.957	32225.26	45075.516	35830.074	30454.387	37627.941	35266.258	31259.27	36319.648	37886.656	42624.113	34377.301	36520.617	33883.18	35391.523	34497.773	38666.301	37149.891
0.2668	28604.82	39588.984	41009.371	32930.27	34882.445	35177.227	31846.838	44713.82	33795.676	30272.338	39052.359	37063.559	31561.695	38367.383	37657.086	42586.293	35466.488	38264.516	33637.383	35902.477	33780.777	39448.488	37284.129
0.4003	29309.518	36476.406	41929.176	32642.342	34266.887	34378.043	32196.477	41861.055	36159.277	32489.91	37387.195	35907.23	30515.332	35743.246	37842.395	40304.453	35032.742	38258.52	34447.895	38096.664	34054.891	39137	36282.781
0.5337	29740.525	38457.809	42125.738	32754.512	35056.309	34667.082	32521.322	41915.422	37382.309	31554.086	39097.016	36255.023	32236.385	36497.879	38332.586	41999.359	35645.613	38346.414	35316.184	36879.875	34599.957	39653.066	38626.875
0.6671	31141.791	39048.906	41938.906	34000.68	35630.641	35987.352	32445.969	40671.34	38189.762	32343.512	39354.348	37008.723	32529.871	37965.699	37127.676	44379.047	35561.488	37627.395	35922.66	35787.922	33816.656	37415.137	38062.449
0.8005	30420.486	39062.359	43599.637	33029.312	36226.812	35614.75	32377.607	40332.312	38213.457	32931.602	38434.629	36066.305	33042.703	37697.566	35990.363	43753.266	35608.527	37239.016	37157.316	36032.18	35309.012	37150.852	37959.082
0.934	31474.527	38674.82	42207.266	32088.668	37229.914	34739.07	32501.021	38912.648	35965.871	32144.176	36944.535	36328.344	32889.961	37695.109	36843.039	41298.418	34429.848	37582.824	37665.301	35811.109	35186.281	38435.066	38225.906
1.0674	30893.99	38999.336	44041.281	32836.172	36804.723	34457.227	31809.258	38729.742	34602.016	33597.469	40029.523	37254.941	32625.846	38349.176	36422.238	42364.781	33977.887	37374.484	36137.273	37919.074	33623.543	37736.273	37609.203
1.2008	30745.289	39713.5	44605.102	34454.215	37206.148	33834.281	32043.727	37797.812	34401.766	32522.457	39948.23	36333.27	33408.906	39504.32	36828.109	44074.523	34801.793	39804.809	37319.07	38434.918	34296.672	38180.398	37547.875
1.3342	31113.971	38787.852	43720.492	36026.176	37964.949	34587.91	33578.16	37481.062	34965.84	31280.268	39153.738	37352.781	33974.152	38468.797	37973.711	43443.457	35726.633	38613.371	35101.609	37638.121	33177.848	37951.195	36597.293
1.4676	30821.342	40404.539	43905.434	35114.355	36959.949	33885.148	33324.461	37726.566	35802.254	31687.344	38937.285	37955.488	33071.531	37747.188	40423.664	42085.645	36053.297	38189.766	35415.246	37942.523	32735.141	37177.137	37486.422
1.6011	30125.592	39972.375	44535.168	35015.93	38399.738	34156.402	34256.543	37894.363	36545.531	32105.807	40519.094	37045.012	32852.914	38221.871	39603.793	42595.82	38393.676	38899.766	36953.758	39384.035	33470.195	37574.512	38772.805
