x	Y_20181208_15694_1_18g	Y_20181208_15694_1_21g	Y_20181208_15694_10_10g	Y_20181208_15694_10_4g	Y_20181208_15694_10_8g	Y_20181208_15694_12_9g	Y_20181208_15694_13_11g	Y_20181208_15694_13_6g	Y_20181208_15694_14_3g	Y_20181208_15694_14_4g	Y_20181208_15694_15_2g	Y_20181208_15694_15_4g	Y_20181208_15694_15_8g	Y_20181208_15694_15_9g	Y_20181208_15694_16_6g	Y_20181208_15694_16_7g	Y_20181208_15694_2_11g	Y_20181208_15694_2_5g	Y_20181208_15694_2_9g	Y_20181208_15694_20_10g	Y_20181208_15694_20_9g	Y_20181208_15694_23_13g	Y_20181208_15694_23_15g	Y_20181208_15694_23_6g	Y_20181208_15694_25_2g	Y_20181208_15694_26_1g	Y_20181208_15694_26_22g	Y_20181208_15694_27_12g	Y_20181208_15694_27_4g	Y_20181208_15694_3_10g	Y_20181208_15694_3_14g	Y_20181208_15694_3_3g	Y_20181208_15694_30_7g	Y_20181208_15694_5_5g	Y_20181208_15694_6_14g	Y_20181208_15694_6_16g	Y_20181208_15694_6_5g	Y_20181208_15694_6_7g	Y_20181208_15694_6_8g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_8_7g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_10_4g	Y_20181208_15694b_10_5g	Y_20181208_15694b_2_6g	Y_20181208_15694b_6_11g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_3g	Y_20181208_15694b_6_5g
0	31012.0137	26225.8477	31000.7227	33357.9375	29847.6719	31243.8066	29263.6367	32804.5352	25284.5645	28325.0684	28882.998	29625.9941	27920.1738	24574.5508	25665.8398	27882.5312	30494.8398	32212.041	30706.3535	30738.9316	27478.0449	29910.0469	27000.291	26206.3262	24679.3262	28893.3984	24445.6172	31273.9629	29502.623	32921.2305	27812.127	29336.7773	28266.0625	32980.6289	28917.9648	32047.6367	29655.041	26937.3398	28786.1836	29249.0742	31910.7871	29111.1953	30004.4199	27430.9141	34419.1719	30728.0625	29467.0625	26517.8926	25768.3711	28276.041	28212.6758	31657.1523
0.1334	30587.1328	26564.3125	29690.8555	33736.0508	31084.9238	31747.8535	28678.3789	31572.6504	23975.2891	29220.2969	30102.7617	30211.7598	28506.0527	25105.3379	26775.5371	27399.7754	30178.6777	32739.2852	30787.8242	30576.5957	27841.6621	30052.8379	26142.7129	26986.3535	25904.3555	29920.0898	24511.0352	32011.3477	29558.7305	33204.2422	27730.9707	28776.043	29517.3418	34300.9375	28697.8438	32759.8398	31120.3906	28218.416	28624.4844	30223.2812	32226.1934	30351.2598	29768.3496	25129.0645	34913.2578	29960.8789	28686.3008	26026.1895	27024.1758	28812.0879	28832.2324	30527.5762
0.2668	31924.7715	26352.2832	29323.4512	33458.0234	28945.5742	31837.625	27780.0703	32871.8984	26047.0352	29479.7402	30231.7949	30086.791	28168.373	25849.2656	27085.4707	28386.4492	30868.8418	31155.3945	30950.3945	31071.1953	27751.6973	29241.1973	26054.4102	26074.7852	26334.75	30732.6641	23886.2617	32269.209	30142.3848	33282.8867	27688.7559	27395.7832	29488.4883	34699.0039	29861.1992	33940.2344	30662.7715	29413.5488	29351.9082	30327.3242	33381.293	30810.166	29868.3164	24271.7637	35279.6836	30569.1895	28562.7324	28614.5332	28131.9707	28898.8262	29586.0254	30371.8027
0.4003	32333.1367	27792.7832	29184.0332	32063.9512	30195.2383	32326.0996	29515.8086	31825.8848	26768.4238	30360.5742	30040.1484	30803.4082	28080.8984	25930.3984	26733.9141	29161.3711	29668.7676	32031.9688	29394.4238	31573.3945	27711.4883	30544.5645	26231.9355	26000.1895	25978.002	29124.2383	24542.6348	32670.5625	29784.3027	33052.5469	27838.5039	28533.916	30902.2422	32966.918	31106.1387	33179.832	29622.9316	28158.5645	29049.4004	31019.3711	32177.8477	31371.6543	29592.5742	25864.9746	33390.5039	30224.2461	29148.8965	28736.7988	28746.4453	28104.8789	30236.0879	31962.4766
0.5337	32648.0508	26160.8613	28525.1816	31549.5977	30597.6484	32048.7051	29961.1387	33416.5078	26071.4668	29594.3105	31030.6465	30900.1758	28459.2285	26213.209	27698.0508	27875.5664	29858.5938	31880.9746	29962.7559	30802.7852	27649.5469	30131.1289	26572.8438	27031.375	26366.2363	28610.3555	25922.5664	33587.9297	29451.7109	32254.709	28796.7969	29312.7422	32672.8906	34678.2656	29875.8887	33094.4648	32187.5703	27395.3359	29010.9668	31745.375	33601.7031	29259.0273	28705.8516	27165.7012	33131.4453	31580.2891	29028.3691	29007.3555	28651.9238	28925.5215	29869.7363	33331.2578
0.6671	32330.0215	27007.4551	28454.207	31261.082	30205.3672	31429.3203	29645.1211	30499.6348	27184.8457	30185.5059	31992.7129	32108.9121	29832.9922	26183.4688	27984.5117	30238.6074	30918.2402	32384.5098	30756.7539	30998.3027	28076.293	31109.0449	27202.7578	27827.4375	26214.6074	29629.7559	25526.6543	32476.7344	29381	33445.668	29269.8496	29840.8711	31586.543	33224.7695	29421.127	34127.1445	33055.4219	28503.0039	28762.2715	33765.5547	33378.6367	31013.1406	30347.0352	27335.6777	32007.0508	32556.3457	30601.7148	29937.3945	29154.0059	29658.0703	29396.6133	33400.9961
0.8005	33015.3203	27701.8867	29772.1035	32185.7207	30998.3047	30947.8906	29382.7734	32839.8828	28265.8184	30273.7168	31809.1191	31394.8066	28548.3555	25193.334	27039.3965	29915.6641	31406.1836	32534.4316	29560.1582	31159.0566	28880.4102	32045.9375	28962.584	28132.9785	27052.4219	29704.4219	26922.3262	34072.0391	28723.3145	33657.3633	29426.9844	29182.0156	32215.8652	34404.8516	28535.2305	34750.9062	34429.4805	28399.5879	28430.1172	32890.125	32487.0449	31539.5254	30226.5	26382.9258	33425.3516	32552.4941	30394.5449	29864.6445	30849.8242	30884.877	30961.0898	34297.7031
0.934	33091.8555	28605.3945	28900.1191	31897.4727	30109.7227	31248.8613	29938.1348	32497.7598	27209.793	29926.8906	34210.1719	28808.1523	28591.5059	26371.1738	27656.8516	30937.9141	30575.4316	33256.8125	29351.9766	33010.7734	29474.1992	32492.6582	29570.7988	27625.5625	27098.1367	30006.0684	29266.416	36223.4805	29761.0918	33334.8203	29298.9434	28827.623	31964.8066	34300.457	29211.9121	33180.3281	35252.6523	29010.6816	29015.7832	32276.8301	33115.5391	31368.2598	31509.0293	27844.8262	32417.1133	32266.8711	32036.25	30692.6152	29867.0664	32542.9219	31288.8027	34036.7891
1.0674	34767.3164	28765.8262	29197.3984	34728.6914	31442.5879	32701.7793	29049.0371	32298.6738	26836.7559	29628.418	34972.9219	30893.1504	30482.6875	27302.498	27742.5859	28818.6465	29894.9355	33106.4023	30474.3418	32348.3555	29908.4434	32371.9434	31396.377	28560.4727	28052.2129	30324.4922	35116.2812	37689.6328	30363.7559	32076.0723	28367.7656	28402.5566	37249.957	32987.6719	31280.7012	36459.1992	35810.043	31101.5508	28468.3359	32813.4844	35358.6367	32336.6816	31264.748	28152.0547	32596.2734	34302.25	36685.9805	31528.3926	28351.5566	38243.8906	33879.6992	34709.418
1.2008	36420.8047	29652.2363	28435.7285	37530.3906	31095.8008	33948.3711	29395.2773	32833.2422	26503.3125	29854.5938	36986.8594	31932.6406	31568.502	27101.9668	31765.0898	30293.6699	31470.998	32970.2305	30564.2617	32597.1523	32074.0566	33477.3867	36982.7461	28205.9453	30015.4199	32496.6484	49280.2461	41784.0586	33023.0664	32808.3906	29378.3945	30421.4062	42483.1836	32795.6562	34678.2852	37502.2188	34716.5508	37889.75	30223.3711	33414.4141	35620.1484	31861.332	32642.584	28911.375	33852.4297	34106.6328	46522.8008	33646.2148	29521.5762	51533.6094	38653.9609	42024.9688
