x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_1g	Y_20180130_15100b_10_12g	Y_20180130_15100b_11_11g	Y_20180130_15100b_12_15g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_9g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_2g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_9g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_19g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_4g	Y_20180130_15100b_7_7g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100_2_8g	Y_20180130_15100_3_18g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_7g	Y_20180130_15100_5_20g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g
0	11906.161	12367.412	11390.607	15711.844	15203.645	14536.585	13184.922	13287.463	11926.554	12140.82	13568.132	13280.345	15312.062	15153.056	13010.461	15525.213	12684.952	13217.943	13860.354	14964.465	13422.7	11777.552	11828.227	11527.277	13541.194	14927.896	13321.939	12949.256	11649.849	11480.275	12991.791	14378.332	13472.829	14481.788	12403.358	13283.023	13502.26	12710.015	11138.076
0.1334	11770.418	12070.854	12247.448	16286.502	16893.182	14602.859	16192.496	13924.875	11562.577	12805.87	13739.713	13546.187	17411.07	15457.07	13864.066	17129.816	13667.146	14280.063	14334.768	15372.217	13272.475	13039.723	13240.698	12147.016	13638.271	15227.928	14466.325	13409.24	12831.618	12877.297	11870.257	17795.818	15366.725	16047.407	13780.181	15030.077	14127.848	12990.546	11749.84
0.2668	12709.344	13672.021	12776.29	19216.205	19305.262	16833.537	18007.061	14952.685	12511.386	15376.858	15754.902	14900.227	20632.527	16521.361	15673.211	19266.068	16742.75	16488.221	16608.246	16946.76	13582.615	16221.892	15773.019	14001.369	15708.161	18156.285	17521.988	13778.144	15047.522	16797.605	13522.779	20940.277	18928.352	18321.355	14866.059	17029.494	15380.755	14748.924	12925.018
0.4003	13914.613	15082.214	12148.322	19673.457	23618.896	18731.771	21161.602	17465.037	13086.271	18972.957	17704.168	17879.293	20738.328	18071.178	18231.035	17437.777	19018.51	18988.262	18552.266	19649.484	13876.751	18895.609	17998.701	17144.176	18480.119	22008.951	21386.615	14749.796	18925.848	18335.996	15633.587	21190.844	18316.125	20621.076	16243.109	18346.6	16616.947	16726.881	15557.161
0.5337	15568.304	16635.49	12373.707	18362.33	22088.191	22377.156	21333.088	20492.986	14915.481	22867.85	22673.82	20063.252	18420.162	16936.945	18698.707	16039.894	16304.473	19494.676	18976.848	22735.211	14431.075	19957.221	17902.35	18478.863	22303.545	22748.299	21050.238	14576.346	21826.355	16841.885	16968.398	19624.371	16451.982	19298.762	15042.057	16378.503	20187.35	16027.51	16730.355
0.6671	15758.182	15457.646	13493.761	18376.482	19323.656	23778.908	18848.02	18860.42	16308.37	24941.699	23139.719	20807.818	16426.449	15783.336	17168.994	14263.853	14584.338	17897.146	19273.125	21220.902	16507.777	17954.084	19134.602	15807.832	24968.006	20117.648	18448.996	14576.507	20794.873	15152.26	16614.854	16889.039	13703.359	17183.209	14927.127	14205.941	19316.418	15837.949	15519.698
0.8005	15623.302	13506.238	14014.151	18013.15	18439.473	19579.051	19414.461	18083.766	15808.871	22239.52	19598.684	17907.199	15269.088	15741.62	16011.834	13273.878	13285.617	16307.01	17899.088	18508.23	16856.252	17105.631	16341.417	13525.142	23410.658	17644.035	16169.063	15132.119	17572.193	14423.827	14254.735	15954.622	12295.79	15721.08	14396.597	12749.776	18774.988	13800.751	14685.755
0.934	14840.433	13067.371	12992.772	19965.857	17082.273	17664.428	18282.793	15852.637	14478.642	20256.604	16562.863	16514.355	15451.046	15352.945	15697.256	13331.537	12510.392	15308.144	18139.246	18240.941	16072.482	15848.448	14907.472	13119.22	20489.533	16903.773	16054.739	15146.344	15550.632	14705.525	13462.698	16179.408	12459.69	13423.726	13801.325	11613.292	18257.236	12840.214	12949.498
1.0674	14084.25	12958.509	13062.664	19706.697	16036.319	16793.496	17984.373	14450.186	14174.966	17739.152	15745.403	16980.568	17857.248	15792.104	15878.182	13227.666	12399.821	14324.554	17825.785	15893.717	16525.369	15810.05	14740.381	13625.887	17837.316	18223.148	17431.002	16231.297	14144.385	13554.837	12953.943	14690.288	11990.638	12996.249	13295.581	12471.895	16904.92	12844.006	12596.673
1.2008	13538.353	12337.141	12789.86	19583.434	15691.403	16834.57	16846.301	14240.975	13788.665	14992.653	15762.923	17871.35	21521.018	15770.089	16245.562	14249.792	12495.392	14706.566	16904.436	15750.447	14784.572	16154.543	15106.295	14588.532	19018.561	19630.629	16189.419	15389.437	14275.468	13259.12	12275.011	14100.775	12535.45	12875.786	13975.462	12648.437	15747.353	13074.646	12965.052
