x	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_5g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_5g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_17g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_9g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_4g	Y_20181208_15693b_6_10g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_12g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_6g	Y_20181208_15693b_9_7g
0	32986.9492	27858.4941	34224.4922	33783.0898	30403.2637	26351.2363	28906.5078	30843.752	31190.5039	32164.127	29874.7031	25567.334	32770.9336	29669.8086	30169.6855	28756.3848	30823.3535	28177.041	33102.0938	32005.6387	28867.9004	27175.0449	28326.9199	29829.5449	29852.8223	29791.1289	28339.7188	28379.6191	28478.6172	31575.2656	29854.957	31398.5098	34565.2344	27595.2734	27146.2754	29576.6309	33119.0312	30319.0469	28469.2051	30216.0332
0.1334	33900.6055	26378.7617	33908.1289	33277.6211	30722.5703	25966.4336	28302.9961	32365.7266	32777.6719	32350.6602	29933.5469	24155.0312	32776.1797	30452.9531	30866.4121	28663.8125	29722.2949	30707.1738	32441.2754	31396.3145	28451.1543	26710.043	28044.25	28462.9531	32480.6621	30272.7695	28815.5918	28022.0273	31338.8613	31800.4395	30540.5488	31760.502	32096.6113	28690.7246	26381.7676	29332.3809	32871.8086	30542.8691	28503.0859	29407.9766
0.2668	33151.6328	26907.4609	34838.4023	32184.1445	30092.5488	26460.4688	27651.5586	31204.5938	31962.1738	31778.1152	31230.0586	25324.6641	32740.2227	31174.7422	31186.5996	29572.707	28793.3477	29922.4316	32046.2305	32231.6641	28965.5586	26355.0293	28034.7891	29343.3105	32069.0371	30043.6016	28714.6406	27871.4238	31583.7051	31544.125	30240.9355	30293.5352	32707.9902	29445.9355	25790.207	30403.502	33382.2695	31515.2266	28789.6387	30435.3047
0.4003	32288.2754	27502.1328	34885.8672	31635.0312	32637.0273	26896.2305	29187.2891	30578.5	31841.5586	31862.2793	30158.4668	25770.9199	31714.9453	30868.4082	31289.6035	30391.2969	28552.7168	28188.1973	32835.3633	31191.2969	29959.75	27085.7148	29179.7695	28791.9219	31658.1602	29739.4414	28631.6914	28861.9395	31175.7891	30016.0293	29890.0391	30131.4219	32547.9961	28518.3965	25839.7754	30669.8203	33630.4141	31211.8223	28406.3555	29531.707
0.5337	33674.7188	27457.6641	32355.0176	33687.625	32032.3203	26819.3262	30579.0332	30588.582	32282.0156	31676.0723	28854.3535	25626.6914	31524.5586	30060.7676	31448.2461	29428.7676	28543.4297	28214.3457	32467.8984	31243.4629	29180.3262	25534.082	27811.4805	29245.5234	31378.4609	28892.2461	29147.0059	27330.123	31510.5273	29950.9023	27886.0059	29754.584	31978.0098	30688.1992	26041.2051	31368.1328	33272.5781	30238.9023	27455.7988	29305.6953
0.6671	33151.543	26630.3359	31482.6953	33920.9336	30707.8691	26944.7969	29363.7461	31023.998	31430.2461	31640.4922	30986.2344	25610.4707	32775.6445	29943.8906	30252.4258	28813.7031	28553.7559	29555.9316	31698.9355	31516.5195	30499.7559	26233.4199	29093.2598	27995.3184	31780.6621	29695.2656	27983.0391	27624.4121	30972.8184	31463.5098	28257.6113	30380.3945	32067.4492	29253.793	25153.1797	32250.2324	33204.6445	30252.9922	28367.9121	27244.9355
0.8005	33482.0469	27256.0547	32009.9473	33454.0664	30861.4688	26213.9238	29317.6523	30998.916	30715.9824	30404.4316	30882.9102	25186.9551	33038.4453	28020.1465	31520.4023	28203.1113	28649.502	29518.834	31157.1445	31465.375	27678.125	26572.2188	30296.0742	28646.2969	31267.248	29380.125	27713.4648	29507.373	30310.0898	31593.6699	27989.3125	30529.3047	33039.4453	28544.7676	26008.4629	31184.3008	31580.9805	29933.6777	27840.4258	29149.9277
0.934	35379.3711	26784.2832	33172.9062	32364.209	30596.1094	24930.8203	28442.7148	29545.877	31181.7812	30518.5664	28619.0742	26437.9922	33662.5547	30035.6074	33617.8867	29992.8516	28046.6035	28975.6602	31845.0156	32236.7949	29931.9883	26252.5234	28024.1367	28566.2812	30824.9062	28617.5254	28994.002	28652.7422	31096.3457	32546.0645	29504.9961	29599.9258	31759.5176	28998.0176	25837.127	32258.7715	31903.4434	29746.9277	27232.7812	29483.418
1.0674	34387.5234	26255.0527	32745.3105	32978.668	30814.7207	26025.7891	29699.6855	30306.5625	31410.8496	30007.3223	29924.377	26551.7344	32891.5234	32490.2715	34291.4688	28171.5703	29415.8965	29275.9199	31908.9102	33048.7734	30495.6816	28115.5723	28024.9023	28838.7344	31229.3184	29112.7324	30036.8145	29685.7988	31617.168	31281.627	28166.0156	30261.3164	32070.9062	27409.5293	25637.6465	32073.4004	31995.7305	30846.9414	29360.5449	29239.418
1.2008	33871.3945	27251.8809	32321	35261.2812	31160.9473	26931.4082	30062.502	30385.8379	30931.6191	28936.4531	29298.1895	25196.5215	33196.7617	33200.8633	36260.5898	29446.5098	29027.9941	29850.8887	32931.9297	31988.2383	29769.1133	27625.4473	28576.9297	28080.4824	31208.1484	29852.7891	30178.2812	29826.1582	31235.8477	31031.0312	28419	30115.707	32621.9355	28597.2598	25347.7988	32250.3125	32857.2617	31011.7324	28778.1211	29288.5469
1.3342	34453.4805	27128.957	33796.2812	33935.7422	31803.6836	26331.459	30349.2363	33056.5469	31150.0742	28688.4961	29393.7285	24143.0352	34576.2109	33842.8867	44271.1992	30048.9863	30051.2578	31068.8223	34652.8398	33659.8398	30307.8125	28041.584	27514.2695	29656.1895	31903.6465	29215.0449	29738.5977	29600.2793	30105.0117	34719.832	28364.1777	31320.6328	35499.4453	31569.1738	25892.2676	33094.8555	33614.0586	29777.4258	27522.0957	29974.7305
1.4676	36090.0664	27187.2637	33532.7227	34114.0156	33074.918	27206.5859	30729.4043	34422.1367	32195.3418	29921.8945	29876.9609	25789.7754	34489.8281	36018.3086	65265.3594	30200.707	29543.873	32028.0371	33011.9414	34593.3672	30784.1309	30788.8262	29287.0098	31172.082	32805.9727	29112.9707	30063.2988	30505.2266	33130.7773	36536.6758	30217.2949	30769.5449	38212.4844	32706.5977	26314.5684	35561.6328	33302.4102	30471.7637	27448.5977	31930.207
1.6011	37666.4258	28744.6172	32365.6621	33592.5078	34267.668	26892.0957	30280.0586	41613.7773	31193.1758	30700.4023	30881.3633	25265.834	34904.7344	39535.1172	94804.1406	30956.1523	29663.1172	32920.2773	34699.6016	32514.5137	30140.4102	36210.6367	29739.9004	33785.1328	34980.8398	30054.3047	30104.6562	31234.0039	34019.2617	44279.3047	31405.4902	33329.9297	45390.332	35731.5156	26367.9297	41589.418	34708.625	31444.3594	27456.4414	32941.793
1.7345	42473.5195	30642.3828	33275.4531	32554.3926	42278.1914	28296.4316	31205.2285	57370.6875	32920.1562	30859.2617	32504.1191	26390.2695	37336.7148	51118.6602	96989.8438	30034.4023	31447.3789	43046.1055	36761.4922	34494.6719	31462.6172	47731.8398	32736.4102	42150.6445	38226.6953	32663.2285	31019.709	30828.7637	42366.7891	54319.707	31996.0703	34126.0352	68123.5312	43264.4648	31183.1191	51215.7188	35720.2656	32082.0918	29198.6602	32376.0879
1.8679	54684.4883	36254.0391	34853.2656	34251.2031	57092.0234	30331.3516	33683.9961	90400.4141	33599.2031	33656.1133	36807.0625	27015.5898	42962.3594	68586.5547	69782.1406	29043.9004	32013.3965	57587.7031	40954.9453	39629.6992	33570.4219	79907.5078	40403.0938	58392.293	44245.2383	40123.9375	32207.4512	32624.8555	58726.3633	62089.9922	32277.3359	38925.7188	98647.7109	63949.957	36265.9141	74114.7188	35761.9062	31800.8789	30676.2031	35206.625
2.0013	74518.4297	47962.418	41487.3359	36258.1602	75713.7109	33978.1094	38973.5664	114044.1719	33390.1797	38107.1367	46371.7148	27915.707	57729.6094	72558.4609	50041.9609	30331.9043	34948.9219	64872.6953	52188.8359	50597.7344	37725.4062	110307.6172	51252.2266	86202.0703	60887.5234	54442.7578	37887.4414	34918.625	81891.1094	70274.6719	36363.1328	48636.9453	100120.8828	90355.8359	49789.668	82520.375	36367.5938	33626.7852	37106.8438	39112.3477
2.1347	76768.9844	52707.6172	54574.3984	43823.7969	80656.5	45245.4453	47732.6211	97401	32747.0527	52850.8203	67744.7891	29952.3984	70240.6406	54857.625	NaN	32157.0879	45373.4961	49644.8555	71511.5312	63610.6289	50063.4883	108846.9609	54370.918	101900.875	84493.8906	72560.75	50902.4648	44070.7188	86435.7891	78567.7344	40467.6914	64982.6914	69854.5156	92872.625	61803.0469	63809.8086	43751.2773	38534.2422	52732.6445	54904.125
2.2682	62710.6992	46619.6992	80634.25	58984.1992	60930.0078	63870.0234	63160.9609	74294.6719	36246.7617	84551.6406	84188.5781	37898.0352	63593.8477	40946.3281	NaN	33542.4102	65168.0859	38884.8359	92503.7266	57373.2031	69222.8984	68460.0312	44308.6719	86516.4141	83536.1719	60802.0039	61185.9453	51725.6094	63192.7773	63792.0352	38537.7344	69204.9766	49212.8008	64278.0977	50304.4062	43733.1953	64412.9766	47365.7148	55177.6133	84146.0703
