x	Y_20181208_15692_40_18g	Y_20181208_15692_41_12g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_7g	Y_20181208_15692_44_5g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g	Y_20181208_15692b_14_4g	Y_20181208_15692b_2_6g
0	29034.7734	25680.0586	29111.5488	26459.3672	29129.2305	23725.2402	28015.2324	25992.3711	28141.1328	28882.2852
0.1334	29594.2852	24594.5098	28778.1699	25027.6875	29249.6465	24215.2324	28398.3145	26945.6973	28273.5742	28245.8887
0.2668	30305.1191	25135.0801	28584.2422	24142.1797	28627.7891	24599.5	27616.3203	26349.6914	29413.6738	28651.1172
0.4003	29201.6523	24354.5469	29657.0469	24293.9629	28671.748	25552.7461	28191.9453	26796.3438	30312.7656	28879.2168
0.5337	31116.8906	25081.8262	30774.6426	24430.4062	27997.6816	25828.2344	30474.0645	26053.2891	29635.3242	28396.7578
0.6671	29066.8008	25224.5586	31108.6191	25296.7871	29889.2949	25541.3164	28373.3887	26857.4805	28644.8242	28051.1699
0.8005	31537.1855	25777.8125	30423.0488	25256.6836	30039.1035	25969.1816	28599.1484	25589.3105	28859.1699	30678.8594
0.934	29079.5078	27034.3906	30130.5742	25426.5508	28255.002	26007.4375	27533.1934	26637.3203	29367.8164	30985.5625
1.0674	31665.6387	27524.7441	29118.252	25952.3574	28436.4805	26546.7188	28029.1543	24241.4141	29947.1387	32377.6035
1.2008	30791.2012	28042.5527	30276.7734	27075.8535	28433.457	25789.3711	28898.9902	25182.5996	31233.373	31171.3594
1.3342	31389.9727	27473.8965	30519.5898	26536.7266	29084.2031	26962.4395	29716.6445	25921.0078	30754.0801	29371.1133
1.4676	31293.1387	26720.5332	31172.1895	25171.9434	29359.0332	26468.2871	30390.6855	26605.0488	30869.0684	30843.209
1.6011	29186.6719	27127.9688	30284.0645	26741.5723	28810.2773	27604.3184	29841.8164	26487.416	30680.5176	31306.7344
1.7345	30283.4766	25950.752	29771.5938	26587.4297	27995.7188	26903.5859	29453.4102	24983.1074	30407.4277	31539.6367
1.8679	31012.5938	28046.3535	29876.0137	26787.5371	27286.873	26272.1953	29556.4219	24554.4551	30089.7461	30460.2949
2.0013	29877.8379	28539.0234	29662.2441	26780.1543	28738.4375	27464.1914	30183.0078	26111.4043	30113.3984	30413.1777
2.1347	31422.6484	26685.1582	30356.9766	26748.9141	28692.9473	27567.2949	29735.6543	26660.4316	31267.3574	30101.6836
2.2682	31300.7559	27098.7168	30299.8672	27585.4785	29103.5742	26822.1367	30244.7246	25787.5059	32433.7871	29841.1562
2.4016	30773.5254	27400.6914	30976.1406	26850.8223	28986.0137	27376.5684	31835.4668	25787.7715	33284.3906	30625.6348
2.535	30600.6543	26484.0039	32342.2891	28327.1582	29508.1211	28122.3906	33991.6484	25695.6934	33510.6016	29643.6738
2.6684	31865.8945	25331.4961	34892.4414	28628.125	31084.4199	28078.6836	38603.4531	28279.2441	35942.9453	28943.0781
2.8019	34342.0859	27699.8848	40318.207	29028.498	31326.8828	33375.9531	52867.7852	29871.2324	43953.6406	29321.0605
2.9353	37642.5117	27125.7676	49834.2383	29066.0254	33435.3594	41338.5039	71872.7969	36293.3516	65109.8125	29716.1699
3.0687	53590.3906	30845.8145	57573.1016	30050.1035	42524.7891	52491.625	69921.2422	44923.2852	94718.3672	32346.5117
3.2021	83748.9844	38713.7695	51907.5938	31603.1348	62119.707	56940.793	49844.832	41667.7969	94920.4062	37471
3.3355	103070.1172	47300.0547	41212.8672	34630.9766	78783.5	44168.8594	38350.082	34291.0391	68557.0234	50250.0352
3.469	85551.0781	47728.2695	35595.6719	41550.3047	69025.6094	33466.8203	NaN	28325.8262	48442.543	58627.418
3.6024	54617.7305	38234.3203	35387.4375	56181.6875	46848.5117	28725.1016	NaN	27596.1484	38168.5352	52397.2734
3.7358	40046.9062	32416.6992	37278.0352	63172.0352	36070.3828	27836.3691	NaN	28125.8984	34115.3242	42390.668
3.8692	35452.918	29435.6426	NaN	47863.8906	32740.0664	27733.1152	NaN	26125.0195	33144.8242	35887.3633
4.0027	33157.4609	29859.3203	NaN	36273.9453	30646.1582	NaN	NaN	24494.166	33228.2227	33758.4727
4.1361	32961.6523	31045.9805	NaN	30979.3613	NaN	NaN	NaN	NaN	32125.7246	32128.3555
4.2695	33590.0859	NaN	NaN	30485.877	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	30680.8047	NaN	NaN	28915.6445	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
