x	Y_20180212_14590_14_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_28_3g
0	37744.473	39801.941	32177.17
0.1334	37758.305	38142.168	33557.121
0.2668	37266.004	38149.438	34321.383
0.4003	38533.23	37724.383	35183.141
0.5337	38911.895	37140.523	34691.387
0.6671	39964.797	38196.234	36215.531
0.8005	39789.145	39144.094	37932.398
0.934	38647.75	40096.926	36984.125
1.0674	39533.691	39936.543	36545.988
1.2008	39520.312	40890.848	36627.141
1.3342	42916.809	42970.625	38142.145
1.4676	45894.652	49141.172	45172.219
1.6011	52976.066	65079.602	59304.754
1.7345	71198.109	98106.695	69242.523
1.8679	86284.922	111732.695	60367.418
2.0013	74858.234	88110.555	48743.117
2.1348	58602.598	59072.578	41279.922
2.2682	49544.199	47243.039	NaN
2.4016	45376.141	NaN	NaN
2.535	NaN	NaN	NaN
2.6684	NaN	NaN	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
