x	Y_20181208_15100_1_1g	Y_20181208_15100_1_5g	Y_20181208_15100_13_1g	Y_20181208_15100_13_5g	Y_20181208_15100_13_8g	Y_20181208_15100_15_2g	Y_20181208_15100_16_4g	Y_20181208_15100_17_4g	Y_20181208_15100_17_6g	Y_20181208_15100_18_6g	Y_20181208_15100_19_6g	Y_20181208_15100_2_1g	Y_20181208_15100_21_1g	Y_20181208_15100_24_3g	Y_20181208_15100_3_1g	Y_20181208_15100_3_2g	Y_20181208_15100_3_3g	Y_20181208_15100_5_10g	Y_20181208_15100_5_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_5_7g	Y_20181208_15100_6_2g	Y_20181208_15100_6_9g	Y_20181208_15100_7_5g	Y_20181208_15100_7_6g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g
0	15469.0332	11280.0566	13617.6318	12971.4893	14037.7168	13537.0254	12235.834	11528.4902	12055.0127	13996.7881	14575.2021	14223.3223	12059.3848	14481.4453	12452.7812	12773.4834	12091.0693	12032.1602	16109.8311	13579.3662	13809.9111	13588.9717	15764.9375	12102.4102	12047.9199	10603.6348	12992.1152	13425.6152
0.1334	18168.3066	11757.1387	15615.2373	14308.501	14700.7852	13442.4834	12066.957	12999.7207	12395.874	14965.5723	14030.7734	16256.0635	12981.8574	16338.3838	13344.5293	12905.5352	13606.7402	12902.6748	21501.1484	13367.1689	12895.5801	14914.2197	19487.8086	11458.7578	13016.1211	10434.041	13178.8408	16400.8828
0.2668	21904.7109	11809.5439	17879.5723	15678.9238	15923.2725	14508.75	13276	12959.8223	12918.168	15577.958	14319.8408	18327.6953	14207.5107	21211.8594	14810.0742	14267.8613	16463.9277	13544.1367	26001.9355	13662.877	14353.2168	16791.2812	23327.0391	11792.5781	14483.9473	11598.1084	14126.3799	18779.9238
0.4003	21991.8066	12532.1816	19796.4512	18337.4062	19393.8828	15479.8818	14474.5391	14538.127	13989.0684	17125.627	14579.1729	24412.2285	16620.9316	22881.9727	17698.7988	15983.9639	20153.5742	13816.6162	24327.9824	15953.9141	15276.3936	17539.916	23831.9805	12411.0742	16754.2031	14257.6318	14135.665	18078.9355
0.5337	19269.6113	14280.9561	20591.9707	17225.1387	20508.793	17987.4316	16405.332	17004.7305	17771.4023	20053.3379	17894.0059	30611.9902	19818.7559	20463.4609	18955.3887	17351.7441	18005.3633	15085.2549	21798.9688	18753.5625	18995.5469	17293.5391	21052.2402	14893.709	15910.2842	17212.1621	16990.377	16558.5566
0.6671	15998.1992	17014.9395	17580.9355	15010.4941	20257.7539	20929.5957	16140.2998	18062.1699	17355.4902	22299.2188	22395.7207	30748.5996	22615.6328	18900.3691	17655.041	16337.0557	16989.5508	17278.2188	20785.6191	18264.7383	24100.4727	16562.8926	18822.2129	18525.375	13380.0684	17436.4512	21959.9316	14756.5342
0.8005	14999.0283	20027.7031	15732.7432	13176.2939	18817.7305	20465.1816	15347.4072	16515.1035	16109.0293	21353.9199	26103.166	24235.3105	22202.1875	17281.2344	16823.2383	14218.7969	17213.459	21479.5879	19728.8984	16345.0635	25607.0645	14738.2832	17495.1504	18407.2871	12887.2822	15120.8398	24916.6953	14285.4863
0.934	13755.2148	24185.8984	15302.3574	12661.459	17090.9473	17124.5078	15085.6797	15526.9062	15087.3623	20786.4395	23075.9727	20526.5918	18061.8398	16948.9023	15692.0391	13530.0205	16197.9541	21878.0273	18075.8203	15131.0625	21290.4277	13291.4434	16843.5195	17384.0527	12191.6348	13494.8164	21910.1875	12907.4775
1.0674	14045.3398	26382.5215	14388.0488	13524.4189	14978.1982	14862.623	14700.5449	15363.1094	15342.0908	19116.4629	18782.6797	19122.8145	17452	16370.6006	14667.6064	12450.5947	13946.1152	21454.4707	15301.9141	15329.708	19173.127	13649.2461	16396.7988	16775.2031	12126.5576	12750.916	17270.1836	11867.8311
1.2008	14236.6143	22656.541	14316.8389	12999.0107	14565.2891	14740.168	14960.877	14178.5146	15395.6006	18040.8574	16383.1953	18734.5801	17098.4629	15221.5586	15267.5986	12407.9971	13716.1123	21634.1602	13712.7275	17731.6582	18692.5488	13996.9209	15284.1621	16479.2949	11398.9531	12838.2422	14741.3701	11114.9199
