x	Y_20181208_15794b_10_2g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_6g
0	22520.8848	25577.8262	31278.3574
0.1334	23247.9727	25930.9727	29966.7207
0.2668	23691.6836	26555.1074	29400.2266
0.4003	25169.4453	26874.5488	32013.1797
0.5337	24142.4512	26491.9668	31346.2188
0.6671	24994.9258	27248.9902	29916.9121
0.8005	25391.9941	28117.3145	31347.5273
0.934	25965.75	27274.6309	31227.2129
1.0674	23788.3477	27461.8711	31123.5176
1.2008	23345.4023	28056.2246	31260.0371
1.3342	23798.373	27539.2207	30350.9258
1.4676	24446.6621	27733.1289	32120.918
1.6011	23765.5781	28836.7988	32630.7207
1.7345	24330.1543	30305.082	32214.7461
1.8679	24345.6836	35858.1289	34606.9453
2.0013	24992.6777	42637.875	37325.2852
2.1347	26045.957	40165.3984	40305.2188
2.2682	29241.4023	34899.3008	51472.9102
2.4016	39455.918	29476.5215	61586.1445
2.535	49065.4961	29104.8555	58223.8711
2.6684	43864.3008	NaN	46031.4219
2.8019	34249.1406	NaN	37603.4453
2.9353	28688.9941	NaN	35056.6719
3.0687	26196.5625	NaN	NaN
3.2021	NaN	NaN	NaN
3.3355	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
4.1361	NaN	NaN	NaN
