x	Y_20180212_14590b_17_1g	Y_20180212_14590b_26_6g	Y_20180212_14590b_9_7g
0	11754.832	17943.676	17060.752
0.1334	12758.036	19130.824	17440.637
0.2668	13287.547	20781.887	19392.533
0.4003	14446.862	22173.744	22008.291
0.5337	16698.92	22051.764	20294.545
0.6671	17221.402	20165.789	18705.41
0.8005	16490.514	19232.033	18300.514
0.934	17269.445	19186.029	19070.088
1.0674	16885.273	18626.158	19514.385
1.2008	17265.959	17113.926	20220.707
1.3342	18321.252	16202.669	21568.422
1.4676	16714.789	15277.278	23225.492
1.6011	16739.029	15878.357	24346.086
1.7345	15767.567	17651.211	24767.93
1.8679	16223.825	18223.014	22067.576
2.0013	16355.473	NaN	NaN
2.1348	16917.043	NaN	NaN
2.2682	NaN	NaN	NaN
2.4016	NaN	NaN	NaN
2.535	NaN	NaN	NaN
2.6684	NaN	NaN	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
