x	Y_20180224_15100_10_6g	Y_20180224_15100_10_8g	Y_20180224_15100_11_3g	Y_20180224_15100_16_5g	Y_20180224_15100_16_6g	Y_20180224_15100_16_7g	Y_20180224_15100_17_1g	Y_20180224_15100_17_6g	Y_20180224_15100_18_3g	Y_20180224_15100_18_8g	Y_20180224_15100_19_11_2g	Y_20180224_15100_19_17g	Y_20180224_15100_19_3g	Y_20180224_15100_19_5_2g	Y_20180224_15100_2_1g	Y_20180224_15100_23_4g	Y_20180224_15100_27_4g	Y_20180224_15100_29_3g	Y_20180224_15100_29_7g	Y_20180224_15100_30_3g	Y_20180224_15100_30_6g	Y_20180224_15100_32_1g	Y_20180224_15100_33_3_2g	Y_20180224_15100_33_5g	Y_20180224_15100_4_5g	Y_20180224_15100_6_7g	Y_20180224_15100_7_11g	Y_20180224_15100_7_2g	Y_20180224_15100_8_6g
1.8679	51944.754	48328.766	110515.031	87639.125	128672.477	119228.172	69524.906	44199.422	157808.562	49272.637	55965.004	42201.59	59187.598	49262.785	158695.281	47796.035	43449.91	43123.547	46475.164	69233.922	46855.891	144200.812	66778.375	133978.203	102448.164	51505.652	83365.516	76913.164	77051.07
2.0013	44310.188	41199.898	76438.539	56882.832	89103.008	78385.617	47972.316	41095.691	94995.594	39957.234	NaN	38781.914	44465.43	NaN	133390.375	NaN	41335.395	NaN	39203.742	49700.988	NaN	136336.984	50985.566	85749.648	129013.719	44986.191	52986.859	56943.477	54688.285
2.1348	NaN	38830.625	50777.922	44981.73	64353.734	55436.059	38185.262	NaN	64029.332	NaN	NaN	NaN	NaN	NaN	82981.203	NaN	NaN	NaN	39007.137	45042.742	NaN	87907.977	43973.883	56608.887	111095.875	42533.59	43791.23	44617.078	44232.777
2.2682	NaN	NaN	41269.477	NaN	54394.812	46771.77	36674.047	NaN	52653.738	NaN	NaN	NaN	NaN	NaN	56175.988	NaN	NaN	NaN	NaN	NaN	NaN	60448.863	NaN	42625.023	68509.336	NaN	NaN	NaN	41461.738
2.4016	NaN	NaN	38055.246	NaN	47944.43	42867.887	NaN	NaN	45411.492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49892.918	NaN	NaN	48971.484	NaN	NaN	NaN	37391.031
2.535	NaN	NaN	36940.648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	45362.145	NaN	NaN	42374.164	NaN	NaN	NaN	36115.996
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42483.418	NaN	NaN	40325.883	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41092.512	NaN	NaN	41236.18	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
