x	Y_20180130_15100b_10_11g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_16_4g	Y_20180130_15100b_16_6g	Y_20180130_15100b_19_1g	Y_20180130_15100b_21_14g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_4g	Y_20180130_15100b_4_14g	Y_20180130_15100b_6_9g
0	37223.125	38116.285	37510.301	32865.672	36657.277	33037.258	45933	33595.68	36602.766	34862.145	34445.258
0.1334	38280.395	38859.98	38113.863	35089.723	35914.812	32381.379	41166.934	32378.328	37414.246	35682.578	33808.352
0.2668	35516.965	38929.48	36690.992	34179.129	36387.023	32034.236	37952.254	32727.221	37976.012	34584.648	34293.379
0.4003	37450.879	38858.812	38312.73	33705.367	36043.375	32475.479	35616.508	32671.422	39918.453	36269.938	34765.16
0.5337	39321.297	40897.43	39416.113	34254.961	36386.656	31895.18	35066.301	33150.016	37898.391	36835.184	35612.176
0.6671	37595.348	38521.883	38419.867	34360.355	35703.871	31508.34	36663.504	33177.109	36848.352	36865.648	34413.199
0.8005	36979.797	36796.887	38153.363	34550.84	35996.984	31571.873	37105.535	34453.039	37115.035	36483.285	34397.355
0.934	39562.234	37337.805	39835.012	35962.441	37176.699	32076.719	35846.445	34536.812	37617.559	35571.375	34763.262
1.0674	39811.68	37211.617	38120.719	35179.129	39627.664	31711.076	38496.758	33232.684	37714.082	36513.32	34821.715
1.2008	39029.902	36772.848	39413.234	35502.484	45166.566	33195.539	36987.168	34058.191	39095.629	35846.793	35668.223
1.3342	39036.766	38536.055	39971.469	35528.219	56325.555	35268.137	39072.07	36081.605	38630.352	38689.867	36566.996
1.4676	41758.375	38953.258	44802.684	35334.355	64293.223	36733.199	40606.469	37077.902	40238.094	38704.359	38400.258
1.6011	43042.418	40180.184	48682.93	34777.648	56894.789	42775.656	43692.645	40728.52	48206.242	40527.34	39196.855
1.7345	54172.098	40887.148	54734.91	36748.457	44290.836	61137.762	55698.207	51723.484	56250.664	47358.395	44962.426
1.8679	66934.578	45673.941	59647.926	38879.855	40225.598	89719.109	70562.688	53059.965	55723.73	59622.117	50835.902
2.0013	68691.289	51400.027	56747.293	41132.754	NaN	93879.422	61649.723	46944.781	46881.547	59581.793	47400.789
2.1348	53859.52	50879.895	46257.215	46142.281	NaN	68501.117	46441.469	38743.059	42965.547	50155.906	40772.352
2.2682	44618.441	44587.215	45269.254	45853.988	NaN	46426.938	40211.617	34197.074	38722.406	41754.336	38935.773
2.4016	39878.074	40120.016	42669.207	40094.777	NaN	36484.648	36208.172	33269.418	NaN	38178.648	NaN
2.535	38495.43	38514.297	41019.316	35386.281	NaN	32979.77	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	33301.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	32977.609	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	32926.883	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
