x	Y_20181208_15794b_1_2g	Y_20181208_15794b_10_5g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	12369.3213	13117.6973	11997.2227	11736.7676	12287.3359	12395.9688	13581.0264
0.1334	14083.0449	14448.5918	12794.3408	12157.583	12270.4727	14501.3242	14031.3076
0.2668	14219.5586	15298.7637	13390.4033	13869.6924	13080.7754	16952.4082	15219.1934
0.4003	13639.0479	14843.6221	13706.5342	14276.0312	14282.3545	16004.1865	15788.2197
0.5337	12098.2578	14372.5342	13792.4619	15419.624	14103.626	15166.7256	14037.9492
0.6671	12378.7793	14081.1865	13995.4658	16620.4316	17084.25	16122.0391	13395.5654
0.8005	11780.4092	13205.459	13771.2607	16241.6377	19501.4883	17461.7988	13216.0117
0.934	10905.709	13400.3506	13380.5781	15993.1367	18264.2188	16916.9004	13466.1914
1.0674	10741.7646	12068.5889	13036.8252	14657.8867	17325.9746	15534.0693	12703.4854
1.2008	11857.8936	11413.9922	11567.1592	13732.4219	17517.5469	12986.9053	12750.4844
1.3342	11053.9492	11558.2021	10892.5254	12584.4912	16799.7031	11902.3682	12214.2852
1.4676	10649.2842	12003.5098	10869.168	13071.5469	14942.9629	11604.6133	11269.2002
1.6011	10781.0176	11000.9932	10890.8711	12401.1064	14039.627	11278.7461	10773.2764
1.7345	NaN	10841.8613	10467.5312	12222.4854	12889.2676	11340.8398	10606.1904
1.8679	NaN	NaN	10806.0195	12378.7168	12516.2275	11178.2998	10347.7656
2.0013	NaN	NaN	10778.7295	12252.4199	12122.2412	NaN	NaN
2.1347	NaN	NaN	10696.7588	11633.6562	11579.584	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	11893.0127	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
