x	Y_20181208_15693_1_10g	Y_20181208_15693_1_14g	Y_20181208_15693_1_4g	Y_20181208_15693_1_6g	Y_20181208_15693_10_14g	Y_20181208_15693_11_11g	Y_20181208_15693_12_6g	Y_20181208_15693_13_3g	Y_20181208_15693_13_6g	Y_20181208_15693_14_13g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_2_7g	Y_20181208_15693_20_5g	Y_20181208_15693_3_9g	Y_20181208_15693_6_2g	Y_20181208_15693_7_2g	Y_20181208_15693_8_3g	Y_20181208_15693_9_11g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_6g
0	11850.7363	10836.0176	10886.4375	9833.4414	13068.7646	16170.4961	11874.1895	14198.5049	11064.502	12880.5371	13523.7559	15215.4395	13015.7656	11072.2227	9580.4043	10079.8525	10633.8965	10484.1631	11314.1338	10400.3047	9025.6963	12538.082	12342.2393
0.1334	12950.0137	11365.4609	10930.0078	10302.2803	14522.5049	16580.5781	13165.2354	18680.8125	11810.6367	15057.6543	14235.8955	17841.6055	13149.5146	10691.7578	10431.0146	10285.2227	11169.6621	11865.4756	12259.7285	11845.5918	9408.7568	15683.1992	13391.4912
0.2668	14227.2432	14272.5537	11580.8535	11034.4717	17196.2012	16855.2559	15837.2461	23514.6602	12324.791	16626.5254	17036.1465	18025.0391	14406.0625	12180.8291	11591.5234	10507.6621	11739.6846	13898.7607	13519.3594	14252.9248	10061.5381	19034.0566	14191.3447
0.4003	15821.9014	18075.3789	11319.0273	13389.4502	20975.1484	14362.8213	19086.2559	21577.793	11933.4062	16923.5742	18765.0312	15343.8691	15987.1201	14337.4453	13192.7432	10735.7939	13266.1348	16914.2754	16756.127	16274.0723	11222.0996	19819.6426	18016.6289
0.5337	14429.4258	22061.1797	13267.3926	16600.0059	22846.2422	14021.5176	18543.3555	16679.377	13889.4561	15585.7031	18228.1816	14141.8926	15367.2451	16748.6035	15924.7803	11099.415	13094.9639	18856.7969	21513.3926	16268.5264	12150.3701	17922.5605	19313.4551
0.6671	12925.5098	22541	13530.8613	18906.6914	21097.6875	14790.3506	20001.9668	15928.3057	14486.8779	14285.2383	17646.6836	13645.3916	14920.7559	19059.0742	16347.5723	12477.5352	13381.1914	19311.7832	24800.1758	15860.8555	13151.3604	16303.6807	19194.1855
0.8005	12709.9561	19040.8008	12864.0703	16184.6504	16871.4102	14898.7822	18727.459	14573.8232	13367.8438	13770.8564	17055.8242	13936.0244	15297.7734	18038.916	14544.7598	13359.1641	13401.5449	16576.8242	25333.3633	15089.9404	14177.4971	15688.8848	17392.9277
0.934	12376.3662	16215.1348	12187.458	14345.9766	14916.6592	13644.8838	17036.7754	13900.6787	11701.7217	13344.9297	16779.0527	13950.7451	14599.2324	16060.5938	12926.8672	13095.3271	12907.5049	15443.4863	21049.666	14890.7998	14251.7012	15079.7168	16350.4941
1.0674	12556.668	15116.0967	11236.8594	13754.5342	13765.9141	13531.1201	16692.5859	14024.1279	11973.0703	13288.3135	16096.6465	13646.7617	13035.9785	14023.5371	12957.2842	12180.4258	11623.5625	13754.1416	19330.8398	14015.7842	14973.2803	13548.7158	16866.1953
1.2008	12187.502	14143.2012	11107.8535	13812.6338	12914.9648	13160.0537	15597.9248	13103.0381	12108.5986	12797.1094	15852.8789	13000.6064	12281.1064	15043.0322	13085.8545	12582.0879	11148.7588	12920.5928	18589.3223	12812.1006	14501.7969	12866.6777	16532.3066
1.3342	12353.999	14117.9512	10866.877	13792.6035	12984.0879	12365.0576	15078.2725	12734.2158	13165.459	12606.3398	15358.3213	12065.9854	12321.877	13626.5518	12972.7432	12192.1494	10964.1641	14070.1318	17522.0723	12964.2471	14319.5303	13207.4443	15666.8281
1.4676	11508.1934	14525.6816	12190.1289	13860.8809	12491.6484	12415.333	14480.8906	11903.3447	13156.5869	13734.8848	14269.9482	12107.0869	12589.0576	14453.8291	12564.9775	12889.6885	10523.1484	14130.3984	18318.9688	12415.2178	13017.917	12475.916	14570.3145
1.6011	12410.2676	14027.5312	12824.6523	14643.2881	12306.7061	11868.0586	14231.165	12144.8779	13035.8926	13596.9502	13722.8506	11112.9551	11743.4209	15113.3711	13178.1016	13654.8857	11055.6631	13105.8359	19714.957	12455.0771	12219.9922	13000.1689	14009.957
1.7345	12138.5352	13636.9307	11944.5957	14230.0576	13261.6758	12077.25	15305.2793	12430.2139	13414.1885	12976.6758	12304.4004	11554.5283	11287.6133	14871.4814	12932.21	12712.2754	10997.3818	12452.5684	21582.5859	12337.208	12494.209	12686.8838	14134.1904
1.8679	10893.29	14930.2383	12584.5713	13648.3994	14579.1484	11448.0859	14932.5049	12235.543	13425.3389	12303.8154	11741.2861	11412.8545	11911.4521	14206.3574	12327.4434	13214.2275	11374.2861	13986.2383	20852.541	12920.9639	13391.5889	12530.8662	13291.3076
2.0013	11259.584	15630.0547	13565.9736	13977.9355	16031.8838	11446.1484	13562.4639	13303.5439	12005.7646	11263.3057	11750.1738	12110.5879	12443.8867	15392.8877	11496.4619	13272.7656	11543.0527	13080.0693	18568.9258	15239.624	12880.6943	12596.0664	12866.9336
2.1347	10955.834	15536.6484	14189.5596	13486.6914	18559.7207	11690.7139	13210.4229	14370.9404	11990.3076	11042.5381	12197.9639	12114.4688	13554.9854	14143.8457	11617.6543	12536.3994	11319.1992	12961.1182	18279.582	15237.3613	13243.8242	12255.6963	13535.8594
2.2682	10906.6006	16507.1152	12913.5557	13384.7451	18176.1543	12182.0449	12897.4424	16009.9424	11661.0479	11042.6982	13218.6094	12130.792	13909.7861	13101.8174	11360.585	12994.8359	11907.7061	12402.9395	16146.6348	15738.0869	13017.5518	11979.5967	13347.4619
2.4016	11180.5215	15763.6592	13741.2715	13827.2393	17148.9727	13499.6621	11896.4014	15188.6826	11432.9395	10434.1338	13740.1816	12519.8301	13511.626	12802.4658	10820.2803	13528.6182	11999.5791	13259.874	15213.2188	15098.1172	12715.4023	12226.0986	13515.9072
2.535	11519.0488	15561.2148	12487.0352	14083.8086	16327.5	13882.8984	11392.8428	13755.5928	11724.5977	10116.8428	13831.7676	12450.8525	13131.6025	11750.4863	11496.4746	13279.7275	12207.4688	14117.1406	15190.8887	13846.2412	11729.4111	12091.2314	13525.5049
2.6684	12407.752	14550.6836	11992.3721	13390.04	15337.7891	15682.6123	11050.4375	13871.4033	12005.8154	10763.3818	13750.3799	13501.2607	13726.8076	12179.5537	12182.2295	13135.543	12212.7607	14173.6484	15208.6309	14246.3584	11753.3652	11974.8877	14456.0908
2.8019	12614.0771	14391.7012	12586.8516	14254.7217	14574.835	14842.6855	11941.0762	13165.3242	11738.7979	10606.1211	12966.4238	12902.707	14394.6992	10922.1689	12744.4287	13972.2461	11810.2891	13526.8037	15449.8164	14489.6611	11385.0889	10809.6992	14380.5879
2.9353	12234.4863	13765.7773	12134.791	13326.7627	14140.832	13247.0801	11905.6787	12762.6582	12083.9512	10497.0967	12853.0977	NaN	16147.2197	10531.3457	12843.9053	14240.7363	11539.5283	14692.1768	14280.9521	14104.3184	10949.4482	11588.1895	13074.125
3.0687	11814.1855	12964.0498	12109.2002	13256.3096	14258.3672	12386.6348	11751.6875	12251.9062	13239.8604	10635.4775	11949.9795	NaN	15959.9062	11184.5352	12917.8828	14033.8125	11444.1055	13775.3721	13630.5635	13203.6602	10959.2002	11871.3047	12177.2061
3.2021	12888.1064	13096.0645	NaN	12636.5879	13360.0215	11480.4844	11596.3203	12346.2021	12912.2607	10925.4502	13044.3721	NaN	14014.4912	11440.5947	12536.1807	13283.1904	11476.7402	14309.958	13158.8477	12734.7354	11479.8662	12064.5566	11434.4385
3.3355	12568.7842	13924.6582	NaN	12509.6572	13035.957	11675.8867	11263.9961	12464.2998	NaN	11487.6211	12294.8359	NaN	13799.3848	10597.7646	13014.7197	13183.3994	11728.0498	14125.707	12516.4619	13260.1582	11389.4629	NaN	12053.4004
3.469	11839.1641	13484.5	NaN	12522.1006	12799.5596	11780.2783	11717.6172	11894.665	NaN	11231.9727	11827.6826	NaN	12677.1787	11524.7598	12462.7842	12761.7842	11304.4443	12860.9277	11273.3105	11973.0234	11613.3105	NaN	12216.9492
3.6024	NaN	13570.7314	NaN	12076.0039	12360.6592	11879.4482	11485.3232	11502.9971	NaN	NaN	11984.9346	NaN	13506.7979	11196.5576	12331.0801	12766.3184	11250.5264	13410.1035	11139.2227	11731.3955	11565.9902	NaN	12225.8799
3.7358	NaN	14165.8545	NaN	12653.1172	12162.4678	NaN	11899.1602	NaN	NaN	NaN	NaN	NaN	13416.6172	11618.9678	11717.4775	12242.8711	11466.7656	13423.5781	11622.9238	12251.8525	11514.0635	NaN	12097.0371
3.8692	NaN	14113.5	NaN	12483.2871	NaN	NaN	11847.5186	NaN	NaN	NaN	NaN	NaN	NaN	11919.9004	12230.0596	12687.3223	NaN	13440.2666	11296.0039	NaN	11131.8213	NaN	12178.0889
4.0027	NaN	13071.1699	NaN	12361.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12183.4189	12486.4561	NaN	13287.7002	11293.3252	NaN	10653.167	NaN	NaN
4.1361	NaN	NaN	NaN	12226.4004	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11014.9951	NaN	NaN
4.2695	NaN	NaN	NaN	11536.2998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11313.5615	NaN	NaN
4.4029	NaN	NaN	NaN	11295.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11354.2217	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
