x	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	13343.5068	11821.4355	12674.457	12778.4824	13756.7148	10673.6758	12201.2314	11203.2646	11340.5479	11830.5498
0.1334	13634.9131	13049.6406	12752.3174	12881.8105	15206.1338	11323.042	12735.0537	11604.9971	11993.2607	13445.5781
0.2668	13705.9551	13975.5068	13435.8711	14898.6221	17784.9297	12584.4512	15346.5215	12276.5234	13159.374	14387.3428
0.4003	15507.4717	14692.2305	13263.3369	17301.6348	20066.8906	15019.6426	15831.1318	14751.293	15643.4834	16456.0781
0.5337	18231.4668	17986.0566	14801.624	18565.7891	19204.1875	16382.1904	14978.5557	16924.2168	17151.0605	17492.8594
0.6671	21610.9453	17393.6797	15814.7109	17403.6875	15452.2363	15344.4912	13455.2197	17883.959	17709.8652	15604.918
0.8005	20998.6914	14863.4824	15711.9814	15953.2041	13608.8818	14514.458	12751.3467	15409.2539	15502.9131	13550.6094
0.934	19085.043	13782.2158	13849.8643	14173.5195	13504.8506	13704.7461	13586.5293	14342.2715	14656.749	12442.0088
1.0674	17552.2754	13106.1641	13414.8789	13992.8604	12931.4697	13452.3779	13670.0518	13525.8242	13486.9219	11706.9541
1.2008	16767.8711	12575.4141	14173.2598	13693.2393	12336.4951	12876.8018	13590.2188	14462.7715	13598.0264	11429.709
1.3342	15913.4922	12069.7764	14731.0078	14910.2383	11927.8262	12815.4424	14182.1621	14969.9424	14141.4971	11918.4316
1.4676	14800.126	11085.248	13851.3574	14690.0088	11385.7695	13127.1289	13712.9873	14320.0889	14361.5312	12310.8965
1.6011	14411.5566	10439.1299	12863.5859	13280.0557	11604.5654	14210.2695	13393.9717	13826.3584	14344.9414	12417.0322
1.7345	13793.9541	9887.2666	12748.3818	12822.4697	11705.6807	14572.9834	12556.6211	13295.625	16121.3701	11533.2002
1.8679	13877.0977	9734.6641	12251.2197	12776.4033	11788.0166	13917.7754	12720.0029	13150.7129	15442.1992	11935.1543
2.0013	13206.0068	10410.4365	12289.1465	12975.125	12647.7168	13913.832	12450.9951	12460.7939	14877.8838	13006.7812
2.1347	12437.2578	10611.4863	12274.3506	11977.9121	12679.2969	14160.7139	12326.2432	11753.2266	14521.2168	12915.0254
2.2682	12298.6777	11034.8682	13340.0938	11648.6973	13527.7617	14140.5967	12056.1279	11705.0166	14545.2578	12754.6689
2.4016	12159.5811	11081.0537	NaN	11644.0986	13638.376	13499.3594	12004.8027	11490.0195	13849.2959	13132.3311
2.535	12091.4814	NaN	NaN	11795.5557	14161.7422	NaN	NaN	11715.3584	13029.3994	14076.3799
2.6684	12285.416	NaN	NaN	12631.9854	13086.332	NaN	NaN	12019.7256	13003.4717	13203.8027
2.8019	NaN	NaN	NaN	NaN	12732.4287	NaN	NaN	11784.2988	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11727.0527	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
