x	Y_20180224_15100_11_2g	Y_20180224_15100_12_5g	Y_20180224_15100_14_3g	Y_20180224_15100_30_2g	Y_20180224_15100_30_7g	Y_20180224_15100_4_1_1g	Y_20180224_15100_7_3g	Y_20180224_15100_8_1g	Y_20180224_15100_9_5g
0	36593.781	37932.902	38435.199	37374.977	36542.762	37364.719	36840.098	38697.367	39250.238
0.1334	36837.184	38732.258	37543.801	37644.902	36889.988	36209	35708.703	37206.426	37161.914
0.2668	36708.66	37842.438	38553.352	37903.402	38020.848	35575.555	38369.797	37119.68	37807.547
0.4003	37446.926	37423.926	38166.453	39059.164	38227.613	37250.273	35956.543	39514.801	39200.652
0.5337	37819.047	38059.332	39281.543	37905.828	37486.352	36251.766	37132.273	38944.027	38501.043
0.6671	38372.363	40342.176	39635.719	39535.586	38603.484	37031.465	36558.375	39560.547	37572.781
0.8005	37982.363	39717.047	39713.531	40551.738	39179.332	37962.25	37423.117	39607.512	39568.977
0.934	36080.262	39777.488	39887.543	39431.332	37383.289	36792.527	36539.746	40653.605	40938.324
1.0674	36405.93	40667.969	38976.152	40538.285	38438.363	35109.75	37095.242	39418.496	41677.613
1.2008	37067.895	40227.012	39181.289	39844.066	39025.918	34478.035	39121.371	39792.055	40602.664
1.3342	36902.23	40337.172	41073.902	39731.598	36220.957	35051.84	35850.137	38995.684	41787.195
1.4676	35518.113	41927.191	40614.477	41156.898	37683.855	36037.371	35299.273	38416.559	40760.012
1.6011	37636.562	44201.605	40782.512	40072.965	39798.07	36663.746	36287.223	38106.469	42326.039
1.7345	35749.996	40964.262	41596.891	41088.906	36781.156	35256.57	37966.953	38067.664	41893.629
1.8679	34504.773	40334.418	39198.301	38770.27	38068.109	35995.207	36315.207	39379.691	42173.461
2.0013	35209.773	37852.105	39632.438	38135.785	39992.102	36323.438	37414.844	40011.66	41376.367
2.1348	36900.238	38067.484	39847.059	41077.344	37951.68	37448.719	36778.98	38562.234	43099.535
2.2682	35608.121	39208.344	41674.449	39993.953	38528.168	37506.324	36792.133	39199.379	41219.129
2.4016	36255.438	39355.043	41375.426	42985.055	38845.391	39583.523	38698.477	39257.312	43034.145
2.535	36833.391	42024.969	41033.023	47714.121	41492.234	45416.266	42875.855	41494.691	47294.238
2.6684	43639.438	46726.906	42311.195	56910.57	40948.363	59655.312	51252.645	43608.41	55847.953
2.8019	56970.617	59059.477	45842.359	90058.055	47433.137	79753.844	71425.844	51365.133	68619.602
2.9353	84474.422	94449.625	55222.156	139376.453	64405.523	84417.125	106258.398	71175.734	68874.539
3.0687	99038.773	137615.844	81550.961	141152.938	98345.906	65010.879	116086.312	112944.852	57709.902
3.2021	79887.648	125592.141	110859.758	96387.031	141867.234	48798.984	75865.188	133036.859	51067.184
3.3356	52833.348	85903.531	109589.078	66079.969	122685.328	42295.582	52182.129	101973.492	45324.941
3.469	42064.504	59587.418	74072.711	50629.73	82178.07	40463.242	43543.961	64424.824	NaN
3.6024	39703.52	50620.758	61891.199	44559.699	62299.012	NaN	40257.156	49873.32	NaN
3.7358	NaN	45870.258	52030.195	NaN	49584.875	NaN	NaN	45654.574	NaN
3.8692	NaN	43382.465	47437.609	NaN	45530.035	NaN	NaN	44382.723	NaN
4.0027	NaN	NaN	42954.18	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	42349.996	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
