x	Y_20181208_15693b_1_1g	Y_20181208_15693b_11_12g	Y_20181208_15693b_2_10g	Y_20181208_15693b_3_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_24g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_7g
0	13579.7891	11591.2656	11979.5127	12719.2529	13109.0723	14953.7764	11851.7344	13235.3555	12028.1934	11761.3477	11571.3213
0.1334	15143.3867	11975.4629	12244.8955	13905.126	15297.7236	16974.4609	13553.5723	15391.334	13173.1924	11692.0889	12693.7969
0.2668	15645.8652	12794.792	11989.2705	15721.0596	18140.0469	18620.9238	16295.8105	17328.1465	14882.2236	11737.0498	13399.2891
0.4003	14540.5654	14349.1318	12830.835	16438.5293	17966.0879	17484.0195	19966.4863	15080.3516	16820.8926	12656.4951	14844.4502
0.5337	18532.2578	18848.1621	14916.5977	14916.5381	15712.5234	16323.6943	19621.2324	13331.2959	16703.9648	14018.3877	15444.9053
0.6671	21914.8477	23525.8555	15770.498	14070.7559	15831.0283	14914.0068	17621.2285	12473.8232	14117.7031	15887.709	15278.2217
0.8005	20889.2422	24940.6211	13752.8799	12381.0029	14964.7324	14242.1533	15936.5049	12231.125	14384.0693	15660.6592	14544.9238
0.934	16472.3164	20839.9707	13604.4062	12259.2832	14467.5215	12841.7188	14764.1191	12501.249	14866.9678	14806.6064	13370.2646
1.0674	15297.8359	17890.2793	12369.3818	12870.5117	13109.7539	11955.8242	14716.5049	12568.4277	15891.0625	14562.5908	12785.9639
1.2008	15151.0771	16066.0234	11892.9053	13458.6836	12272.5918	11676.041	15779.5215	13531.6885	16685.1348	13946.0615	13746.6016
1.3342	14462.1553	14831.6514	11244.9199	14400.2969	12616.6709	11956.1699	16014.5898	14270.5811	18428.5664	15095.3857	13279.4434
1.4676	14472.5107	15122.6719	11348.9316	15091.4395	12536.8896	12907.6855	15805.2344	15013.8994	17241.6504	14254.0332	12306.9834
1.6011	15359.9092	14635.3369	11851.0449	14954.4541	12054.3506	13003.1016	17417.5508	14837.3154	16985.8516	14179.1689	11817.5225
1.7345	14517.4814	13776.125	12608.5537	14257.3154	11639.9092	13431.0918	18915.7383	15477.9629	17362.1172	14100.4678	12124.7949
1.8679	13757.8965	12890.5449	13193.9541	12990.3037	11405.0586	13842.5029	17535.1289	14895.2754	17952.7422	13751.8613	11238.9795
2.0013	13686.3818	13223.3389	13512.1172	13658.5723	12529.4863	13886.2451	17008.0664	15518.3975	15866.6094	13436.0654	11553.7549
2.1347	13458.5361	12039.9229	13868.2178	14066.5928	12731.3262	13638.3457	16535.2266	14218.7656	13912.0566	13257.9707	11890.6465
2.2682	13047.4297	11887.627	12758.2832	14138.0361	12596.6543	12650.5293	15258.3193	13785.0615	12829.4072	12547.6016	11672.1602
2.4016	12896.3027	13182.2412	12599.5098	13450.6699	12047.0908	13290.9902	13566.9111	14147.8633	12897.8535	11701.6924	12007.2256
2.535	13006.7715	12918.9082	11367.8213	14086.46	12309.6436	12761.4424	13068.4053	13561.124	12365.9385	11355.5527	11619.0117
2.6684	12123.1191	13141.5957	11430.0547	13096.0566	11912.6904	12840.5518	13115.6689	12587.873	12751.9639	11442.1016	11302.7812
2.8019	12974.1992	12871.4717	11839.249	12292.9277	12437.834	12963.0439	12767.8936	12757.2256	11992.8662	11582.1475	11796.7344
2.9353	NaN	12415.625	12022.3477	12495.4473	12358.1455	12459.165	11957.5059	12333.2236	NaN	12351.0488	11301.8408
3.0687	NaN	12576.2207	11369.0928	12498.5674	NaN	12575.2949	12798.6445	12763.7559	NaN	12502.0439	10952.6865
3.2021	NaN	12775.2197	NaN	NaN	NaN	NaN	12619.5723	NaN	NaN	11825.1035	11573.4121
3.3355	NaN	12646.7607	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11884.5684	NaN
3.469	NaN	12571.248	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	12795.4922	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
