x	Y_20181208_15100b_18_5g
0	10790.7568
0.1334	11475.2666
0.2668	12670.1533
0.4003	14849.9102
0.5337	14779.0322
0.6671	14601.2705
0.8005	14516.8379
0.934	14569.0127
1.0674	14161.3828
1.2008	14981.2979
1.3342	14652.458
1.4676	14529.7373
1.6011	14711.8613
1.7345	14597.9404
1.8679	15195.6445
2.0013	14576.4854
2.1347	15031.0986
2.2682	15451.9062
2.4016	16452.3145
2.535	17091.3887
2.6684	16420.2617
2.8019	16204.2549
2.9353	15260.4854
3.0687	14340.873
3.2021	14276.2959
3.3355	14036.8174
3.469	14737.2373
3.6024	13228.9619
3.7358	11947.7344
3.8692	NaN
