x	Y_20181208_15794_1_12g	Y_20181208_15794_1_15g	Y_20181208_15794_1_22g	Y_20181208_15794_1_6g	Y_20181208_15794_1_7g	Y_20181208_15794_1_8g	Y_20181208_15794_10_18g	Y_20181208_15794_10_3g	Y_20181208_15794_10_8g	Y_20181208_15794_11_3g	Y_20181208_15794_12_11g	Y_20181208_15794_13_3g	Y_20181208_15794_13_5g	Y_20181208_15794_13_6g	Y_20181208_15794_14_4g	Y_20181208_15794_14_9g	Y_20181208_15794_15_2g	Y_20181208_15794_16_10g	Y_20181208_15794_16_6g	Y_20181208_15794_16_7g	Y_20181208_15794_17_3g	Y_20181208_15794_18_4g	Y_20181208_15794_19_13g	Y_20181208_15794_19_14g	Y_20181208_15794_19_4g	Y_20181208_15794_19_6g	Y_20181208_15794_19_8g	Y_20181208_15794_2_11g	Y_20181208_15794_2_4g	Y_20181208_15794_2_6g	Y_20181208_15794_2_8g	Y_20181208_15794_2_9g	Y_20181208_15794_20_3g	Y_20181208_15794_20_5g	Y_20181208_15794_22_10g	Y_20181208_15794_22_4g	Y_20181208_15794_23_12g	Y_20181208_15794_23_16g	Y_20181208_15794_23_20g	Y_20181208_15794_23_2g	Y_20181208_15794_23_4g	Y_20181208_15794_23_5g	Y_20181208_15794_23_7g	Y_20181208_15794_23_9g	Y_20181208_15794_24_15g	Y_20181208_15794_24_6g	Y_20181208_15794_24_9g	Y_20181208_15794_25_11g	Y_20181208_15794_25_1g	Y_20181208_15794_25_4g	Y_20181208_15794_25_7g	Y_20181208_15794_25_8g	Y_20181208_15794_26_4g	Y_20181208_15794_26_7g	Y_20181208_15794_27_5g	Y_20181208_15794_28_2g	Y_20181208_15794_28_5g	Y_20181208_15794_28_6g	Y_20181208_15794_28_7g	Y_20181208_15794_29_11g	Y_20181208_15794_29_12g	Y_20181208_15794_29_5g	Y_20181208_15794_3_7g	Y_20181208_15794_4_2g	Y_20181208_15794_4_9g	Y_20181208_15794_5_18g	Y_20181208_15794_5_20g	Y_20181208_15794_5_5g	Y_20181208_15794_5_7g	Y_20181208_15794_6_12g	Y_20181208_15794_6_16g	Y_20181208_15794_6_22g	Y_20181208_15794_6_2g	Y_20181208_15794_6_4g	Y_20181208_15794_6_5g	Y_20181208_15794_6_6g	Y_20181208_15794_7_12g	Y_20181208_15794_7_3g	Y_20181208_15794_7_7g	Y_20181208_15794_8_4g	Y_20181208_15794_9_12g	Y_20181208_15794_9_14g	Y_20181208_15794_9_1g	Y_20181208_15794_9_7g	Y_20181208_15794b_1_1g	Y_20181208_15794b_1_2g	Y_20181208_15794b_10_5g	Y_20181208_15794b_3_2g	Y_20181208_15794b_6_2g	Y_20181208_15794b_6_4g	Y_20181208_15794b_6_8g
0	28614.75	30819.1562	30497.9395	30315.75	32436.0176	32194.877	28024.3398	28855.4746	28760.7012	28322.7754	27475.7676	30633.9102	34548.1211	29604.6172	28221.5977	32282.8301	30993.3496	27691.8008	26383.2305	27294.873	31839.9258	31661.5664	30220.6562	29294.4883	29893.9316	32044.6953	32767.9473	29727.9414	26002.6348	32405.2422	29301.668	28635.832	26304.1895	29763.2793	26447.8887	26457.9023	28608.9023	31588.7422	28692.3398	30168.3945	30100.8867	32113.7031	25192.8262	25427.9062	23939.6953	27317.0664	26418.8867	30168.8281	26739.0195	33864.3008	29391.4512	29447.2324	30245.0918	28825.7969	29622.416	30208.1426	28107.2871	28457.9648	26840.8613	30941.2012	29637.0195	27961.2031	30491.1406	27092.3477	30609.7598	28545.1992	30502.2773	30465.5391	31776.1836	29939.9551	32650.3164	30651.7988	30301.6855	30693.3535	30028.8867	30931.8301	29362.2539	28023.2891	31637.4258	31087.8457	28546.9238	30011.0938	29551.498	29073.2676	27913.877	28994.6387	26525.4727	28496.2188	25244.5254	29549.7363	25269.6289
0.1334	27748.8809	31082.1328	30440.9688	32228.1387	32068.3047	33028.0195	27872.6523	29815.9062	29161.9824	28573.0449	26371.5059	29017.3633	33489	28761.6133	27572.3887	32907.5391	29583.3398	28282.1328	26638.6484	27171.2363	31933.0449	32329.6582	31069.6875	29238.6836	30769.5254	33620.6016	30951.8672	32050.4082	26412.2832	32402.8066	29678.6973	29057.3223	26615.3047	30298.1191	27189.6328	26639.248	29096.127	31378.4609	29195.6855	30501.8848	30190.0762	31290.8652	26136.2812	25640.0371	24003.0156	26930.3262	26338.3945	29839.418	27323.9199	33430.8594	30731.0039	30073.1738	30183.8906	29270.9453	28547.1777	30931.4316	26939.7227	27864.1738	27267.3711	31744.6758	29683.2051	28980.5293	31631.4395	26134.3691	31634.6523	28579.832	28692.8652	28581.0898	32840.2969	29616.3945	31536.5605	31618.7832	31082.0996	31555.7793	29699.1406	31352.3867	30396.6406	28328.832	32365.8066	31600.5996	28785.6797	30472.043	28981.7695	28850.2812	26955.5156	28547.5605	27116.3438	26333.9746	26054.6562	29878.8535	26426.7871
0.2668	28362.8438	30869.2305	29550.0176	31111.3164	31561.3711	32543.3633	28424.4551	30931.7207	29617.5273	28268.0801	25839.3555	30530.9199	31731.3789	30145.6211	27751.457	30987.2383	30063.8359	26601.9297	25992.5312	25927.4219	32387.3906	33096.3242	30406.5137	30270.0957	32559.2637	32960.2656	30930.5859	30361.4453	25366.2832	30172.6211	30075.8105	29656.8965	27143.3457	31049.9707	27377.5645	27062.5977	28871.6055	30727.3555	29496.0664	32511.123	30649.5059	30382.1289	25871.9238	24955.4473	24847.0273	27101.8008	26510.9297	28431.7266	26512.209	34067.8906	31289.4297	30425.1699	30166.6016	28246.3008	29762.7598	32774.8203	26564.3555	28173.2578	28693.1094	31090.1172	29906.1621	29464.5156	31566.5586	25282.7773	32001.9453	27024.7227	28459.9668	29710.1445	32115.332	30668.7051	31574.6602	31864.9395	29858.0312	31923.9434	30032.0938	31203.9492	29294.1035	28560.9883	32660.1562	30345.4004	29525.416	31667.5293	28479.0801	28646.2891	25991.2656	28605.1367	27749.9883	27299.6309	26752.1543	30664.6895	25820.0566
0.4003	29309.9512	31808.0684	30480.7422	30707.877	31922.4785	32879.2617	29380.7617	30075.7266	29975.7305	28105.3418	25058.3066	29734.1562	32988.4453	30785.4922	28832.582	31624.3008	30454.0234	27119.6035	26249.5059	26670.7012	32036.6328	31870.6602	31026.9805	30661.293	32364.7578	31028.6211	32847.2188	29338.4629	25635.6895	31211.9043	29650.7207	29695.7324	26457.8848	33197.8906	26279.418	25874.1562	28808.3711	31149.1758	28039.9004	31788.4785	29853.5312	29738.7656	25847.4512	25040.375	24748.7031	28699.5176	26071.1133	28060.7246	26698.0703	32301.0195	31764.7734	31005.791	30172.0117	29049.3984	29843.9531	31648.5332	26781.5234	27633.3242	26762.2832	28696.2246	29748.3555	29329.8105	31822.125	26619.3301	33933.4922	27868.541	30037.6523	27118.9043	32312.9043	31187.1641	32887.4219	29397.9805	28860.9902	29353.7109	29651.418	31559.2266	29899.8398	29436.4922	32496.6074	30819.0508	30089.6797	31229.6367	28399.9668	28701.4629	27716.2812	27959.0254	27667.6797	27387.7734	26228.8223	31837.0527	24447.3711
0.5337	28267.0332	32156.9961	29990.5371	29780.9316	29653.1973	31682.1309	29363.1348	29563.9434	29841.1211	28279.332	23881.5293	31788.0273	31408.5176	28945.7383	27961.5586	31093.4551	29363.7285	26871.9492	27943.4805	27003.3184	31302.7109	32426.3145	30225.8867	31361.5547	30783.8418	30636.2148	30542.9434	29738.2754	26264.2891	32951.1719	29306.6016	29154.7715	25786.4668	31068.8574	26840.8652	25996.4707	29560.6582	30703.5332	28930.8867	31184.3789	30298.9258	29646.3379	27728.6816	25007.1836	23705.6738	27442.8789	25502.9121	27411.1855	26689.4629	31785.6777	31780.166	29025.2422	29787.6895	29168.9004	28841.8203	32445.0312	26843.9434	27642.5625	27721.6191	28148.2754	29855.9746	27703.0117	31090.5703	26723.8867	33777.1875	28491.6855	30341.1621	26984.3516	30850.3535	29437.8672	32433.002	30567.0176	29334.0977	30584.8086	30303.8008	29708.4922	30244.2207	29502.6934	32877.8086	31493.8516	29630.5703	32024.627	28125.5078	28413.0938	26078.6309	28239.5176	27130.9141	28778.0586	25560.666	32035.7578	26096.6699
0.6671	28054.6406	31259.9434	29127.4551	30255.0469	31139.1855	31564.2012	31293.7715	30429.8926	28153.4434	29802.0352	25365.7539	30296.8359	33798.0547	28440.9609	28606.623	32900.6836	28191.4238	25020.7051	27198.6211	29227.9043	32293.4004	32847.4922	30348.0801	30752.6523	31217.9805	31597.4375	31336.8867	31647.7148	27422.4688	30206.002	28532.6094	31163.252	25623.9258	30481.8965	26751.4453	25511.5176	28869.6113	31320.5977	27634.3984	31191.6152	29198.0527	27663.5234	27116.7871	25918.5918	24988.3809	27606.0723	24952.8086	27806.9785	27188.3965	32166.4512	31793.7207	29664.6602	28481.0762	29599.3203	28511.8848	32216.2832	28209.8242	27649.1758	28164.1719	30177.9922	29612.2168	27044.0117	30947.293	27399.8418	33870.0586	28585.1328	30764.5293	26622.0918	31531.8613	28678.6133	32852.8008	30823.3555	29365.0449	30783.623	28436.6445	29355.7598	30453.627	29969.7969	32401.3945	30996.5605	28872.791	32942.2148	29745.0332	27880.4785	27013.2305	27144.0898	28587.6328	28238.5684	25976.8613	30930.2598	26643.0801
0.8005	27734.7656	31620.2852	30065.793	29897.209	31230.4961	31733.1699	35137.5234	30265.7754	29431.9277	28645.707	25485.4297	30980.0059	30631.3535	29224.498	28124.2246	34050.7969	29322.6387	25961.1992	27888.9727	28465.8789	31423.1758	32385.6094	30816.6836	30163.8594	30669.709	31005.4141	31258.8789	31310.0918	26915.6309	31537.4473	29936.5625	30801.4492	26392.5977	30439.002	28062.0117	25842.2168	29088.6172	31402.6387	28496.4004	30990.7832	28877.3535	27869.4785	28098.0176	24916.082	24150.2812	28169.2109	25803.9785	27487.1719	27350.3398	31296.0723	30264.7969	29478.5801	28067.7383	27865.0566	28602.041	29591.957	28958.9727	28556.3789	27359.7949	29333.9004	30988.2969	26366.9102	31213.4805	27339.8457	32395.248	28256.4766	30849.5488	27561.4844	32305.8301	29524.8984	31657.0391	29029.7383	29428.5449	29050.959	29069.5664	28884.4551	32140.5762	29032.3555	32926.2031	29808.5293	28487.8418	30642.0195	29242.2852	28394.1035	27112.291	27536.2637	30329.1484	28192.1777	26176.4238	30782.0957	26315.8652
0.934	28223.8105	31602.2773	31436.541	29906.2461	30267.6855	31823.3691	39485.2422	32004.9668	29376.5156	27647.7441	25975.627	30215.2598	33019.4336	29278.2422	27615.7773	35191.5352	29378.8965	26493.5078	27995.6172	27695.3008	31321.3047	32795.5469	30158.4805	30597.4199	31198.5723	31424.4902	31269.9297	30718.4375	27638.5137	30760.6582	30413.666	31343.416	27523.252	33043.9219	28131.209	26414.209	28978.4863	31494.9941	30320.8789	31674.8867	30557.5488	28719.7246	27098.6152	25409.3945	24174.0547	28785.8047	25920.6582	29908.4688	29707.0293	30291.1914	31875.0488	29935.7539	28066	27666.7188	29039.6328	29408.248	28294.8926	29959.1152	26890.0117	28794.3359	30747.5977	27892.2871	30424.4453	27059.2129	34070.3789	29255.7988	30962.8027	27266.4375	32122.9355	29066.2266	32606.6836	30088.0664	29065.748	30085.2539	30024.1094	28895.7578	31350.3906	27636.3457	31178.7402	30955.5781	28061.0723	30308.9395	30026.8789	29313.9336	26862.7227	28116.498	28358.9043	28160.4375	26485.0215	32380.3418	25633.1914
1.0674	29584.7656	32969.5312	34059.0156	30620.4473	30760.7012	33336.0039	50128.7656	30889.9551	29327.8477	28529.2129	25790.0898	29045.4844	32624.7324	30619.5918	28566.5508	33778.8242	28667.1426	27579.8203	28959.7031	29126.623	32224.0449	33502.7617	30705.0254	30721.1504	31552.6934	32919.5625	31120.2578	32391.1445	27548.002	30433.248	30053.1875	32330.6719	26830.75	32105.668	28172.166	28308.9453	28580.6074	32579.2285	29682.3965	31634.5586	29965.7852	28762.9062	26020.9336	26037.5176	23906.2891	29447.2344	27383.7539	30094.6797	29267.1348	31506.6523	32537.7031	30820.3691	26277.0918	29072.1387	29308.002	31003.4316	28503.4883	28922.4668	26322.6289	29703.1211	31855.7871	27179.1914	31818.9609	29088.0645	34395.0117	29079.0762	31768.4707	26643.3457	32010.3457	29391.293	33365.4922	29230.4805	28988.8516	29203.1895	31433.6875	30505.498	32532.998	27552.4395	32415.2852	30851.625	28658.4766	30299.3203	30528.2598	30738.1113	27774.8887	27365.0117	32173.9277	27491.1699	27464.8047	32794.4258	25830.9434
1.2008	30118.627	31949.0859	35392.6484	31488.8613	31022.5957	32584.8418	70000.0547	33602.5703	31188.9238	28690.7285	27614.25	29720.3105	32366.4043	29463.7773	29026.6465	35740.6523	28903.4648	27247.7832	28350.5137	29857.625	32188.1387	35240.418	31599.4824	30822.8672	30801.4395	33792.5977	31779.2559	33059.6445	29006.1191	33197.7539	31582.1094	37537.5781	27905.4062	30056.3945	28495.6934	28319.1309	28880.5742	34871.7031	30462.0273	33280.0469	28940.2402	27923.6035	28319.5391	26368.5215	22946.6992	32169.084	27299.1465	31586.4453	29242.4062	32848.4727	31794.3711	30001.1113	28740.5332	29049.8945	30885.2285	30276.3359	29356.6641	27766.2871	27058.166	28531.709	32885.6875	28840.3125	31822.4043	28780.418	33447.7969	29443.4883	32298.8945	26436.1465	33074.3359	29834.4688	32858.5312	31271.5059	27820.9316	31260.5254	32044.3906	30559.1113	31677.127	28659.3828	33056.8398	29400.791	29239.7637	30575.0098	30522.3184	29636.3008	28205.1035	28732.2129	36527.5781	28527.9395	27546.5781	33637.5703	27505.2676
1.3342	31313.0781	33043.6836	35830.6172	31977.0879	30605.9551	34239.7852	70614.625	37079.8555	32787.7773	26900.3691	28262.8633	30231.834	32554.5117	31287.084	29588.2246	37580.1484	29791.9062	29012.2363	29302.0332	29518.0781	33778.3203	38388.6133	29121.1289	31091.1562	31253.4492	32388.6758	34102.9844	34031.3477	31347.7773	36217.8555	32953.1289	45227.3516	29498.5215	29740.1387	30795.4551	29886.1758	29479.7598	42962.5938	32326.6191	35028.3945	28887.3691	27283.8145	30947.6797	29708.9609	28193.2305	34138.457	28176.0938	41751.125	30544.1016	35234.8047	32037.2266	29058.5469	29004.4648	30251.6191	30646.6406	30677.0801	33970.2695	29018.8535	26562.332	29685.4727	35826.9883	28929.3887	33482.0508	33037.9688	33496.3867	30768.8594	35253.7734	28668.5391	33784.9688	31227.7383	32764.6797	31848.3652	28420.0059	31846.3457	29688.6953	31499.377	32102.6035	28496.0195	33676.5781	30996.0918	29897.1133	33223.5703	30826.8516	30841.6777	28867.2461	28185.8105	44089.7656	30483.5977	28811.7383	34732.1562	29744.8359
1.4676	32605.2695	35147.9258	41144.0391	33424.582	30918.0293	35896.1875	55691.8203	46877.0195	39832.6289	28527.9492	32798.5273	30786.7188	33748.5312	33887.0586	29660.2402	44206.0352	29219.3652	33039.832	29155.2773	29948.7246	38393.0352	44005.1836	29696.752	30386.6387	33207.8516	31991.7871	34140.6367	41703.4727	37096.4102	41534.5938	34982.168	63863.9062	29099.9766	31188.1191	32235.5059	35269.0156	30222.8789	59061.707	37471.3594	42696.8477	28471.5586	27644.6035	35784.3203	35669.25	32126.1289	40396.9023	29622.0723	60078.1289	29655.6523	36629.2773	32828.0391	31560.3223	29524.5312	32913.0586	31385.9102	28963.3457	42959.0859	30008.4277	25369.3223	29307.1504	42824.0312	29348.4121	39764.9492	40939.9922	34779.3086	34894.6875	40813.0938	31467.7949	36270.8086	31181.1543	32868.5586	33782.3125	29065.6777	33852.2812	31337.4902	33985.3789	33116.9609	29081.6309	33827.2891	33342.6836	31107.9297	33908.7109	32478.0703	32540.873	28488.7168	31577.8789	57690.543	33402.2109	29228.6445	37166.4961	30625.8555
1.6011	34552.9258	36626.582	54968.5117	36789.5078	31502.4863	39744.8867	54167.5352	68380.7344	53873.4375	30504.5898	43972.5195	30863.7148	33581.2344	36896.3242	30082.8398	60416.8828	29550.7715	39460.1758	32098.4551	31201.291	50776.0117	58438.375	32379.4629	30604.6738	34464.5039	32269.3809	39567.1758	55064.832	52844.875	55677.5938	40428.957	76839.0938	29476.1875	31102.1426	39813.7422	47368.2188	32849.5	75086.0391	45848.7891	52303.8984	29510.4141	30217.4629	48802.4023	47027.8906	40428.0352	57085.0039	32315.7402	88099.2656	33156.5898	49817.5469	36379.3984	31368.4004	31452.3008	38072.2734	31482.0137	29777.457	58385.0469	30718.0957	25534.6016	28697.8477	58980.9102	32258.0273	47427.5781	54831.6719	36002.7656	42530.1328	58024.0039	36910.4375	39889.8828	32590	33181.5508	39915.0898	28319.916	40006.0391	32543.7695	39590.5664	33895.4609	31585.6016	36605.3516	37982.8008	31633.7461	39022.2734	33264.1523	32810.1445	32506.9043	37658.0352	58432.7344	40966.207	31562.7129	41769.9688	36698.5234
