x	Y_20181208_15694_1_12g	Y_20181208_15694_1_13g	Y_20181208_15694_1_6g	Y_20181208_15694_1_7g	Y_20181208_15694_10_14g	Y_20181208_15694_10_1g	Y_20181208_15694_10_4g	Y_20181208_15694_11_8g	Y_20181208_15694_12_12g	Y_20181208_15694_12_4g	Y_20181208_15694_13_11g	Y_20181208_15694_13_12g	Y_20181208_15694_13_2g	Y_20181208_15694_13_3g	Y_20181208_15694_13_6g	Y_20181208_15694_14_1g	Y_20181208_15694_14_8g	Y_20181208_15694_15_2g	Y_20181208_15694_15_4g	Y_20181208_15694_16_12g	Y_20181208_15694_16_15g	Y_20181208_15694_16_7g	Y_20181208_15694_17_4g	Y_20181208_15694_19_13g	Y_20181208_15694_19_1g	Y_20181208_15694_19_20g	Y_20181208_15694_19_6g	Y_20181208_15694_2_11g	Y_20181208_15694_2_12g	Y_20181208_15694_2_8g	Y_20181208_15694_20_10g	Y_20181208_15694_20_11g	Y_20181208_15694_20_1g	Y_20181208_15694_20_3g	Y_20181208_15694_20_5g	Y_20181208_15694_20_6g	Y_20181208_15694_20_9g	Y_20181208_15694_21_6g	Y_20181208_15694_21_9g	Y_20181208_15694_22_12g	Y_20181208_15694_22_13g	Y_20181208_15694_22_1g	Y_20181208_15694_22_2g	Y_20181208_15694_22_8g	Y_20181208_15694_23_12g	Y_20181208_15694_23_13g	Y_20181208_15694_23_15g	Y_20181208_15694_23_17g	Y_20181208_15694_23_4g	Y_20181208_15694_23_5g	Y_20181208_15694_24_12g	Y_20181208_15694_24_4g	Y_20181208_15694_24_9g	Y_20181208_15694_25_1g	Y_20181208_15694_25_3g	Y_20181208_15694_26_10g	Y_20181208_15694_26_5g	Y_20181208_15694_26_7g	Y_20181208_15694_26_8g	Y_20181208_15694_27_3g	Y_20181208_15694_28_10g	Y_20181208_15694_28_2g	Y_20181208_15694_28_4g	Y_20181208_15694_28_6g	Y_20181208_15694_28_7g	Y_20181208_15694_29_3g	Y_20181208_15694_29_4g	Y_20181208_15694_29_6g	Y_20181208_15694_3_10g	Y_20181208_15694_3_11g	Y_20181208_15694_3_16g	Y_20181208_15694_3_3g	Y_20181208_15694_3_6g	Y_20181208_15694_3_9g	Y_20181208_15694_30_1g	Y_20181208_15694_30_5g	Y_20181208_15694_30_6g	Y_20181208_15694_30_7g	Y_20181208_15694_30_9g	Y_20181208_15694_5_10g	Y_20181208_15694_5_22g	Y_20181208_15694_5_2g	Y_20181208_15694_6_14g	Y_20181208_15694_6_17g	Y_20181208_15694_6_1g	Y_20181208_15694_7_11g	Y_20181208_15694_7_12g	Y_20181208_15694_7_15g	Y_20181208_15694_7_2g	Y_20181208_15694_7_4g	Y_20181208_15694_7_9g	Y_20181208_15694_8_9g	Y_20181208_15694_9_14g	Y_20181208_15694_9_3g	Y_20181208_15694_9_7g	Y_20181208_15694b_10_2g_left	Y_20181208_15694b_3_4g_left	Y_20181208_15694b_6_12g_left	Y_20181208_15694b_6_5g_left
0	11756.4014	12089.3506	13040.0283	13201.3242	13314.3477	10688.3828	13787.4424	11052.1982	12039.0078	11832.9375	11819.6387	14570.7988	10476.5869	11219.0283	12554.2432	11090.1104	10545.1436	12459.6016	12767.6016	11854.7471	11612.4482	11376.334	10208.6104	10121.1328	10918.377	10707.0771	11763.1455	15346.2168	12418.5713	13599.8232	11551.2451	11213.5352	13276.2949	10356.2734	11079.7246	10151.3828	11976.6006	12995.417	10693.7168	10097.0645	12497.2568	12899.1143	13856.708	11971.3496	10879.0859	12461.8818	11605.4629	12525.7002	11690.2246	12113.1533	10142.4463	16786.4492	10915.9404	14187.3301	12985.4141	10368.1523	13534.8955	12856.4365	11648.0205	12037.374	10639.5059	12800.9766	12351.0098	10496.0566	11002.7998	11915.8428	12560.0127	15680.4775	16301.1045	11847.5459	12065.7119	15931.8418	12667.5693	12369.5449	11017.8311	10833.2051	12427.7168	11358.5049	12909.4521	11905.4697	11819.0967	11405.4453	11772.8174	12298.0557	11743.4521	10743.0283	13754.4531	12239.1982	14552.7998	11473.9199	13437.8105	10792.0039	10956.9756	14437.4395	10993.6396	12004.4482	12741.0859	10457.9238	10414.8447
0.1334	12046.8945	12118.6416	14347.3018	12334.7881	13486.3652	11263.2256	15501.1348	10579.0518	11963.9482	13697.2334	11644.5986	16742.4922	11497.2871	10866.4287	14353.083	11249.2461	11713.4131	12419.543	13032.2949	11573.8018	12108.4453	11194.5615	11019.2002	10378.4619	11189.5938	10467.5996	12190.667	17732.4746	12294.8564	14589.2393	11563.1133	11328.3164	13467.8906	11338.665	11807.9004	10488.5596	12607.2549	12942.5312	10723.6172	10315.876	13665.6748	15716.0234	14846.3604	11495.1885	11129.5098	13510.8945	12717.1992	13846.8584	11813.3418	12098.3369	10966.7109	18388.7559	11298.3438	17079.0762	15482.7275	11376.1631	13765.0488	14462.4463	11797.2002	13240.4375	11302.4199	12997.1328	12906.8525	11214.8545	10821.0029	13587.1074	14199.8818	23104.0898	21006.7695	13537.1055	14183.7275	18698.5566	15417.1455	12651.4873	10897.6094	11940.1152	13212.46	11559.9717	14675.5508	11824.6777	12824.6777	12063.8584	12343.2256	14610.084	12371.4023	11166.2217	13998.0791	12506.5586	14642.0361	11309.666	13952.96	11353.4336	11135.6523	14923.0713	11220.3564	12534.9697	15441.4326	11528.1621	10262.9561
0.2668	14553.4639	12307.2861	16836.8906	14233.04	14859.5225	12836.5439	18281.7441	10203.7227	12245.3906	15290.3584	12188.4111	18560.9531	12610.7314	11085.6084	15009.8916	11546.251	15598.5684	12876.1719	13336.5674	12942.0752	13484.918	11098.3135	10968.4102	10836.5459	11875.1953	10380.5176	12028.9775	21310.916	12277.4795	16795.9199	11736.416	11900.498	13211.1084	12372.918	11988.9102	11674.2871	13145.6455	14359.001	11084.6611	10363.292	14894.4404	17876.9688	17241.7891	13120.2119	11618.332	15156.7217	13446.5557	16988.3086	12603.7754	12777.3213	12060.5771	17360.7773	11513.332	18623.2266	19218.2617	12907.0215	16250.0469	16726.7578	13432.4453	15235.2646	13667.7158	14111.9854	15691.8428	11763.2822	10740.8887	14916.4746	17610.4766	25796.3203	24592.3672	16433.3984	16245.6445	18553.834	18296.2012	13175.2959	11196.4229	14085.9844	14857.2793	11620.3525	17808.5781	11680.1016	12945.8691	13897.4854	13634.4844	17611.4199	12697.665	11687.3643	15363.2988	12549.7373	14493.7412	12185.0068	17246.668	12472.4609	11937.8838	16436.3633	11755.5879	14267.7783	20500.375	11955.0693	11906.8691
0.4003	15190.9287	13468.2666	18823.8027	17209.7109	17405.4141	14647.3486	18434.9941	9860.5605	12550.4473	13746.9287	14351.9717	19847.2695	13195.2637	12301.0508	15973.9502	12172.6719	18144.8281	13509.0518	13379.3711	14609.7617	15768.8242	11165.1318	11129.0029	12010.5068	13119.8291	11217.874	12191.2412	20315.1484	13914.0381	17981.8711	12597.9404	13313.9658	13492.2812	15077.8906	12620.749	13676.6494	14022.0938	18095.0156	10382.0879	10310.0596	18824.5469	16707.4414	21480.4629	14137.9883	11975.0947	16388.8711	14956.0869	17636.8965	13999.1064	14359.9111	16596.3809	15104.2812	13292.6611	18841.6738	21866.9316	15143.9375	17184.4941	15733.1943	14569.6807	16325.7715	16349.1025	14260.1328	15041.416	14154.3887	11834.6279	18379.0039	19794.4434	24080.5352	22886.2637	18488.7832	17089.416	17536.9434	19133.582	15365.6924	11019.3262	17942.6758	16743.5312	12311.6172	20359.6289	12162.3223	12546.6035	15662.6836	15114.5508	19381.3262	12581.001	11707.5977	16694.0625	13246.4268	15476.7393	14470.0791	20054.6777	13910.3633	11228.7939	17923.8945	13102.7217	15269.3506	23665.6328	11899.7725	14920.2412
0.5337	14051.9961	15133.4844	17971.123	18693.5195	21522.5684	13397.4707	17291.1562	10262.3047	15794.1484	13250.7344	16713.7793	19051.584	14027.1826	13833.3574	15559.7852	12799.6865	18166.2754	14134.2734	14452.4951	16478.9727	16346.3135	11616.6973	12310.5566	14477.3418	13993.7949	12854.8281	14200.7314	17454.3242	15843.0244	16371.0479	14357.1553	14343.0967	15312.0586	16410.6113	13083.0488	14974.0391	16469.5078	19159.3418	12060.3857	12176.9219	21642.9141	14192.8398	23159.4492	15044.5381	12948.3516	15908.3799	16432.4219	16514.6387	15908.5723	15733.7373	24386.1406	14852.7783	16368.0107	17050.8359	19698.2754	16108.6875	15987.8457	15194.5098	16722.9102	17289.0137	15819.9932	16571.957	13243.8545	15747.1895	13080.5938	20861.1973	18632.7773	17505.3535	20680.6738	19020.082	21522.7969	17207.4512	19214.9336	18046.1641	11766.1582	22657.7168	16273.8213	13981.6074	19857.0957	12664.043	12311.5664	17024.6992	17075.6992	16305.1621	12863.5693	11695.333	18830.1953	14000.7207	17796.9941	14593.8711	21079.8574	14437.9092	12178.6904	19933.6191	14708.2158	14843.9502	23093.3262	13115.0498	18461.0332
0.6671	12393.4336	14751.8887	16700.9648	22067.3828	21790.7305	13241.4785	15916.3213	9781.7275	18138.582	13787.4502	16432.0566	17124.1582	14494.6025	17485.0957	15283.6992	15656.8262	15955.3037	16869.3496	15660.5557	16408.7324	15214.4248	13596.3281	13055.7891	17177.3516	14362.1523	16578.7695	15776.8945	14844.707	15336.9199	14586.8984	16216.918	15619.6055	17666.5195	15280.625	14856.8955	13347.498	17895.9863	17119.7793	12390.0303	12628.3877	21659.6035	12756.5332	21372.498	14560.3447	13016.6924	14791.7549	14876.5723	14618.3145	18468.1465	15207.6367	28031.4746	14115.2939	17183.0469	14165.7656	17448.9082	16056.2812	15181.9922	14830.8135	15990.2832	16132.4033	14392.0879	18888.0781	13177.4316	14851.248	14119.0283	19181.6367	16774.2402	14994.7139	21011.3398	17475.6973	21442.4785	16233.8721	16492.0156	19689.5078	12524.8818	22101.334	15584.4424	14022.2725	17545.791	13295.3418	12614.6621	14516.8936	15571.0898	15493.2939	14779.6777	12086.9785	20445.4844	13802.0518	20627.7246	14707.3711	17930.4609	14035.7969	12973.9863	19910.0625	16678.8477	13216.375	21509.3105	13922.502	19347.7031
0.8005	11170.8486	12878.8359	15785.5947	19847.5781	20766.9551	12477.2979	14271.0664	9850.0137	17827.2383	14416.7812	14914.1943	17006.2363	15204.4082	15918.9883	13103.5801	16137.2979	13870.3369	20586.3652	15621.0361	14895.1377	12828.749	15712.8574	12496.1309	17990.8477	13773.418	19992.8535	16074.8037	13903.2168	13086.1113	14263.4873	15260.251	15740.624	20024.1367	14932.3799	16176.5762	11764.0732	17436.6152	15567.8691	13377.1689	12926.1035	17961.8027	12146.3359	19167.2852	13193.6064	12540.7256	13320.8594	13276.2158	13293.0596	17168.2324	14462.9092	24390.1133	13291.0264	15851.3145	13775.1943	16983.9688	15017.043	14630.041	13934.6191	14755.4229	14736.9688	13822.6553	20126.5117	14009.3467	14114.1748	13556.2881	17979.9414	15118.0293	13652.5723	20897.0859	15874.3115	16674.7012	15642.4512	15146.5684	17634.6445	12880.6143	17673.1191	14746.4707	12831.1016	15777.9717	15195.791	12464.0645	14061.9541	13296.3486	12438.9131	15313.2705	12370.6006	20224.1484	12493.2373	20464.2676	15428.4443	14609.7998	12900.3242	14282.5254	18329.9551	17059.1055	11787.3984	18620.4219	12346.8252	17387.6738
0.934	11017.4111	12883.7168	14669.8203	18603.2773	19339.4355	12220.5703	13635.5488	9569.9756	14703.4619	15796.8975	13823.6826	14808.7217	13829.5518	14985.4609	12847.8477	14846.0898	12771.5264	23633.957	15439.6445	13205.1064	11558.2939	15627.6709	11664.0303	17074.1738	13221.2764	17647.6797	14296.5869	13500.6406	12105.9189	13634.3828	13432.1475	15952.1582	19312.1797	15691.751	18076.291	11225.9658	16672.5645	14560.9287	13822.3818	12808.7549	16135.7236	12215.8359	19347.207	12005.8564	12235.4521	13196.5312	12183.3975	12744.1377	16235.4326	15224.4795	19965.334	12995.9658	15191.0664	12757.335	15746.3057	13886.1406	14995.0234	13931.9219	13721.0059	13875.0381	14226.1543	18897.4688	13045.3916	12788.5771	13441.2607	16293.5723	14798.9619	13512.749	21016.1094	14840.7021	13969.7217	15493.2881	14758.5254	16252.3477	13113.9795	16058.5107	13986.2393	12716.6377	15745.7725	14680.001	12894.6191	13839.7451	13025.7998	11821.6719	14589.8545	12093.0137	19433.2793	11312.4307	17830.502	14694.3135	13620.043	12894.1826	14557.1152	17552.4688	16465.0195	10940.7461	16702.9805	11565.9121	14565.9893
1.0674	10891.9717	12103.96	14363.165	18673.1738	17384.0098	11443.6055	12694.2568	10248.8486	12480.2783	14967.1543	13735.0176	14360.4033	14460.458	14670.5098	13098.7529	13143.9707	13057.4023	20671.9258	14471.7734	12745.9561	11601.3652	14380.5352	11589.8916	14185.3779	12149.6465	14468.7852	13267.2471	12486.5488	11417.9893	14111.6006	13448.6055	16180.4941	17677.2793	14845.4111	15985.7178	10837.1777	15843.9219	13732.9932	13686.6973	12913.8223	15261.3057	12036.9551	18582.4863	11398.7266	12068.3145	13087.0898	12273.8496	12653.9531	15426.3428	15543.4297	17739.668	12670.9072	13984.4697	12788.0068	15704.0771	14095.9385	14176.1992	14131.4141	12655.4541	13002.5176	13696.2246	17587.6973	12175.2217	12740.4434	12926.4219	15584.9951	15504.4746	14119.2471	19669.6191	14009.1924	14073.1943	16561.8242	13669.4951	15931.5068	12866.2871	15493.5332	14108.4004	13983.4297	15180.667	13197.9473	14034.7588	13319.1152	11773.5195	11605.6689	13577.7549	12638.6689	19429.8848	11537.457	15838.8398	14396.5352	12931.6758	13270.3477	14289.9238	16818.5898	16958.3203	10086.0303	15430.8906	12059.5039	12210.2383
1.2008	10787.5654	11799.3809	13577.2178	16884.1621	16499.457	11520.5195	12915.6494	11041.1465	11697.7178	14416.3242	12613.3193	14023.2979	14341.8105	13143.1777	14110.6836	12268.7041	12239.9619	17793.7812	12881.0518	13423.54	12067.833	13938.5518	11393.751	13039.1133	11752.9502	12606.9326	13118.5576	12138.5303	11688.9229	14280.502	13883.25	16473.1855	16304.4004	13963.752	14006.7471	10761.0527	16852.4648	13357.8506	13385.71	11867.4951	13952.3438	11949.1211	16612.9043	12054.8037	11976.6152	12971.7412	12349.8408	13007.8779	14586.7227	16333.7773	16848.7012	12945.3506	14348.5967	13278.0459	14702.9297	13435.8691	13289.082	12980.3066	12571.1338	13121.373	13648.9131	17826.0176	12155.2793	12823.3633	13034.4609	15162.4824	16383.4043	14865.7471	17958.4844	14746.1807	13576.3564	16198.4209	13146.7197	16271.8438	13288.0596	14557.4609	14518.1523	13554.459	15907.1016	12182.2607	13818.9824	13644.3311	11281.8633	11590.4688	13827.4287	12497.0986	16945.2461	12047.376	14393.916	15079.9004	12204.4531	13887.04	13755.0488	15236.5049	15744.2217	10385.1836	13727.4297	11593.2256	12165.2764
