x	Y_20180224_15102_10_4g	Y_20180224_15102_11_11g	Y_20180224_15102_11_6g	Y_20180224_15102_13_5g	Y_20180224_15102_14_1g	Y_20180224_15102_15_15g	Y_20180224_15102_15_2_S_g	Y_20180224_15102_15_6g	Y_20180224_15102_16_3g	Y_20180224_15102_17_6g	Y_20180224_15102_19_4g	Y_20180224_15102_22_5g	Y_20180224_15102_25_14g	Y_20180224_15102_27_10g	Y_20180224_15102_28_11_S_g	Y_20180224_15102_28_7g	Y_20180224_15102_2_6g	Y_20180224_15102_3_5g	Y_20180224_15102_4_5g	Y_20180224_15102_4_9_s_g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_6_1g	Y_20180224_15102_6_5g	Y_20180224_15102_6_7g	Y_20180224_15102_7_2g	Y_20180224_15102_8_5g	Y_20180224_15102_9_2g	Y_20180224_15102_9_3g
2.4016	15563.057	17981.426	23179.771	15187.715	15883.863	15161.936	17883.311	14748.875	18828.68	16194.96	15878.628	15253.877	17625.85	26156.086	22533.9	20956.137	16360.498	15310.11	15320.19	19771.982	14740.776	16772.197	17364.605	18234.338	18220.461	14836.434	20142.506	14637.759	17620.234
2.535	14382.432	17211.148	22918.023	14591.095	15126.87	14862.304	16659.625	15379.271	17518.277	17036.17	15012.62	14723.404	18150.221	26112.955	23764.91	18577.631	15950.381	14581.759	15993.342	18860.539	13973.936	16817.764	16600.195	18660.314	17521.031	14583.826	21056.781	14383.766	19682.094
2.6684	14019.134	15962.444	23716.639	14171.674	14611.401	14542.528	16205.131	15448.181	17027.598	16598.855	13733.007	15345.658	17286.438	20017.832	21644.146	17480.35	14564.34	14402.655	15889.065	17171.816	15212.574	16012.562	16104.624	18688.959	17847.701	14086.079	20888.303	15088.789	21826.297
2.8019	13074.708	15150.738	21326.439	14478.447	14176.792	14781.465	16342.967	15085.206	16152.048	15919.291	14160.765	15373.836	15311.742	17183.475	19595.281	16541.09	13636.466	14499.173	15826.756	16123.539	15761.048	14759.801	15805.665	18932.949	18483.082	14148.995	19176.912	15907.195	22299.033
2.9353	13765.778	15925.051	18461.703	13790.755	13303.971	14159.181	16043.34	15093.806	15046.961	15092.409	13276.983	14871.295	14948.754	15753.957	17861.447	15909.398	13430.847	14773.495	15830.065	14625.436	15274.201	14646.387	15699.99	18725.793	18354.391	14667.399	18038.662	16248.372	19676.951
3.0687	13223.188	15105.968	18343.969	NaN	12724.505	14439.199	15518.209	16978.855	13969.467	15792.692	13440.456	13258.756	14924.525	NaN	16631.283	NaN	13021.364	14175.242	15673.418	13367.715	15319.357	13727.276	15889.783	18058.043	NaN	14982.408	16733.025	NaN	18100.896
3.2021	NaN	14649.669	18910.018	NaN	12912.623	NaN	15377.987	18992.842	NaN	14986.343	NaN	13370.309	14438.166	NaN	NaN	NaN	NaN	13592.787	15166.085	NaN	15095.992	13940.748	NaN	16369.154	NaN	NaN	15926.721	NaN	NaN
3.3356	NaN	NaN	18932.893	NaN	NaN	NaN	16037.821	NaN	NaN	15870.98	NaN	12866.408	14423.154	NaN	NaN	NaN	NaN	13827.109	14665.804	NaN	14578.527	14110.152	NaN	14880.281	NaN	NaN	15277.922	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	16082.005	NaN	NaN	NaN	NaN	12952.19	13496.002	NaN	NaN	NaN	NaN	14190.188	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15022.286	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
