x	Y_20181208_15692_33_6g	Y_20181208_15692_36_6g	Y_20181208_15692_37_21g	Y_20181208_15692_39_6g	Y_20181208_15692_40_18g	Y_20181208_15692_41_12g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_7g	Y_20181208_15692_44_1g	Y_20181208_15692_44_5g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g
0	12383.1396	11885.6924	10109.8555	10534.3994	10493.3447	10820.7568	11106.7207	9631.8066	10733.0713	10409.3184	10141.7021	13085.4219	9676.7285
0.1334	12915.9316	13166.8496	10798.0215	12925.2441	11533.8408	10669.3096	12897.1338	10038.9111	11560.8135	11989.3213	10727.373	16696.5215	10309.1016
0.2668	15433.1777	16030.6963	11567.7666	17151.1367	12546.5557	10470.874	16552.8066	10374.8555	13299.1475	14518.0391	12431.2881	18445.3555	10798.9521
0.4003	17984.2793	18962.0996	12849.0312	19238.8887	14841.1641	10814.1016	18892.0078	10199.7383	15405.7236	15528.9512	14891.5498	16872.2734	11220.5059
0.5337	20073.3359	18716.5	15421.9473	17875.916	18344.7129	11020.9863	18891.8555	10427.292	19820.5371	14640.7432	17632.6484	14741.3945	10885.4521
0.6671	18026.541	16775.4492	19908.0254	15680.9648	19133.3457	12619.1055	16755.3945	11827.4062	21368.2168	12999.04	17111.8281	14038.2363	11891.4219
0.8005	17256.5039	15553.0693	22088.793	14500.5908	18820.9531	12773.2354	14880.499	14020.5859	18105.2793	12330.1338	14130.1621	14436.9854	12580.2197
0.934	16817.8848	14912.3721	22238.8242	13178.0518	16354.1846	12685.5459	14844.8789	16364.7314	14345.5752	12067.6211	12825.999	15721.9619	13910.043
1.0674	17007.168	14287.1123	20025.3066	12842.5068	17360.957	12286.4043	16341.0098	17808.0039	13835.9873	11569.9873	12795.6826	15136.4121	15093.6406
1.2008	16973.7188	13578.5186	16967.9297	13388.9014	16687.1367	11871.3701	16256.9307	15667.4775	12946.626	11552.7656	12697.0977	14351.5859	13777.4033
1.3342	15837.9326	14180.915	15091.7031	12730.5781	17122.8262	12104.1475	15003.2559	13088.2207	12508.0518	11707.4824	12132.0205	14295.8672	12999.7158
1.4676	16279.5156	14044.1875	15051.9121	13212.4717	15396.5732	12278.7266	14289.0537	12223.1377	13253.8682	12948.5068	12315.7451	14582.791	13201.2012
1.6011	16651.5723	13071.2041	14798.3984	14247.4053	15057.3047	12599.4707	14355.04	12863.4521	13883.6533	13566.3037	12593.5811	13665.9297	15958.4688
1.7345	15081.2705	12941.7422	14060.7607	13856.8154	14207.0957	12003.9072	14487.2393	12927.6152	12773.7061	13601.3457	12400.9531	14242.9092	14920.1875
1.8679	14910.2646	12327.1982	13578.8926	14448.8486	13282.8408	12100.8496	14271.1318	13553.7305	12223.6592	13991.5947	13406.9805	13824.374	15107.6494
2.0013	14926.8389	11595.1846	12809.416	13755.5225	12386.4727	12584.7598	13641.6016	14320.8281	12657.5254	13947.2852	13849.7285	14225.166	14771.752
2.1347	15593.2363	11543.5449	12615.1729	13095.9834	11595.2979	12281.1582	12846.2344	14905.6377	13155.6338	13404.8213	14574.8262	14669.752	13908.168
2.2682	15767.4727	11103.5674	12870.7471	12312.5596	11913.5566	12329.3066	12476.8818	13644.4395	13309.8965	12867.2441	13775.7275	14476.1934	13778.6807
2.4016	14923.8447	11192.1191	14575.1045	12153.332	11798.3691	11538.4902	11911.8936	13751.0879	14814.5635	12563.7295	13156.8027	13700.7676	12950.4287
2.535	14969.623	10988.8164	15848.6543	12236.4463	12825.5273	11333.3945	11741.6406	13058.7275	15843.1387	12069.6094	12518.8291	13045.2666	12397.5361
2.6684	14893.7432	11585.3203	16017.3359	11902.2734	13938.5684	10729.7354	11900.4316	14111.626	16048.9502	11802.8682	11830.5703	12725.1016	11978.2275
2.8019	15885.8252	11915.8994	14101.9482	11442.0039	13681.8359	10788.8809	12222.5303	14639.2939	15669.6826	11863.0186	12225.3203	12880.5332	11568.3379
2.9353	16851.9727	12733.373	13612.1582	11577.0889	14049.6309	10810.0605	11616.4531	13333.124	14794.5898	11490.1982	11982.7021	14720.4482	11508.3574
3.0687	16069.751	13034.1279	13948.5439	11697.0449	12738.0361	10898.9023	11054.5547	13080.4258	16366.1572	11787.2803	11487.2051	14278.6816	11610.3086
3.2021	15909.7949	13661.6895	13819.8057	12416.7617	12719.6006	11994.2266	11060.8691	12346.9102	14537.0918	11571.6104	10923.0234	12377.5234	11259.7412
3.3355	15843.918	13467.4541	14365.4785	13165.5352	11998.8682	12199.1592	11130.748	11865.9971	13256.4727	12165.6523	11118.5898	12651.8506	10685.3447
3.469	14248.7891	13852.9189	14737.9189	12950.0654	11863.9912	11781.126	11818.2178	10965.999	12836.7422	11516.4766	11540.7627	NaN	12082.1475
3.6024	14052.2871	13631.125	14079.9658	14570.5361	11534.8984	11868.0596	11448.3184	11142.1182	11795.2227	11739.3213	11569.1963	NaN	11454.4932
3.7358	13653.0029	13082.3662	14640.7803	14652.4131	11592.1943	12076.3682	11342.5469	11164.4551	12204.3018	11277.8408	11427.8359	NaN	11027.332
3.8692	13180.5664	NaN	14265.4492	NaN	11948.4746	12139.9092	NaN	10923.9531	12247.0947	11718.001	11051.9844	NaN	11615.0303
4.0027	12613.5361	NaN	14491.1875	NaN	11020.2754	11577.7891	NaN	10367.4189	11814.9824	11604.627	NaN	NaN	11521.4248
4.1361	NaN	NaN	13896.1953	NaN	10904.2344	11981.5996	NaN	10701.8145	NaN	11544.6699	NaN	NaN	NaN
4.2695	NaN	NaN	14280.5635	NaN	12187.7803	NaN	NaN	11152.1445	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	14725.4922	NaN	12281.1953	NaN	NaN	11321.2979	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
