x	Y_20181208_15794_1_4g	Y_20181208_15794_10_11g	Y_20181208_15794_11_5g	Y_20181208_15794_12_14g	Y_20181208_15794_26_15g	Y_20181208_15794_27_6g	Y_20181208_15794_28_9g	Y_20181208_15794_29_8g	Y_20181208_15794_29_9g	Y_20181208_15794_30_8g	Y_20181208_15794_5_6g	Y_20181208_15794_7_14g
0	28959.0723	31073.8164	28869.8105	30710.5625	29565.832	29258.9902	31214.2695	30136.3281	29668.2285	27519.459	29071.6055	29028.6211
0.1334	28837.8477	30538.0801	28312.0859	32001.0176	31354.002	29422.3555	30001.1934	29067.7129	31476.3262	27638.3477	30837.9102	29008.3418
0.2668	28567.4688	30531.209	29169.8477	30754.7734	31855.9629	30751.4434	29779.9922	29071.0859	31011.5273	26072.4707	30094.4941	29370.7227
0.4003	27882.752	30423.5801	29735.8809	30786.6504	32507.8691	30389.6914	30184.6348	28783.5	31127.6973	27755.3809	29878.1934	29171.3145
0.5337	28651.5801	28745.4609	30485.7383	29314.3496	32787.207	30685.3867	30891.0898	28954.6699	32022.4863	28321.0996	29752.7305	27964.4863
0.6671	26689.9102	29229.2754	30063.6895	29820.7578	31880.7012	30705.6426	30547.8535	29568.9258	31295.7988	27578.666	32227.6602	29021.6094
0.8005	25262.3027	29741.5957	30538.3086	30230.3262	31759.9961	29573.0859	31859.207	29192.2559	30515.6895	25745.2637	31460.6465	29293.1191
0.934	28330.082	30311.7949	29613.0098	30433.7109	30480.6094	29873.7578	30041.9316	31091.1836	29713.5684	27211.9609	30051.4141	28165.6172
1.0674	27325.1289	30871.8379	30478.5996	30662.582	31114.4062	30408.1543	29406.4688	29996.0488	27749.2441	27175.9434	29332.2246	28229.6602
1.2008	28089.4121	31005.0781	30752.1074	29669.9902	32440.5195	30737.4238	29521.5664	30017.043	28537.7734	25925.1074	29863.9629	29109.6406
1.3342	28236.748	32733.5352	30644.7031	28888.1934	31521.1719	29932.666	30049.8301	29654.5605	29529.2461	27784.4297	28385.291	29177.8125
1.4676	29152.4863	31774.4277	29380.1934	29892.5781	31450.1504	30024.3164	32192.3828	29287.2441	28480.6016	26911.3047	28896.6582	28949.3105
1.6011	29655.4082	31463.8223	29104.7363	29359.8066	31842.7461	30212.918	30319.2852	29135.1777	28327.1016	27104.6641	28745.1191	29134.1855
1.7345	30022.2148	30350.6191	30444.9023	31085.3242	33325.7148	29875.8262	30385.0391	29056.3965	27835.2695	27214.6504	30094.2266	29654.6328
1.8679	29740.0586	30996.2344	30195.3535	30192.6465	32758.498	30107.0332	30969.6797	27745.0977	29238.0078	25807.6816	29427.9316	28808.0781
2.0013	30480.4004	31704.3906	30530.0098	30372.6992	32770.4648	29091.4062	32201.1094	28671.291	29952.416	26979.5684	28578.4551	30180.7773
2.1347	30485.123	33293.0234	30501.1543	31817.6094	31716.4961	29798.9883	31819.6035	30113.9082	31266.8223	28193.7402	29552.4102	28772.1387
2.2682	34802.9102	36271.3906	30746.6055	33386.1133	32377.3066	29017.1133	32396.6035	31090.7383	35870.5859	28358.5273	29154.8984	28462.3457
2.4016	42371.7539	44660.8672	32771.7383	38607.4531	33289.5469	29229.3477	33813.125	30265.4766	47790.625	30937.2832	28556.9004	30397.7832
2.535	59585.4023	60919.4648	37743.7539	54669.6484	34991.7734	30063.7246	35622.4297	32187.5332	67786.2578	37914.1055	30078.9277	31974.627
2.6684	71565.6953	96012.9219	47919.418	81095.0234	43926.4375	31569.9316	39463.957	37875.0508	86151.3516	53628.3008	30351.6699	37906.4766
2.8019	59434.625	116768.2188	69922.7578	91043.8281	61217.3984	33681.9453	48924.6133	44622.0703	79156.1484	66030.2969	34048.1367	47666.3594
