x	Y_20181208_15692_30_10g	Y_20181208_15692_30_13g	Y_20181208_15692_30_15g	Y_20181208_15692_30_3g	Y_20181208_15692_30_5g	Y_20181208_15692_31_10g	Y_20181208_15692_31_15g	Y_20181208_15692_31_16g	Y_20181208_15692_31_4g	Y_20181208_15692_32_10g	Y_20181208_15692_32_12g	Y_20181208_15692_32_1g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_2g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_36_12g	Y_20181208_15692_36_2g	Y_20181208_15692_36_8g	Y_20181208_15692_37_10g	Y_20181208_15692_37_13g	Y_20181208_15692_37_18g	Y_20181208_15692_37_19g	Y_20181208_15692_37_1g	Y_20181208_15692_37_9g	Y_20181208_15692_38_18g	Y_20181208_15692_38_1g	Y_20181208_15692_38_5g	Y_20181208_15692_39_12g	Y_20181208_15692_39_8g	Y_20181208_15692_40_10g	Y_20181208_15692_40_11g	Y_20181208_15692_40_16g	Y_20181208_15692_40_1g	Y_20181208_15692_40_6g	Y_20181208_15692_41_15g	Y_20181208_15692_41_2g	Y_20181208_15692_42_12g	Y_20181208_15692_42_13g	Y_20181208_15692_42_16g	Y_20181208_15692_42_18g	Y_20181208_15692_42_2g	Y_20181208_15692_42_8g	Y_20181208_15692_43_15g	Y_20181208_15692_43_16g	Y_20181208_15692_43_9g	Y_20181208_15692_45_11g	Y_20181208_15692_45_12g	Y_20181208_15692_45_20g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_1g	Y_20181208_15692_46_20g	Y_20181208_15692_46_4g	Y_20181208_15692_47_14g	Y_20181208_15692_47_1g	Y_20181208_15692_47_3g	Y_20181208_15692_47_7g	Y_20181208_15692_47_9g	Y_20181208_15692_6_13g	Y_20181208_15692_6_7g	Y_20181208_15692_6_8g	Y_20181208_15692_6_9g	Y_20181208_15692_7_3g	Y_20181208_15692_7_4g	Y_20181208_15692_7_5g	Y_20181208_15692_8_1g	Y_20181208_15692_8_5g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_8g	Y_20181208_15692b_12_6g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	12976.6729	11192.8535	11592.5439	12035.5996	12955.3682	11253.707	13545.6221	11602.4121	13708.9824	11768.6514	12137.0078	12063.0176	9635.3594	12219.8857	11709.9326	13515.8115	12845.3789	11645.1562	13054.0908	13234.5527	11784.7227	12473.8809	13516.9287	12065.8486	11088.6777	11444.1338	12729.8936	10935.4951	12719.1074	10220.7754	12781.4492	11745.4893	12374.5908	12066.625	11451.999	11371.2422	11524.1162	11374.7061	11784.0488	11301.5332	12697.0771	12062.8994	11565.4521	12628.4834	12725.6895	11241.9355	13521.04	11450.2578	11571.167	11463.085	12923.6143	11380.7471	12254.749	11616.2344	11206.5234	11959.7979	12207.5732	12311.4883	10596.3887	11094.2236	12366.71	15089.5322	13397.2812	13915.6328	11809.2949	10183.6436	11810.3496	9850.7568	10623.7451	12843.3936	13343.5068	12386.9668	11821.4355	12878.4492	12674.457	12498.6855	12497.2197	12778.4824	11497.582	13756.7148	10673.6758	11046.0381	12201.2314	13860.7959	12041.2373	13727.4873	12572.1416	12378.4658	11203.2646	11340.5479	11830.5498
0.1334	14550.543	12164.7383	11762.3945	11455.458	12867.3418	12043.0254	13918.3105	13136.7295	14158.8018	12385.5615	13120.6289	12547.2822	10695.0205	13496.6436	11840.7744	13616.0352	14522.5635	11251.5596	13284.9326	14214.9805	12621.0459	12915.5205	15152.0254	12301.5645	11479.2109	11498.2734	14384.626	10803.834	12761.4346	10663.8926	13300.1318	12303.7578	14579.4668	12691.3398	11578.2334	13514.4951	11876.4287	13093.998	12271.2236	11401.9395	13097.5957	11982.2695	12497.4521	12716.1875	12154.2432	11796.1045	13841.4648	12187.4258	13377.1719	11660.0781	12940.9268	12944.7432	13591.9688	12589.0889	11464.7461	12017.0996	12751.373	13408.126	9963.1904	10798.8164	12471.3457	16783.3086	12800.4971	16318.9893	12105.1865	11605.1279	12191.2539	10121.4238	11592.2891	12730.9395	13634.9131	12081.5195	13049.6406	15201.1025	12752.3174	13987.7832	11466.1387	12881.8105	11356.7461	15206.1338	11323.042	12022.6152	12735.0537	13793.793	11930.0908	15465.7568	11777.6289	11950.9619	11604.9971	11993.2607	13445.5781
0.2668	16921.8203	13708.6084	13175.2637	12579.8643	14569.6572	13525.5215	13264.7871	15858.4961	16135.3467	14814.4004	13229.6602	15630.1328	11927.4219	14462.6094	12962.793	13454.5381	16181.7607	12200.2559	15907.4541	14655.4141	13955.9971	15659.7012	18265.4902	13558.0566	12890.1553	12639.9336	16986.3027	12592.7988	12849.6885	12403.502	14040.874	14544.4697	17987.3066	14056.4258	12024.3623	14131.0566	12726.5684	13309.1582	13119.2881	12872.9365	14875.4297	12595.1182	12931.5674	12947.7246	11784.6133	13462.6172	13325.957	13256.7432	15660.876	11798.2373	13818.5088	14583.4854	15471.3213	15058.1914	11675.0039	12580.0986	15239.4658	13697.667	10251.9404	11161.874	13168.6133	20861.418	13094.4229	19903.0547	12335.2783	14047.165	13095.5215	11626.8125	13016.2305	14636.9678	13705.9551	12150.666	13975.5068	18220.3379	13435.8711	16186.3633	12176.9326	14898.6221	11525.8379	17784.9297	12584.4512	14293.8779	15346.5215	14621.374	11808.2852	16274.7881	12022.1006	12492.5273	12276.5234	13159.374	14387.3428
0.4003	17730.9609	15189.7568	15762.8623	13311.1719	15813.1621	15607.7197	14392.5332	16448.0254	16487.0898	17866.2832	13863.0322	16295.958	15036.6758	14873.8174	14578.4805	13376.3516	15832.4512	13913.5059	17464.207	16531.5352	16710.4531	15601.3428	19118.8672	15598.8467	14687.46	13627.4609	18986.3047	13935.3701	13508.7764	13456.4404	15557.1289	16289.2266	18992.1133	17785.0801	13874.873	14562.252	14184.5859	15658.8877	14605.5488	16027.4805	17625.5742	14501.6055	14994.7402	15028.9111	12813.9355	15098.2754	14191.5488	15365.499	20925.207	12895.375	15514.9668	16669.9863	18204.6895	18082.0059	12619.4199	12925.9707	18754.1445	16836.3223	10858.8486	11124.0293	14690.874	21395.8945	15018.3525	19195.9609	14030.0859	15839.1104	14659.7441	13849.0449	14609.8877	16535.6289	15507.4717	13436.1055	14692.2305	16662.9512	13263.3369	18658.2773	12870.5918	17301.6348	11749.5938	20066.8906	15019.6426	17042.4746	15831.1318	16190.0117	12801.6475	14878.9707	13492.1025	14295.8936	14751.293	15643.4834	16456.0781
0.5337	16257.3438	15647.6025	15958.04	15191.5723	16095.1016	16762.8066	16665.2148	15379.9717	16187.8135	17073.6133	16356.3867	14563.2148	18360.2402	15823.6621	14625.8047	13815.582	14673.3125	14678.3174	19189.4531	20127.6641	18092.6914	14004.1621	16565.0078	17629.5527	14992.7754	13309.2568	19159.0938	15736.707	13111.5303	13969.2119	19105.8164	18171.7266	17198.5742	21264.3555	14262.1709	14606.4209	14076.6914	16777.5703	16923.7969	15292.9756	17347.4258	17016.6895	16884.1523	16431.7422	14788.9385	13815.8594	15140.543	19492.0762	24753.8008	13840.5811	16976.6504	15340.3096	22977.1152	20011.0957	14165.4697	15420.6094	18568.8184	20783.6133	12348.8076	11588.8281	16506.7559	19301.5098	17781.2129	16133.3086	16904.3281	16789.623	16332.6211	15471.6846	16413.9277	19483.8281	18231.4668	14894.5713	17986.0566	13465.2783	14801.624	17169.0156	12256.1963	18565.7891	13749.7529	19204.1875	16382.1904	16636.2441	14978.5557	21339.002	13988.1211	13599.2363	14300.3271	16059.0801	16924.2168	17151.0605	17492.8594
0.6671	14222.7559	15497.748	14832.0059	20537.1797	14524.3613	15441.1416	19140.3516	13327.6396	14166.5742	15253.5293	19003.7012	12675.7734	17481.2578	16144.9883	14125.835	15366.1611	13722.5674	14401.3828	18165.6973	19438.0527	15891.1201	13586.6953	14660.9443	17484.0449	13800.1709	12088.3496	17238.0547	15093.0762	12794.1846	13518.3232	22363.0039	18371.0527	15199.2148	17506.4727	13476.8145	14196.1992	12531.4424	16297.9561	18993.2949	15251.6465	16327.4785	21333.3574	17429.9453	15363.6074	18361.5059	13206.5293	16123.7129	18978.2871	24586.1543	16724.1074	14745.0322	14424.2979	22242.6016	18339.7422	15244.6504	19116.9844	17662.5879	21878.4297	14146.9824	12854.0146	16792.5391	17770.2148	22113.6094	13913.9326	17087.7305	15902.6084	16608.7227	13985.7441	15514.2158	17302.918	21610.9453	16002.9277	17393.6797	12047.0254	15814.7109	15371.0039	12807.5283	17403.6875	15875.2744	15452.2363	15344.4912	15708.8682	13455.2197	21744.2441	13937.7168	12322.3984	16651.5371	17626.9473	17883.959	17709.8652	15604.918
0.8005	13717.0996	13478.6514	13340.999	19924.4609	13871.4121	15241.5078	18043.332	12191.6523	13237.0166	13842.2305	18246.2207	11617.9219	16374.3682	15461.043	13686.918	18792.3066	13592.5723	13550.6387	17341.7754	17142.4629	14507.8154	12988.3721	14650.9033	16708.998	12197.7842	11960.2842	14874.9863	14633.5576	13004.0176	13359.5654	20033.2363	15440.0303	13981.5684	14630.3525	13258.0645	14529.2422	11873.6699	15205.1289	17853.3105	16047.3779	15654.6104	21475	17612.9082	14443.416	21160.4277	12647.7334	15649.9941	15268.5576	19829.5684	18018.1152	13962.9033	15233.4277	18436.1992	14881.3916	16075.1621	18387.4766	16885.4492	22127.4941	14653.4609	15366.665	14841.1631	15284.3369	22428.9512	13985.3926	14818.3916	15174.6279	15909.9668	12062.6455	15094.6465	15173.2344	20998.6914	16228.2861	14863.4824	12485.2715	15711.9814	14784.5762	13907.4238	15953.2041	16712.8105	13608.8818	14514.458	14499.0264	12751.3467	21041.793	13160.0332	12231.1084	17524.0215	18338.7207	15409.2539	15502.9131	13550.6094
0.934	13095.1211	13668.2197	13092.9824	18685.7676	14489.9189	14720.7139	16236.4023	11857.4229	13130.3828	13880.9365	14894.2656	11769.2432	15417.1162	14281.9668	13318.2393	21264.0527	14064.3428	12904.958	15700.5391	15360.0273	13205.1465	12816.1816	13643.2959	15390.4258	11800.2373	12240.7637	13726.7012	14938.8691	14286.1318	13074.9941	15885.6689	15510.6709	13671.7754	13853.9141	12970.9287	14371.6387	11693.3105	13635.3096	15148.2275	14926.6699	16223.2178	19845.3438	16765.6875	13692.4248	21421.6602	12120.6572	13415.2686	12926.9346	17408.1113	15413.8555	13054.7344	16968.0488	15056.7822	12696.5273	13870.7168	16479.957	16954.209	19877.0898	13406.6914	15290.8271	13043.5273	15288.915	19762.0781	13658.2891	12994.54	15709.5254	15622.3789	11602.1934	15007.3887	14442.5391	19085.043	15653.6875	13782.2158	12281.5674	13849.8643	15645.167	14813.6426	14173.5195	15160.4209	13504.8506	13704.7461	13856.8877	13586.5293	18830.6523	13324.5498	12263.4834	15846.7764	17110.2266	14342.2715	14656.749	12442.0088
1.0674	13773.8105	14249.3086	13324.7764	16453.252	14496.2344	14469.3418	14315.1514	11279.3438	12956.3662	13902.9775	12995.2236	12240.0488	14369.7979	13492.9277	13571.0674	20980.416	14593.5098	12514.9805	13265.4688	15177.8828	14638.6387	13063.543	13400.0303	13631.6758	11977.6396	13392.1416	13732.9209	14347.4277	15555.833	13160.4219	14170.2764	15173.8838	12998.1953	13181.4912	12782.7373	13943.7852	11418.4053	12914.2002	14956.7148	14501.9463	15846.8789	20577.3125	15436.792	13596.7256	18249.5703	12607.7549	12632.8418	11780.9893	15992.2949	14382.3135	12942.8223	17172.2012	14552.8408	14000.6865	12640.2598	16494.5996	15886.0732	18764.0195	13165.0586	12983.9238	12502.3262	15873.9521	16432.6172	15000.623	12753.3418	15622.5527	15348.6602	11828.2754	14721.4492	14209.4775	17552.2754	14427.8262	13106.1641	11720.7227	13414.8789	15750.3486	17136.0742	13992.8604	13441.3262	12931.4697	13452.3779	14147.4521	13670.0518	17655.4062	14057.7842	11507.5244	14510.9922	16224.7002	13525.8242	13486.9219	11706.9541
1.2008	14552.084	13297.0928	13476.46	16100.8779	13396.8848	14286.1035	14206.4072	10414.4209	12961.0654	13688.7334	12434.75	11628.0039	14861.4639	13274.8799	12968.6279	18782.0547	14001.4844	13497.2373	12792.5957	16276.5801	14897.6533	14469.1465	13212.3838	13889.4297	12649.0537	13621.4795	14611.917	14131.9062	15736.958	12890.8311	12930.5791	14882.6836	13582.6797	12687.6641	12862.5029	14157.8555	11485.4004	12287.165	16083.4258	14254.0918	14263.9512	18323.1523	15049.0889	13770.3936	17331.9863	12696.9971	12351.4512	11585.9219	14955.7207	13917.6982	13096.7939	17053.207	14873.9365	16655.6289	12228.1172	15475.1562	15327.3154	16291.8096	12619.8193	12672.3389	12479.0537	15467.8848	15056.0996	14457.0615	12423.542	16439.3965	15668.5781	12319.958	14464.4033	14438.5088	16767.8711	14326.0605	12575.4141	11463.6914	14173.2598	15767.1875	16720.0469	13693.2393	13139.0518	12336.4951	12876.8018	13847.6152	13590.2188	16812.1113	14773.4658	11635.791	12756.0195	16458.373	14462.7715	13598.0264	11429.709
