x	Y_20181208_15692b_10_3g	Y_20181208_15692b_3_4g
0	11548.8291	13413.0918
0.1334	12841.0439	16880.8438
0.2668	14718.6992	18410.2051
0.4003	16550.0801	16706.1641
0.5337	18538.5215	15506.7441
0.6671	19918.1152	14373.3008
0.8005	20931.3965	12964.8877
0.934	19463.0742	11626.707
1.0674	17437.2051	11462.2539
1.2008	16008.0596	11855.335
1.3342	14740.5547	12407.7852
1.4676	14710.3281	12960.3926
1.6011	15175.332	14832.6084
1.7345	15827.7627	14531.5225
1.8679	15412.3955	13543.9482
2.0013	16246.1416	12981.6904
2.1347	15669.1641	12977.6689
2.2682	15180.2549	12453.2217
2.4016	15810.1152	13494.4043
2.535	14862.3975	14547.2969
2.6684	14124.4189	14264.4863
2.8019	12746.4277	13653.0117
2.9353	12485.9521	12980.5869
3.0687	11804.3457	12470.127
3.2021	11790.375	12041.8545
3.3355	11614.8496	11709.9512
3.469	11979.1592	11897.0107
3.6024	13125.5527	11774.2412
3.7358	13643.8789	11926.9082
3.8692	12228.6807	12028.8115
4.0027	11706.7119	12541.6543
4.1361	11787.4932	12189.1943
4.2695	11260.502	NaN
