x	Y_20181208_15692b_12_16g	Y_20181208_15692b_8_7g
0	28813.6465	26314.6309
0.1334	28935.6914	24561.2188
0.2668	29855.4316	25266.5371
0.4003	28488.793	23991.9766
0.5337	30036.3789	24981.0039
0.6671	29905.3066	24723.8047
0.8005	29226.5918	25970.5566
0.934	29504.7305	27344.7246
1.0674	30201.8184	25368.6348
1.2008	30553.4512	26272.0195
1.3342	29748.832	27028.5742
1.4676	31287.9551	28076.4316
1.6011	31122.8047	27468.1504
1.7345	31802.6953	27389.7969
1.8679	31641.0898	29062.3398
2.0013	33097.75	28514.6055
2.1347	35715.7969	29692.0312
2.2682	39414.625	36187.9844
2.4016	36394.0625	44681.7812
2.535	34053.4375	58139.875
2.6684	30394.998	56559.6914
2.8019	29351.9102	43487.5664
2.9353	29607.0195	32253.5664
3.0687	29456.7988	31019.0254
3.2021	NaN	NaN
3.3355	NaN	NaN
3.469	NaN	NaN
3.6024	NaN	NaN
3.7358	NaN	NaN
3.8692	NaN	NaN
4.0027	NaN	NaN
4.1361	NaN	NaN
4.2695	NaN	NaN
4.4029	NaN	NaN
4.5363	NaN	NaN
