x	Y_20181208_15693_1_6g	Y_20181208_15693_12_6g	Y_20181208_15693_3_9g	Y_20181208_15693_7_2g	Y_20181208_15693_9_11g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	29334.7812	27977.3418	29421.4961	28053.7168	30318.9531	25799.4805	28143.9473	27668.8477	27760.5684	26078.8047	26602.916	27684.1953	28107.2598
0.1334	28735.3125	27494.1582	29268.3223	27489.1211	32186.5234	26756.7871	28512.3398	26669.5	27570.0859	27598.7891	29506.4863	28693.1875	27086.8906
0.2668	28615.0371	28169.5391	29788.6836	28408.5215	31494.9512	26729.8242	28798.6543	27792.8223	28037.7461	26597.7305	29330.6816	28180.1289	27485.1719
0.4003	29141.9043	28802.1816	30158.9785	28637.4746	30544.8184	27521.1934	29369.5625	28872.0215	27144.7207	27115.2441	28515.418	29864.1055	27408.3848
0.5337	29593.9922	27725.8379	29395.5879	29595.3203	32121.3867	28713.207	29429.0703	29581.9727	28941.0801	27299.1758	29168.9199	30474.293	27909.8105
0.6671	28547.4258	28640.6055	29881.1172	29008.3457	31957.7656	28901.002	26922.6953	29287.1934	28617.0762	25585.3672	27580.1973	29917.9102	27323.7715
0.8005	28972.8711	28654.3535	29015.6348	29739.5566	30728.498	28121.793	28650.2676	29059.3906	28398.7793	26096.2578	28779.3223	29129.0215	27267.707
0.934	29569.8008	30044.1836	28532.0879	29109.1562	29810.916	28712.8867	28394.7324	27410.1699	27753.502	26285.4492	29855.8223	29090.5801	29002.9609
1.0674	29613.3613	28868.3027	29073.3398	29333.9707	30732.9434	27331.2715	26695.166	27899.8652	27680.1641	27332.9609	28429.8906	28824.3477	28120.4062
1.2008	26807.1016	28371.9863	29699.2773	28235.7832	30451.1172	27667.998	27669.1445	26836.4395	27643.1152	27017.6875	28412.6309	27955.457	27139.2461
1.3342	27987.084	29368.5488	28830.0254	29626.9648	30151.9863	28063.9199	27933.0566	27666.8652	28484.5645	25759.1875	27553.9863	27542.0156	27911.0527
1.4676	28589.7871	28845.373	28924.209	28586.6367	29805.7949	28309.7715	28254.9473	28179.7793	28300.6152	26302.3301	25943.8711	27755.1484	27242.2285
1.6011	29019.6875	29432.7539	29641.582	29732.9492	29720.957	27622.4453	28012.1543	26492.8008	28860.7832	28040.4414	26808.7793	28588.8105	27142.9492
1.7345	27767.4824	30920.0449	30450.7832	30680.7168	30814.8008	28390.3672	27691.4414	26613.3398	29132.2559	28277.4785	26870.0801	28508.2383	28306.5762
