x	Y_20180130_15100b_13_15g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_1g	Y_20180130_15100b_18_20g	Y_20180130_15100b_3_2g	Y_20180130_15100b_5_14g	Y_20180130_15100_4_15g
0	13149.126	11481.457	11600.773	12048.433	13987.132	10750.069	11324.677
0.1334	13201.574	11360.053	12056.621	12368.051	15800.921	11228.801	12146.19
0.2668	14184.671	13123.417	13379.9	13646.286	19808.379	12401.387	15602.647
0.4003	17069.072	15153.014	15982.06	15713.221	20282.977	15806.823	16584.77
0.5337	19998.02	14282.62	17520.67	19890.145	19859.143	18801.08	14865.056
0.6671	19578.973	14357.545	16547	23695.043	18757.674	18797.346	13740.023
0.8005	17713.857	12739.467	16442.605	23144.107	19001.381	17235.924	13600.765
0.934	15781.18	12978.746	15210.154	17852.008	19161.635	15611.418	13188.334
1.0674	15335.924	13747.688	14532.901	15861.22	18272.312	15211.264	12703.85
1.2008	14928.828	12994.529	14453.199	14509.548	18589.381	14958.738	12737.605
1.3342	14312.533	13115.758	13330.558	13616.239	20299.953	14444.887	12731.571
1.4676	13080.227	13121.99	13137.341	14076.316	19738.982	14295.37	13572.683
1.6011	13541.702	13051.485	13119.891	14595.769	18698.553	14107.514	14403.413
1.7345	13671.789	12612.267	12573.251	14593.956	19497.799	14011.923	14509.856
1.8679	13130.64	12579.054	12226.56	15272.471	20551.182	13426.792	15255.014
2.0013	13433.724	11723.161	12682.962	15015.775	19458.895	13453.748	15190.688
2.1348	12323.881	12677.451	13101.358	14917.19	18952.646	13912.586	15235.763
2.2682	11628.426	13153.815	13288.984	14604.362	17780.848	13059.596	14766.825
2.4016	11964.812	13470.06	11998.688	14089.569	16333.941	12753.304	14962.246
2.535	12834.921	15890.066	12755.029	13531.083	16276.369	12674.282	15179.032
2.6684	13894.877	16687	13334.181	13158.487	17157.924	11976.984	14766.331
2.8019	14652.906	19176.691	13935.833	13668.231	16741.879	12107.447	14116.719
2.9353	13770.934	17212.498	14282.52	13049.917	16780.4	12675.126	13123.068
3.0687	13152.6	15170.21	14316.707	12641.855	16419.832	12486.146	12173.266
3.2021	12375.826	14124.226	13112.263	13554.062	15608.303	12815.585	12713.579
3.3356	11295.036	13598.896	12466.587	14737.557	15445.818	12484.342	13016.63
3.469	11147.929	12522.03	11991.693	14679.564	14331.145	12563.334	12870.218
3.6024	NaN	13074.85	11382.295	13096.438	14501.39	12548.47	12398.398
3.7358	NaN	NaN	11699.524	12846.015	NaN	NaN	13424.186
3.8692	NaN	NaN	NaN	12885.561	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN
