x	Y_20181208_15694_1_13g	Y_20181208_15694_1_17g	Y_20181208_15694_1_19g	Y_20181208_15694_10_14g	Y_20181208_15694_10_2g	Y_20181208_15694_10_4g	Y_20181208_15694_10_7g	Y_20181208_15694_11_10g	Y_20181208_15694_11_11g	Y_20181208_15694_11_7g	Y_20181208_15694_11_8g	Y_20181208_15694_11_9g	Y_20181208_15694_12_12g	Y_20181208_15694_13_10g	Y_20181208_15694_13_11g	Y_20181208_15694_13_12g	Y_20181208_15694_13_15g	Y_20181208_15694_13_2g	Y_20181208_15694_13_7g	Y_20181208_15694_14_1g	Y_20181208_15694_15_4g	Y_20181208_15694_15_7g	Y_20181208_15694_15_9g	Y_20181208_15694_16_12g	Y_20181208_15694_16_15g	Y_20181208_15694_18_5g	Y_20181208_15694_19_11g	Y_20181208_15694_19_20g	Y_20181208_15694_2_1g	Y_20181208_15694_2_3g	Y_20181208_15694_20_11g	Y_20181208_15694_20_2g	Y_20181208_15694_20_6g	Y_20181208_15694_21_4g	Y_20181208_15694_22_13g	Y_20181208_15694_22_1g	Y_20181208_15694_22_7g	Y_20181208_15694_22_8g	Y_20181208_15694_23_11g	Y_20181208_15694_23_15g	Y_20181208_15694_23_18g	Y_20181208_15694_24_11g	Y_20181208_15694_24_12g	Y_20181208_15694_24_3g	Y_20181208_15694_24_4g	Y_20181208_15694_26_10g	Y_20181208_15694_26_17g	Y_20181208_15694_26_5g	Y_20181208_15694_26_8g	Y_20181208_15694_27_14g	Y_20181208_15694_27_1g	Y_20181208_15694_29_4g	Y_20181208_15694_29_7g	Y_20181208_15694_3_10g	Y_20181208_15694_3_16g	Y_20181208_15694_3_17g	Y_20181208_15694_3_4g	Y_20181208_15694_3_6g	Y_20181208_15694_3_9g	Y_20181208_15694_30_5g	Y_20181208_15694_30_6g	Y_20181208_15694_30_7g	Y_20181208_15694_30_9g	Y_20181208_15694_4_1g	Y_20181208_15694_5_10g	Y_20181208_15694_5_16g	Y_20181208_15694_5_9g	Y_20181208_15694_6_14g	Y_20181208_15694_6_1g	Y_20181208_15694_7_15g	Y_20181208_15694_7_16g	Y_20181208_15694_7_2g	Y_20181208_15694_7_6g	Y_20181208_15694_7_9g	Y_20181208_15694_8_15g	Y_20181208_15694_8_7g	Y_20181208_15694_9_4g	Y_20181208_15694_9_6g	Y_20181208_15694b_1_4g	Y_20181208_15694b_10_3g	Y_20181208_15694b_2_7g	Y_20181208_15694b_2_8g	Y_20181208_15694b_3_4g	Y_20181208_15694b_3_6g	Y_20181208_15694b_6_10g	Y_20181208_15694b_6_12g	Y_20181208_15694b_6_5g
0	28977.5469	28991.8066	30569.5273	31714.7227	22573.3906	31258.1992	30085.3145	30705.1484	27800.7012	29660.7461	31572.2578	29229.5566	29310.2559	31156.4004	32271.0742	30466.2969	28832.6973	31039.9824	32326.5273	25768.541	30471.1055	28508.8555	23543.8691	27007.8594	30270.2129	31071.3184	25860.3633	26010.0098	25427.5234	31028.9062	29827.1895	26725.9707	27527.541	31937.9863	28871.4941	24447.3887	29683.9648	30623.791	25085.7832	27463.0117	28074.0312	30612.0508	27421.416	27572.3516	26259.043	28709.8164	28308.2305	30557.002	30166.5352	33410.9844	27271.8008	32078	30035.1113	33385.4844	31206.2852	30446.4707	30641.5918	28980.9727	30386.707	30590.0762	29570.9297	29955.8965	30554.9883	26484.4043	30400.2754	27274.3594	30378.3516	32385.6445	26482.625	29745.2383	27532.7676	29066.4727	28873.457	31164.791	30447.6758	29425.4004	29814.7305	26514.0195	30080.6191	33052.4805	29604.7695	31627.4668	32155.3789	28420.9473	25938.5742	28855.125	30947.2891
0.1334	30067.3965	30006.1855	31116.6152	31101.9727	23550.4902	31389.5391	29899.3008	31542.6035	28752.4434	30283.2832	30462.459	27301.9902	29118.1934	31178.877	32068.1133	30309.6777	28505.2422	30587.8945	31597.3965	26021.2578	30628.3613	28002.7285	24757.041	28072.4004	29714.7324	30888.4375	25934.2344	27966.0332	25178.6094	30882.7949	30023.4238	24969.916	27383.1113	32295.6504	27623.8613	24663.9434	31013.3438	29644.0469	25339.2734	26819.1621	27124.6855	31033.5723	27565.0391	27063.4043	26142.5918	28249.459	27758.6562	31445.8672	29898.7441	34346.8164	28951.168	34644.1562	30740.834	33968.4141	29133.1895	31689.8594	30602.748	28766.7793	31157.2441	29626.6309	27995.6934	29416.3516	29360.5273	25951.5312	30064.8535	27710.2871	31541.3477	31210.7969	26397.752	27749.4219	27710.2734	28755.8809	30444.4473	31468.1367	29245.3691	28886.2598	29888.9824	29014.3398	31557.3281	33686.3047	30786.2539	31126.4141	33004.8438	27323.125	24964.3398	28101.5469	29506.959
0.2668	29096.3984	29341.1875	31865.0098	29772.3633	24032.3242	31877.7148	29401.3809	31519.6426	28490.7168	29525.5898	31626.2559	29651.2383	29913.1348	30979.5156	31849.8301	28817.8516	29465.8203	31131.7832	32042.3047	24999.9434	30953.1172	28604.0176	25706.998	28938.8672	29371.4648	31262.9824	26712.4316	28136.377	25956.0566	31766.4492	31443.5117	24826.1328	27639.5391	32077.8945	27958.666	25391.2305	30551.4707	29750.8555	25018.9004	27171.7402	27428.7852	30155.2656	27062.3301	26502.4766	26999.4902	27880.8145	27624.2812	31840.2109	31303.9766	33038.0938	29333.2246	33202.3359	30192.1777	33988.3438	31107.7461	30977.8887	28734.0605	28938.0176	31935.4785	31551.4238	28955.252	30030.3711	29974.8066	26750.5059	32055.0137	30208.1875	31376.5254	31490.3066	26720.2363	29564.793	28294.9082	28663.3613	30334.0723	30741.3965	29962.5859	29958.5195	29480.1484	26628.5332	30502.3047	33976.4648	29279.0312	31641.9902	30595.3145	27070.0605	26190.9922	27266.0664	30973.5293
0.4003	27559.6094	29960.8125	32311.3379	29290.8203	23208.3105	33745.0586	28601.625	32161.0273	28144.6973	31062.7129	29917.4551	29917.7402	29390.8691	31157.7969	31958.8418	29125.9121	28240.0234	30980.0762	30365.9434	25157.6797	29991.0684	29742.2109	25422.6348	27240.3066	29641.125	32071.873	25754.0332	27093.8555	25397.4512	31163.8301	31858.3477	25374.0137	27900.2715	31978.4746	26366.3359	25486.6172	30509.2363	29609.2266	25239.6406	27392.9082	28691.8047	29470.6426	29027.2988	26851.9941	28134.5703	28133.2715	28605.875	31222.457	29522.791	32329.0352	27791.5176	31685.6504	31410.6855	34732.1992	30848.1328	31359.9453	28591.8027	29409.1328	30852.8066	30193.375	28872.9473	30747.1562	28958.2441	27834.6387	31910.3457	29415.207	31617.9844	31828.8223	27638.9102	28381.1035	28219.8633	28577.0156	30397.9609	30457.5137	29782.5234	30605.8496	29822.0156	26044.9336	29346.3633	33049.7422	29957.1328	31977.8574	29795.9102	27147.6562	25321.4883	27862.0684	31238.9258
0.5337	27688.5605	28043.4219	30377.1738	30200.7363	23962.6504	32172.0098	29114.2324	30928.6055	28945.1641	30985.3359	30192.6816	31178.2949	28183.041	31166.541	31707.6523	29408.0391	29094.5566	31097.3672	31421.3867	26312.1133	31558.375	28344.9863	24173.8848	27357.8086	31412.043	31678.9473	26262.627	26493.7422	25332.6152	32109.5312	32695.7266	26404.4746	27819.168	31069.2227	27732.1543	25678.8145	30781.627	30133.0117	24384.8145	28972.9375	28176.2188	30880.3613	29303.5586	25661.4316	27670.1992	29192.4316	26321.3379	30781.1738	29557.4551	31722.25	27796.3418	29998.082	30825.3711	33838.1406	30594.2188	30885.4062	28395.7461	27125.252	31552.998	30174.2559	30056.5938	30615.916	30331.6914	28226.7383	30833.8711	30173.5762	33492.2266	30460.6758	27353.3848	29387.0195	28714.6504	28201.4863	30562.5117	30236.4102	28916.6816	31240.9434	30524.6914	28033.6934	30572.9375	31551.0938	30150.5371	30452.0449	29397.8398	27378.6465	27520.5391	26847.6914	30883.1016
0.6671	28215.5801	29116.0781	31533.5039	29198.4316	24184.0098	31622.3359	27927.4473	30384.0762	28742.916	29889.998	30627.8438	29797.5625	29549.998	30972.4551	30970.7188	29771.668	28751.0293	29841.4844	31525.6289	25676.2285	30891.5098	28839.5039	25271.75	27478.3066	31365.8613	31819.5527	26099.8418	27061.8418	26031.084	31956.127	33014.3125	25291.5508	26441.8164	31754.8379	27277.8008	24845.6562	30326.5293	30305.0625	26028.2598	27738.4961	28103.7051	32996.2812	29913.9004	25576.6816	26992.0742	28649.3672	26088.7832	30624.9805	30997.9473	32456.8438	28884.959	30687.2852	31158.5547	33042.6992	31100.2578	30057.123	27377.4785	27737.6133	32392.3066	29320.7383	28737.1328	29626.7324	31737.9043	25164.1035	29989.75	28871.6367	33048.5508	29435.6426	26696.584	28386.4297	29089.1816	28939.4609	29183.293	30042.2695	30037.873	30259.1934	30488.7598	25631.0156	31158.5625	33865.5898	29265.4961	31262.1289	29804.9648	26479.6953	27270.3047	27769.0625	30094.2676
0.8005	29091.5254	29023.8848	31508.502	28177.1074	24189.1875	31604.0645	28431.1113	30616.7285	28485.4336	30924.7539	29261.291	29846.4238	27241.9219	30961.9336	31271.2949	30462.0449	28929.9355	30588.5293	31050.7324	25864.2734	30812.7773	30017.7324	24876.4395	26616.041	29532.293	32214.7715	26512.5586	25199.6074	26153.9453	31207.7656	32690.7695	26875.8887	25626.0566	31068.1504	25659.2793	26474.1484	29885.0605	28176.1738	25448.9844	26661.0664	28744.5996	32008.4082	28188.0215	25608.9141	26208.4414	29459.1582	26910.0391	31482.5762	29865.3867	31422.7949	29548.498	32332.0371	32565.5273	33759.418	30856.7598	30391.9141	27218.5898	28072.6621	30396.6094	30270.0586	27566.291	29056.8613	33201.2422	27151.2285	30138.9043	28650.168	34222.0898	31140.6406	28159.2773	29468.7734	30126.6465	27844.6172	30240.9668	28814.7637	28855.668	31034.6836	30313.9414	27131.877	30467.2637	32260.7871	29937.7949	30274.9355	29422.041	26374.9473	26060.4961	27229.127	31009.3203
0.934	29001.9629	28841.2031	30847.9258	29021.4609	23864.7188	31826.4863	28300.0078	29669.0059	28265.5469	29750.1367	29338.2559	30868.9473	27258.5625	30207.998	30392.4961	28929.6328	28335.9785	31237.3027	30003.8711	25417.2383	29502.2832	28898.375	25503.877	27683.1855	29425.5703	30564.3223	27982.6465	26065.8711	25609.5859	31455.9805	32455.959	25501.7891	27018.4062	31287.0137	27019.2539	26975.0137	30156.1211	29087.0176	24674.5684	26458.4082	28829.9219	32548.8613	27650.627	25834.1445	26193.3203	28023.0859	26995.541	30698.0957	28469.7129	30416.1074	28108.5781	31533.5762	31885.8359	32410.043	30342.1973	29781.082	27575.3359	28866.8359	30159.3496	30126.1387	29882.4941	31547.1719	32451.5508	27278.8633	31110.5488	28100.1582	34626.5312	30925.6152	28555.207	28998.3281	28665.7129	28145.8652	30000.1055	28904.3906	29951.5098	30711.3008	30947.6348	26986.25	31916.8086	32377.7598	29708.1074	30150.0586	28313.709	26775.6504	26076.1289	27969.8105	31236.0977
1.0674	27507.4277	28717.5664	28884.2637	29457.9844	23326.4766	32183.2109	27858.4551	31335.8672	28067.9414	30165.7012	29177.4258	32555.6309	26914.0234	31245.2969	30443.5195	30418.9375	28969.707	30703.8086	29894.3457	26446.8848	30021.6719	29126.1719	25438.6426	26950.875	30758.793	30304.7715	29483.498	25660.2578	25593.3789	35030.8555	32369.5762	24167.3086	27160.9766	29886.2031	26066.1328	26012.2422	29686.0273	30138.5156	25984.5078	27300.5098	28125.7051	29545.0059	28412.6426	27032.4453	26672.9395	28654.5449	25794.5195	30303.7363	28330.5059	29365.8438	27904.709	29436.6465	33820.0508	33068.0586	29343.2715	30612.4043	28484.6953	28797.3184	30675.0645	30650.1133	29692.9199	30069.7617	29543.9316	27172.5254	30986.1816	28568.2266	31570.0332	29794.0996	27159.8594	29275.8301	29570.6602	27140.6699	30533.5645	30118.5801	28242.4121	30194.1328	29988.1133	27194.2051	32251.2031	31034.6875	30654.8887	31998.1133	28963.3926	27373.2383	25461.707	27837.0723	31695.3164
1.2008	26070.7383	28840.8496	28829.9707	29372.3555	24418.5059	32255.4414	27739.9609	31285.6211	29070.5879	30689.3809	28727.0469	30933.5938	26394.2363	32472.0078	30894.5273	28817.5059	28732.0371	31306.9414	31684.0293	26712.918	30809.0469	28678.8223	25288.5918	27142.377	32035.0703	31094.9473	29501.7168	25993.6875	24915.748	33389.5664	33259.9297	25516.4121	26966.9238	30492.5801	26070.2363	25700.1934	31011.7285	31353.0078	24837.9453	27605.8086	27823.4375	31603.8516	29162.543	27347.7363	27020.8184	29368.4043	25514.502	31773.1055	28760.082	30612.9922	28514.0625	29648.6035	32903.5508	32462.3105	29805.1797	29151.3086	28104.7754	26415.6973	30570.9688	30906.3281	28670.3262	32190.7871	31233.9141	26868.625	31707.1504	28945.6758	33719.6367	29541.3691	26207.5645	29745.9629	29338.8301	27587.8984	30392.3008	29955.6465	29111.2949	31371.5254	30372.0195	27754.4004	32423.5645	31493.6152	30756.1406	31790.2695	29912.8398	26275.8613	27039.1953	28109.0723	33174.4453
