x	Y_20181208_15100b_14_8g	Y_20181208_15100b_15_7g	Y_20181208_15100b_24_2g
0	30319.2344	29848.3828	27825.7246
0.1334	29908.0547	29330.9727	28643.5859
0.2668	29061.918	29301.9863	28263.1621
0.4003	29211.2988	29869.6465	29948.9277
0.5337	30985.373	29210.9629	28248.9805
0.6671	30649.3633	29758.0137	29565.9668
0.8005	30794.0703	30526.3262	29244.541
0.934	30985.5762	29808.7148	27661.7422
1.0674	30470.7422	30941.5254	27750.2188
1.2008	30658.8379	31116.1152	29681.7363
1.3342	31064.4922	30180.9043	29591.873
1.4676	32009.8828	31278.6875	29498.7598
1.6011	30025.9902	31335.9336	30142.25
1.7345	29625.4531	31009.8359	30069.4414
1.8679	29590.6016	30993.1992	29432.8086
2.0013	28882.3359	30715.6855	29462.7969
2.1347	29435.9238	30547.002	28994.9453
2.2682	29061.4316	31647.0059	30698.9941
2.4016	30592.1152	32571.2305	33159.8281
2.535	29985.0312	35510.582	36469.3867
2.6684	30843.1797	43882.8594	43643.8164
2.8019	30313.2734	61930.4219	65336.9375
2.9353	30161.7832	72938.5	100712.2422
3.0687	32712.1367	60340.7422	108653.7734
3.2021	36239.5859	42652.3516	78153.8438
3.3355	43407.8945	34044.5391	49945.5078
3.469	60320.3086	31757.1152	39067.3477
3.6024	84145.5625	30066.7461	34801.5508
3.7358	85561.1797	NaN	32386.3398
3.8692	60702.6055	NaN	NaN
4.0027	43555.8906	NaN	NaN
4.1361	36519.6211	NaN	NaN
4.2695	32874.2422	NaN	NaN
4.4029	32297.9766	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
5.3369	NaN	NaN	NaN
