x	Y_20180130_15100b_1_6g	Y_20180130_15100b_13_15g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_1g	Y_20180130_15100b_17_10g	Y_20180130_15100b_18_20g	Y_20180130_15100b_22_10g	Y_20180130_15100b_23_5g	Y_20180130_15100b_23_6g	Y_20180130_15100b_3_2g	Y_20180130_15100b_3_7g	Y_20180130_15100b_4_11g	Y_20180130_15100b_5_14g	Y_20180130_15100b_8_4g
0	36416.141	32683.898	34353.059	34359.164	39464.488	37707.691	36652.812	40372.656	33553.707	38895.082	35498.641	38746.332	32818.977	38255.098
0.1334	35742.816	33601.684	33497.453	35686.48	37586.824	37241.41	36779.367	40178.242	33098.523	37931.84	34989.812	38499.266	33310.215	38452.961
0.2668	35869.051	31970.154	36598.629	35599.777	37440.562	36239.453	38261.879	40636.465	32312.17	38880.324	35398.969	38146.98	32912.336	37401.473
0.4003	35634.129	31388.24	35101.426	36209.266	37061.68	35799.145	38359.074	41174.441	32732.373	39235.285	34799.539	38138.855	30943.611	37521.223
0.5337	36828.961	33328.402	36652.566	35708.746	37415.145	36421.23	38439.52	39539.426	34625.609	38301.535	36626.289	39498.68	29868.246	37265.676
0.6671	37338.656	32058.396	36199.09	34456.359	37673.836	37678.938	37566.102	38754.973	33038.922	36986.852	33619.836	39805.676	29735.119	37602.062
0.8005	38383.457	32792.262	33893.949	35729.316	37976.039	35927.91	38010.246	39488.387	33452.371	37257.668	36643.605	39077.02	30331.996	38165.93
0.934	36686.285	31855.684	34031.27	36931.758	36900.902	34895.219	37977.551	39394.961	33570.188	36684.098	36276.902	39286.078	31377.193	38780.074
1.0674	37665.605	31822.492	36447.973	35822.012	36507.414	35438.457	37452.371	40315.711	32634.627	37244.012	37035.98	39281.023	31897.758	37567.734
1.2008	38816.414	31633.371	34347.68	35552.934	37006.098	35648.781	36217.617	39176.863	34464.566	37127.27	35767.551	38405.238	32018.953	37020.477
1.3342	37506.812	32536.418	36555.602	35350.355	35975.324	35577.727	35769.371	38858.512	32582.729	37730.012	36248.039	39119.246	31603.637	36703.355
1.4676	36572.645	31548.055	34746.051	35228.785	35086.062	35150.168	36282.34	39208.07	33910.676	37910.598	37339.281	39131.941	30501.535	36930.828
1.6011	37455.703	30991.391	35803.52	34176.055	35198.711	35945.723	37550.43	38517.496	33297.875	38534.777	36824.719	39500.418	32454.754	38151.621
1.7345	36484.082	31086.717	34639.668	33696.402	37735.109	35440.391	36920.914	38747.969	33784.898	38880.758	36077.559	38536.312	32063.924	36149.754
1.8679	36678.191	32554.715	34149.145	34872.824	37575.262	34646.93	37497.609	39677.453	32133.822	37914.812	36137.512	37796.328	30169.814	37515.09
2.0013	35109.961	32911.801	36089.691	35776.227	36894.145	33742.969	38103.941	40466.805	32205.6	38954.547	35269.18	38970.848	30044.195	36579.168
2.1348	37649.605	32319.965	37138.727	36687.461	36325.672	35960.453	36249.875	39749.844	33758.254	37458.457	36481.512	41104.039	30641.736	36834.91
2.2682	36261.707	31525.059	37337.766	36488.586	37680.184	35884.555	39302.941	40834.992	33514.949	36752.641	37340.129	38954.277	31248.889	38037.199
2.4016	36822.73	33343.746	38185.789	38477.051	39174.535	35493.309	39771.023	41676.832	34493.242	39338.371	36130.391	38770.641	30300.23	37988.863
2.535	36990.812	35205.176	39044.852	42582.152	39564.426	35870.723	43674.367	43245.066	34879.441	39571.121	36325.773	39656.176	29877.205	38067.52
2.6684	38368.867	36864.531	47746.086	47519.156	40561.625	36604.066	49638.734	41507.793	36194.664	43300.969	37423.535	42561.395	30079.178	39563.98
2.8019	40535.691	43674.906	65275.227	48598.891	42671.191	39503.02	59713.082	46362.547	37723.863	48639.875	38123.875	49923.805	33280.316	41273.812
2.9353	46515.645	60874.309	106358.391	42431.723	44972.004	44001.875	59723.492	53967.023	39994.293	63100.105	39180.691	66976.664	35590.602	43801.039
3.0687	65860.508	99870.273	132072.406	44409.234	51526.395	54086.797	50848.859	76901.172	46868.055	86440.758	44830.195	92289.125	43907.359	48891.004
3.2021	91143	127012.859	94851.016	45159.992	63694.941	77675.531	49409.441	103018.039	62512.77	83937.711	60485.656	102226.484	52219.859	66092.414
3.3356	96287.5	101551.992	64388.723	43157.488	84066.062	95983.633	53747.41	95015.625	83480.992	61795.355	93000.164	80663.328	49383.531	105231.43
3.469	71550.195	67727.008	47700.887	39548.832	90688.859	79617.719	54880.699	74254.641	84268.883	46715.113	111159.492	58663.309	42391.129	119371.297
3.6024	51581.953	NaN	43128.152	37891.473	67827.805	56810.035	47836.559	59452.012	60544.434	42255.262	89165.25	50418.062	41195.93	90051.805
3.7358	42331.578	NaN	NaN	36064.027	49532.078	45317.293	41391.703	51583.473	44477.328	NaN	60780.164	NaN	NaN	67503.305
3.8692	NaN	NaN	NaN	NaN	42214.98	40513.219	NaN	46047	NaN	NaN	47047.977	NaN	NaN	58149.34
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40257.098	NaN	NaN	48733.832
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37334.113	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
