x	Y_20180130_15100b_1_7g	Y_20180130_15100b_10_1g	Y_20180130_15100b_11_7g	Y_20180130_15100b_12_10g	Y_20180130_15100b_12_2g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_6g	Y_20180130_15100b_16_2g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_12g	Y_20180130_15100b_19_9g	Y_20180130_15100b_21_12g	Y_20180130_15100b_21_13g	Y_20180130_15100b_22_15g	Y_20180130_15100b_22_5g	Y_20180130_15100b_23_1g	Y_20180130_15100b_23_7g	Y_20180130_15100b_24_9g	Y_20180130_15100b_3_4g	Y_20180130_15100b_4_23g	Y_20180130_15100b_6_11g	Y_20180130_15100b_9_16g	Y_20180130_15100_3_15g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_21g	Y_20180130_15100_6_10g
0	12328.979	14003.865	12351.113	14914.861	12452.975	12696.814	13544.746	12720.645	12644.963	13658.001	13176.463	12298.953	12247.775	13263.82	14108.121	12862.101	10977.233	13731.677	12520.534	12980.939	13232.084	13455.632	12187.5	12570.167	12593.455	13021.729	13619.624	11812.45
0.1334	12236.778	13728.75	12582.485	15392.762	13093.399	14344.182	13362.448	13060.842	13420.7	13747.879	13988.148	13402.591	12865.575	13680.299	14592.102	14267.587	11592.319	15451.146	12997.229	13913.038	14970.062	14522.522	13633.829	12369.444	13451.6	14478.968	14007.579	12946.242
0.2668	13144.348	14341.939	15595.396	18010.947	14811.695	16726.779	13692.627	14357.045	15850.771	14725.56	15312.419	14697.548	14311.294	15144.897	15174.396	17013.096	12742	18508.5	15263.658	14511.327	16797.391	16240.787	16962.803	13399.959	14306.889	16480.846	15232.94	14283.383
0.4003	14901.032	16840.629	19776.576	20937.098	17016.234	18493.902	17050.893	16215.57	17969.971	16786.842	17243.162	16685.457	17159.104	16717.236	15777.023	18883.057	14677.472	20842.33	18380.391	16056.434	15317.615	18739.057	17197.902	14692.687	16469.234	17203.365	16942.82	15436.131
0.5337	15687.724	17643.846	21881.805	22593.666	20030.205	17079.92	21243.586	15360.966	17765.742	17095.338	19645.074	20009.305	21816.955	17526.572	16682.801	18122.23	18324.244	19725.443	23100.656	18458.469	14562.3	18693.652	15979.21	15387.588	15958.13	16463.824	19274.037	19831.379
0.6671	14961.408	18930.336	22089.654	20293.795	19945.973	15068.1	23577.182	13993.548	16356.493	17444.436	20367.307	21069.461	25266.84	17173.836	16814.344	15899.491	20041.336	18081.967	24433.986	19004.148	13790.499	17341.574	13805.18	18359.297	13953.114	15407.743	19810.012	21752.752
0.8005	15192.358	19226.365	22375.457	18127.412	16906.531	13911.405	21440.385	13218.428	15443.054	17216.617	19008.855	19560.504	22274.646	14324.356	15975.737	14930.582	17946.742	16926.123	20947.969	16839.373	13193.084	16780.674	12834.82	17573.473	14074.231	15089.612	18495.551	20796.24
0.934	14236.924	16872.301	20946.475	18328.863	17098.344	13946.837	18807.072	14122.16	14597.206	16811.686	17119.736	16657.92	19893.174	13378.25	14888.509	14437.22	15712.077	16021.214	19901.693	15924.63	13299.921	16231.456	13167.091	16548.773	13736.471	14333.659	16132.451	19029.787
1.0674	14017.006	17276.41	21080.166	19717.633	16457.949	13230.317	17297.133	14019.414	14227.551	16482.711	16559.496	14583.063	17417.334	13649.51	13311.907	14557.924	14082.937	15783.043	18110.896	14297.401	13922.338	14480.839	13012.292	16791.65	12810.358	13809.304	13684.355	17092.26
1.2008	13456.377	18420.887	18565.537	17526.438	15571.157	13854.677	15718.378	13108.827	14309.136	16060.611	16264.743	14296.504	16401.395	12939.116	12765.71	13764.022	14089.758	15977.29	19429.553	13165.918	13522.573	14048.001	13134.399	16854.932	13285.008	14251.579	13126.221	18233.615
1.3342	13572.521	19363.986	18067.062	16042.725	16411.113	15426.542	14971.446	13903.599	14582.554	14940.027	15832.126	14243.942	15324.232	13020.605	12317.782	13744.953	14182.152	18150.129	18586.418	13096.238	13730.746	15233.496	13377.448	18228.164	15063.98	14048.395	13170.234	18006.453
1.4676	13896.666	17688.229	18610.736	14873.274	14926.314	17011.713	14081.097	14811.906	14906.573	14773.524	14593.422	14136.003	15164.703	13338.36	12570.559	14361.102	13624.86	20240.154	16827.824	14053.073	13576.79	14796.744	13764.107	16478.727	15221.948	13181.961	12912.573	17443.666
