x	Y_20180212_14590b_1_14g	Y_20180212_14590b_1_3g	Y_20180212_14590b_10_4g	Y_20180212_14590b_11_2g	Y_20180212_14590b_12_3g	Y_20180212_14590b_13_4g	Y_20180212_14590b_13_5g	Y_20180212_14590b_13_7g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_3g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_4g	Y_20180212_14590b_16_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_18_5g	Y_20180212_14590b_18_9g	Y_20180212_14590b_19_1g	Y_20180212_14590b_19_2g	Y_20180212_14590b_19_4g	Y_20180212_14590b_19_5g	Y_20180212_14590b_19_6g	Y_20180212_14590b_2_1g	Y_20180212_14590b_2_3g	Y_20180212_14590b_20_1g	Y_20180212_14590b_20_2g	Y_20180212_14590b_21_4g	Y_20180212_14590b_21_5g	Y_20180212_14590b_22_3g	Y_20180212_14590b_22_4g	Y_20180212_14590b_23_1g	Y_20180212_14590b_23_2g	Y_20180212_14590b_23_4g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_4g	Y_20180212_14590b_24_5g	Y_20180212_14590b_26_6g	Y_20180212_14590b_27_4g	Y_20180212_14590b_27_6g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_1g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_32_2g	Y_20180212_14590b_34_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_1g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_5g	Y_20180212_14590b_39_1g	Y_20180212_14590b_39_5g	Y_20180212_14590b_4_3g	Y_20180212_14590b_4_6g	Y_20180212_14590b_4_7g	Y_20180212_14590b_40_2g	Y_20180212_14590b_41_1g	Y_20180212_14590b_41_3g	Y_20180212_14590b_41_4g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_46_1g	Y_20180212_14590b_46_5g	Y_20180212_14590b_47_4g	Y_20180212_14590b_48_10g	Y_20180212_14590b_48_13g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_11g	Y_20180212_14590b_5_2g	Y_20180212_14590b_5_4g	Y_20180212_14590b_6_3g	Y_20180212_14590b_6_7g	Y_20180212_14590b_6_8g	Y_20180212_14590b_7_6g	Y_20180212_14590b_8_2g	Y_20180212_14590b_8_4g	Y_20180212_14590b_9_1g	Y_20180212_14590b_9_6g
0	19472.732	12134.811	13077.612	16808.969	12055.204	12621.978	14233.383	14616.353	13868.959	17276.643	14468.751	13863.71	12971.494	13222.148	12684.294	16042.554	13241.362	11963.509	11089.747	12432.379	14884.835	14051.3	14008.237	12254.411	12726.8	14201.06	16856.354	13239.731	12260.675	13277.398	16532.434	12421.07	14977.445	12345.222	12767.961	14682.002	13856.139	13021.197	16611.785	14228.063	13171.647	11662.749	12185.362	12638.168	14817.365	14309.4	14322.52	14627.862	12588.6	18971.18	13802.207	14000.815	12264.957	13633.356	17074.916	13504.018	13722.805	13770.486	11419.395	14916.315	11705.366	13332.646	13558.45	15188.75	16602.039	13233.426	16902.848	16514.719	15519.081	14915.034	13801.188	12978.629	12322.29	15081.963	16365.819	16169.7	14045.922	15546.34	13577.168	15170.47	15890.956
0.1334	21333.217	12644.733	13079.263	17116.914	13053.472	13937.861	14235.137	15900.62	15795.303	17558.676	14802.718	14494.3	13194.834	13925.663	13931.991	16268.636	14319.595	13489.353	11996.271	13374.428	15513.774	15946.591	14074.197	12702.128	14130.927	15063.51	18830.277	14566.145	12494.142	13933.06	16842.098	14072.705	16283.199	14631.802	14725.08	16697.395	14457.545	12842.954	14212.586	15031.616	14505.14	12348.006	12780.615	13343.52	15826.927	16176.801	17165.021	16922.891	14409.455	19481.232	13507.865	14274.019	13490.461	13666.562	18808.582	14518.31	14137.933	13780.201	11590.391	17564.66	12448.584	15469.312	14074.948	14662.326	18648.385	14911.509	16920.352	16929.947	17855.709	15335.272	16094.578	15189.005	12849.181	16121.097	16126.947	16220.212	14694.741	16762.689	13829.718	16734.453	15715.272
0.2668	23737.137	14782.197	15972.407	17469.105	14656.483	14825.453	17865.533	19689.805	18343.383	17964.965	17924.18	16435.535	14614.607	15904.81	13948.724	18526.578	15518.396	16279.04	13635.985	14016.871	16593.582	17599.811	17463.324	15297.013	15408.001	16608.213	22737.787	15867.094	13186.322	15563.258	17586.881	16124.114	17128.801	16966.906	19373.336	20762.17	15637.34	13463.005	16843.303	17231.484	18404.221	12842.171	13711.585	15421.846	17611.451	19829.789	20416.852	23517.664	18471.75	21101.793	14831.753	14507.009	14280.052	14538.59	21520.777	18360.088	14426.063	13857.126	13803.934	22493.371	14834.276	19895.605	16526.428	16234.03	20877.266	17737.137	18698.484	19372.367	20866.955	18635.596	18058.238	17633.547	13941.324	18580.498	18433.604	17279.18	16024.59	20370.107	14781.225	19279.352	17288.945
0.4003	28895.734	17633.766	18756.084	19745.594	16563.021	16921.285	19816.082	19916.125	21716.508	19543.33	22462.258	16817.375	16667.715	20410.826	15911.173	25875.971	19522.289	19499.725	15238.562	15274.442	18139.449	21040.014	23512.24	16069.366	21361.299	20030.898	25831.699	19387.049	13940.603	16425.801	20380.434	18820.219	19190.322	19677.381	25108.242	27046.926	18801.197	14745.562	22445.461	20089.32	21818.646	14820.745	14479.934	16946.701	21463.686	24492.607	19556.01	30094.262	21530.719	24034.451	15751.158	15099.51	16104.073	16115.486	21578.66	21913.801	15873.827	14974.371	16196.546	24539.646	19395.529	25652.275	17484.277	18740.832	24247.613	22212.666	20146.088	23248.262	26545.398	21380.881	21441.084	21273.26	16659.291	21649.986	22551.07	19912.148	18364.232	22106.826	15863.665	23086.307	21468.791
0.5337	34570.012	20590.908	20110.098	20893.562	18832.688	19409.236	22903.762	19235.117	21500.111	23233.961	22244.188	16389.764	19221.25	25754.217	18253.023	36092.703	24556.996	20623.197	16545.129	18434.201	22433.697	22581.004	28244.738	16058.66	26845.805	23641.23	22269.127	19731.846	16671.645	17288.725	26509.145	19251.65	23452.113	21489.459	24930.254	27896.805	21352.449	15894.583	26870.227	19835.186	25299.281	17686.359	16296.821	16748.328	22604.719	28522.633	17532.516	28150.193	24629.584	27457.092	18614.602	18435.514	16081.918	15738.293	20908.18	23328.691	20541.254	17598.768	23059.832	21953.359	24592.428	29324.562	20168.957	22281.834	24760.977	25041.865	21191.301	29428.873	27888.887	24502.205	23007.893	22651.289	18364.006	20826.393	25684.361	23566	21616.586	21614.479	17808.867	20530.664	25534.025
0.6671	34941.684	20338.42	20960.496	18600.383	20934.609	23671.564	20347.633	17655.973	21474.973	27067.559	20404.527	16090.562	18400.16	25191.189	22175.154	39329.988	26453.27	19357.236	16594.602	21190.574	25588.535	19696.123	26050.762	13772.476	28014.711	22641.465	19610.082	19196.527	20457.543	17349.322	31300.848	16748.68	26958.865	22055.684	21282.723	27890.354	20895.4	17735.225	32110.109	17860.051	27492.486	17962.904	18592.795	16381.317	22170.584	27249.994	17299.904	24194.861	22590.818	26672.605	21599.449	19952.41	16310.616	17345.023	19854.896	21004.289	27420.865	17628.494	32529.779	17599.127	25318.914	28731.592	23988.924	24939.547	21503.957	21730.281	20376.219	33015.973	26639.742	24462.301	21200.59	21687.906	17833.316	18844.279	25251.426	23518.268	21954.637	18688.33	18075.258	18513.094	21526.441
0.8005	30839.551	18588.068	21199.779	17235.943	21129.547	22024.234	18678.418	17111.156	18875.793	24657.154	18789.018	14715.956	16572.053	22925.184	24412.258	40967.031	26057.746	17881.727	15106.354	21230.23	24133.68	18768.744	20935.986	14340.543	21633.607	21108.486	18234.467	17246.025	22100.986	17131.953	30721.518	15993.382	26087.93	19634.479	18281.873	23571.066	20288.084	18681.691	31864.943	16717.068	26129.084	17131.65	17892.809	15643.323	21567.789	25028.506	17475.467	22932.268	20496.332	23816.787	24247.271	20010.484	17092.996	18080.969	18391.629	18960.504	28297.145	17342.734	35868.344	14955.364	21467.094	24178.838	25202.672	23499.248	17994.352	19014.332	19611.113	32445.285	23379.201	22334.285	20213.82	18474.57	17212.102	15125.151	23920.701	19809.867	21255.004	17931.113	17257.434	17559.492	19155.297
0.934	26412.342	16125.384	20759.867	15409.841	19197.932	20373.979	16892.227	16417.463	16540.289	22611.6	16967.09	13233.141	14627.77	21447.838	19721.547	35856.949	26190.775	16983.078	14232.599	20439.43	22155.809	17138.646	17815.416	15001.249	18689.736	19645.805	18333.059	15176.293	20879.178	16154.405	28780.006	15151.771	22979.242	17245.016	16619.949	22750.645	18115.699	18163.66	28204.398	16228.465	24486.375	14710.749	18434.996	15759.288	20061.744	22582.256	16245.521	20441.084	16910.754	20931.645	22671.547	17958.766	15894.66	18885.248	18466.348	17174.682	27652.418	16919.463	37993.641	14275.923	20160.486	18481.629	23387.168	21887.494	17101.229	17901.307	18685.926	27649.455	20819.973	19669.504	18812.238	18143.393	15834.855	14929.053	22171.178	20376.107	20146.301	16273.581	18970.572	17166.812	18871.605
1.0674	25563.438	15984.094	20695.242	14943.969	18141.938	19578.303	17149.398	14748.781	16031.457	21052.877	14771.857	13368.223	15310.659	20950.17	17241.221	30583.641	26914.721	16027.832	13848.076	19946.775	20315.367	16391.805	17230.055	15221.276	16974.334	19910.627	16882.686	15613.663	19695.73	15398.941	25010.822	15297.314	20960.52	16503.074	16212.786	19428.559	15916.605	17582.277	24347.486	14258.884	23380.908	14581.216	17771.043	14593.247	19647.133	19939.107	15576.386	20995.145	16737.033	20150.182	18680.855	15598.232	16044.36	17279.059	17505.227	15638.469	22931.219	16859.834	38650.281	13911.862	18868.514	17791.059	20920.975	18891.084	16549.504	17640.6	18759.225	23756.316	21187.428	18198.824	18078.912	18085.248	13976.656	15566.64	19448.162	19587.043	18427.639	14928.966	18541.838	16241.78	19441.705
1.2008	21755.486	15020.847	19064.092	14458.458	17081.799	18639.711	16583.043	14940.022	14314.147	22850.76	16446.197	13502.337	16176.586	18708.545	15972.208	26925.684	27361.453	15551.27	14201.74	20605.75	18239.83	15448.305	16083.307	15036.234	15942.906	19224.459	16778.148	16297.405	19179.752	14898.539	19846.188	13896.574	21511.582	15110.481	16250.256	19386.004	14432.172	17110.818	24063.197	13765.113	21639.943	13212.08	17063.543	13482.98	17242.088	18284.633	15085.766	19434.117	15266.594	19756.324	18014.971	16797.812	16695.604	17820.842	17503.164	15136.055	20481.861	15258.011	33701.176	13971.048	18650.553	16861.832	18104.748	16287.057	16475.176	17808.627	18264.715	23049.674	20815.322	15816.38	18427.979	17379.129	13996.834	14770.094	18376.342	20424.246	19253.951	13920.094	17659.182	16158.968	21825.223
