x	Y_20181208_15693_10_9g	Y_20181208_15693_2_11g	Y_20181208_15693_2_4g	Y_20181208_15693_5_8g	Y_20181208_15693_6_11g	Y_20181208_15693_7_4g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_11_12g
0	31262.584	32174.6719	26156.2734	30802.0605	30040.7383	29530.4609	28440.0938	25915.2617	31413.0996
0.1334	31571.1582	31658.8262	27092.3496	30279.7988	31673.6289	31732.9004	28348.1699	26824.2402	31497.9277
0.2668	30963.0527	31892.2188	27621.1738	30939.9922	31736.2012	31481.5391	27966.1016	26794.0039	30145.9746
0.4003	32175.543	31186.8457	27838.6328	30483.502	31400.3281	30435.9941	27529.4258	27541.4082	30821.2539
0.5337	32250.8809	31982.5137	26669.9668	30685.1211	29941.1855	31011.3496	28483.9941	28143.3086	31324.6387
0.6671	30811.1855	33337.3984	27389.4648	31255.4902	31514.9102	30442.8594	28071.2539	29653.8848	33117.2734
0.8005	31839.9453	32940.2656	26734.4473	32271.7305	30936.166	30183.5312	28295.4199	30119.832	32710.6621
0.934	31279.1367	32709.2734	26948.3105	31895.2344	31083.8223	30922.0859	28309.7656	28990.9922	32376.7773
1.0674	32659.1973	33722.5898	28000.0566	31859.1816	32555.7363	30835.5566	28614.127	29466.4395	33387.1641
1.2008	32152.7324	32261.7031	26822.9805	32246.3398	31416.6699	31925.1973	28842.627	28879.541	33550.4922
1.3342	33735.8047	33702.6055	27009.7773	32889.4844	32709.9863	31310.1953	29546.0391	29294.8945	33696.2383
1.4676	33098.4023	36257.9023	27602.584	32533.7305	32307.2871	31439.9531	29320.9004	30721.6582	33281.9727
1.6011	32329.8828	34922.6719	27865.8594	31696.7363	32569.6094	32887.0117	29907.2168	29997.9883	34519.9023
1.7345	34263.8242	35268.6484	27616.127	32762.9688	32210.1113	30891.252	30961.3984	29641.4727	33734.9688
1.8679	33862.168	35585.4023	28070.5801	32153.4824	33122.875	30056.8789	28699.2461	28973.8613	34042.8164
2.0013	34761.6953	36599.6289	28921.8965	31872.5078	32652.793	30348.5996	28313.4355	27040.9375	33401.0234
2.1347	34627.0078	37327.7148	28808.2695	32856.2109	32082.2422	31137.8945	28764.0234	27699.5879	34972.6172
2.2682	34265.7695	37450.5156	27277.4336	32651.3184	33033.1328	31559.5566	29643.8145	27829.1621	34147.4766
2.4016	34829.1797	35609.6133	27329.5938	33649.8789	32238.5195	33524.3281	29542.6699	27356.6426	34452.2305
2.535	35767.5938	36415.1133	29926.4082	33746.5234	33804.4727	33734.75	29321.1836	28095.166	32746.7207
2.6684	35017.6289	37815.7734	30532.9434	36499.7109	31222.9004	33080.4531	28669.4746	29120.8906	34123.8086
2.8019	35573.8906	40849.5742	32295.3164	44715.1172	34193.0469	35295.0156	30802.627	29016.5547	34087.9219
2.9353	35598.4414	51252.1992	37539.9805	64578.4492	32583.4492	38354.4609	31774.9062	30459.6953	35988.0117
3.0687	36810.8711	69321.9531	44386.0352	68166.7734	34497.6406	46499.3867	37706.9141	31037.5605	42089.3477
3.2021	40042.3398	75155.3984	47408.3086	55484.0039	38566.1562	57109.7109	47761.8945	33457.3398	48486.6523
3.3355	50472.8125	55309.7383	42389.7852	41172.7773	48011.0547	56064.1094	53109.9883	39579.1641	52353.1562
3.469	54379.5391	44753.3945	33552.3438	34225.6406	56323.332	45376.457	44056.8398	50703.3438	44988.9609
3.6024	48143.1641	43361.625	28836.709	31807.8691	49481.2656	38312.8203	35157.2188	59528.0547	38064.293
3.7358	40230.7695	NaN	27454.8379	31670.2656	37440.4961	33859.5547	31412.0195	47227.8008	34711.1953
3.8692	35929.1523	NaN	NaN	NaN	35816.0039	31072.084	NaN	34522.7305	33599.7695
4.0027	34278.9727	NaN	NaN	NaN	33924.6875	NaN	NaN	29518.8145	33513.1484
4.1361	32985.5195	NaN	NaN	NaN	31661.2012	NaN	NaN	28240.707	32209.9023
4.2695	31686.4883	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31844.3613
4.4029	30983.1406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
