x	Y_20181208_15692_31_14g	Y_20181208_15692_32_3g	Y_20181208_15692_36_9g	Y_20181208_15692_38_11g	Y_20181208_15692_38_12g	Y_20181208_15692_39_14g	Y_20181208_15692_39_1g	Y_20181208_15692_39_7g	Y_20181208_15692_40_18g	Y_20181208_15692_40_8g	Y_20181208_15692_41_12g	Y_20181208_15692_41_1g	Y_20181208_15692_41_5g	Y_20181208_15692_42_17g	Y_20181208_15692_43_12g	Y_20181208_15692_43_7g	Y_20181208_15692_44_11g	Y_20181208_15692_44_3g	Y_20181208_15692_44_5g	Y_20181208_15692_45_16g	Y_20181208_15692_46_13g	Y_20181208_15692_46_17g	Y_20181208_15692_46_6g	Y_20181208_15692_7_7g	Y_20181208_15692_8_2g	Y_20181208_15692_8_4g
0	28924.7285	24848.0762	28237.4316	27266.3047	30006.8516	30218.7305	30870.0488	31503.9004	29034.7734	28297.7422	25680.0586	27794.9668	29111.5488	26459.3672	28903.2832	29129.2305	29510.6855	28462.4668	23725.2402	30366.3066	27688.8594	31021.1172	25368.5137	29997.1426	28015.2324	25992.3711
0.1334	28527.3789	24880.5508	26325.9473	29451.4941	28448.7246	31188.8008	30586.5645	32547.123	29594.2852	29903.5	24594.5098	26744.7656	28778.1699	25027.6875	27190.4062	29249.6465	30857.1406	29334.5605	24215.2324	28581.2344	27107.2793	31431.8516	24466.3145	29274.6172	28398.3145	26945.6973
0.2668	29032.916	25478.8555	28005.2812	28597.1543	28138.9785	30599.0391	30124.6543	31945.5918	30305.1191	28928.0137	25135.0801	25879.8887	28584.2422	24142.1797	28231.4824	28627.7891	29351.2852	28678.0234	24599.5	27987.373	28199.3047	30470.2109	24287.1094	29041.5586	27616.3203	26349.6914
0.4003	28562.002	26404.6406	27863.4395	27946.8613	28620.5117	30764.2598	30817.75	31633.6953	29201.6523	29782.2539	24354.5469	26318.8184	29657.0469	24293.9629	28787.3203	28671.748	28331.7129	29399.1465	25552.7461	27043.293	28800.0645	30870.7734	24980.6016	28940.0547	28191.9453	26796.3438
0.5337	30967.9668	25517.2988	28118.9883	27432.1582	29009.4531	33212.7461	29916.2637	33583.4297	31116.8906	31325.8301	25081.8262	26898.2578	30774.6426	24430.4062	30149.3574	27997.6816	29107.6309	27895.1816	25828.2344	26799.5488	28921.7012	30813.8984	25574.1855	29614.4785	30474.0645	26053.2891
0.6671	29752.0117	25849.6621	28269.7246	28467.8555	28532.334	32319.1289	30032.2773	32065.3711	29066.8008	29550.5723	25224.5586	28867.8359	31108.6191	25296.7871	30175.5547	29889.2949	30620.1074	29588.0293	25541.3164	28527.5684	28830.1309	32290.1172	25012.7852	30287.5664	28373.3887	26857.4805
0.8005	29011.375	25501.2246	27678.2773	29356.6836	29318.0449	31314.4199	30392.0312	31092.4316	31537.1855	29174.9883	25777.8125	28210.6016	30423.0488	25256.6836	30223.1582	30039.1035	29611.2617	27694.9824	25969.1816	28661.4043	29332.4277	30437.4473	25992.1797	29535.1113	28599.1484	25589.3105
0.934	28425.3906	25922.0977	28704.5527	28334.9492	29543.2734	32654.7363	29568.5879	31391.9141	29079.5078	29701.0586	27034.3906	27594.2559	30130.5742	25426.5508	31252.4023	28255.002	30548.7031	27697.3027	26007.4375	27608.5566	28790.3145	29612.4863	25283.1641	30175.0859	27533.1934	26637.3203
1.0674	29236.6328	25457.6406	29703.209	28648.5332	30819.3418	33184.082	28475.7988	30642.4785	31665.6387	30555.2363	27524.7441	29179.1074	29118.252	25952.3574	29626.1309	28436.4805	29670.0332	29045.457	26546.7188	28566.3223	27475.6836	30067.8926	26114.25	28975.7188	28029.1543	24241.4141
1.2008	28285.7559	24999.5938	29203.5195	28161.207	30675.9844	32253.6621	29325.9707	30325.2988	30791.2012	30187.4961	28042.5527	28157.625	30276.7734	27075.8535	30616.5254	28433.457	31587.4766	26464.0137	25789.3711	27919.1152	26797.6699	30790.8867	26117.2402	30258.75	28898.9902	25182.5996
1.3342	28211.9316	25315.7051	29954.0938	27717.7891	29151.793	30913.7715	30389.293	28957.0547	31389.9727	30600.6953	27473.8965	27449.2285	30519.5898	26536.7266	31332.5	29084.2031	30202.4629	26687.3262	26962.4395	28729.1191	26425.9785	30053.457	25172.3105	29857.3242	29716.6445	25921.0078
1.4676	27853.4375	24964.0605	30036.5645	28763.3418	29511.8652	31001.666	29487.2695	29925.1074	31293.1387	29147.0234	26720.5332	25907.1934	31172.1895	25171.9434	31318.9473	29359.0332	29935.2754	28607.2559	26468.2871	28953.9727	28521.0039	30499.4883	26232.2676	30675.2773	30390.6855	26605.0488
1.6011	28270.4043	24597.3145	30267.418	28472.5879	29966.1777	31605.6562	31195.373	30427.0488	29186.6719	28956.5059	27127.9688	27499.8809	30284.0645	26741.5723	32814.2227	28810.2773	30499.1523	26780.9277	27604.3184	27953.7754	27971.3574	31076.2695	25465.0898	31874.8281	29841.8164	26487.416
1.7345	27045.9277	25028.4102	29277.5137	27972.4883	29907.2031	30074.252	31319.7891	30200.8145	30283.4766	27171.2383	25950.752	27184.5508	29771.5938	26587.4297	32409.1602	27995.7188	29437.1973	27704.2793	26903.5859	29326.6055	27486.9043	32404.2129	25459.2637	33615.0703	29453.4102	24983.1074
1.8679	28628.8047	24661.8438	29338.2422	29717.248	29071.2676	31331.7246	29646.2051	29181.1133	31012.5938	28462.9453	28046.3535	27187.5488	29876.0137	26787.5371	29879.6543	27286.873	30220.9609	28325.5723	26272.1953	29366.3965	27378.3926	32989.2617	25308.4883	31673.8633	29556.4219	24554.4551
