x	Y_20181208_15692b_1_1g	Y_20181208_15692b_1_4g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_16g	Y_20181208_15692b_11_19g	Y_20181208_15692b_11_5g	Y_20181208_15692b_13_3g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_15_2g	Y_20181208_15692b_17_4g	Y_20181208_15692b_2_2g	Y_20181208_15692b_3_5g	Y_20181208_15692b_5_1g	Y_20181208_15692b_5_4g	Y_20181208_15692b_7_2g	Y_20181208_15692b_7_5g	Y_20181208_15692b_8_3g	Y_20181208_15692b_9_3g	Y_20181208_15692b_9_6g
0	30548.3477	34858.8398	27572.8965	25638.002	34964.0898	31932.8105	27643.0234	30603.7617	31214.1621	30089.5293	29305.416	28578.1797	30031.8438	31487.6504	32169.6641	30103.5488	29910.5137	28110.832	31695.373	28525.1191	29825.1426	31297.6035
0.1334	30001.4688	32760.5938	29247.1953	28174.1992	34430.0273	31701.668	28371.4805	28833.2832	31548.5039	31587.6895	30702.8613	27240.6953	32289.4043	31564.5586	31677.4453	30237.6328	28260.6094	28673.4609	32958.7695	27591.0156	29359.9375	31094.2227
0.2668	31101.1797	32686.1328	28937.75	29108.6289	33072.8789	30562.0918	28104.6484	29889.543	31516.1816	30143.707	29025.248	28602.1172	30279.3945	32368.8105	31968.8105	29064.082	29197.8906	29608.0586	33106.2031	27844.4473	30944.498	30637.2148
0.4003	30433.207	32135.3945	28669.9746	27998.6797	32481.4023	29833.248	27816.1465	30075.3027	30354.7793	29786.2148	29265.6895	27833.5117	31010.7012	33062.7188	30655.6934	30154.8633	29098.2129	30069.9336	31920.582	27602.1016	29427.9727	31976.3613
0.5337	31467.043	32143.8535	28251.0547	29146.1016	33524.8203	29142.4785	26344.0059	31809.8652	31251.7891	30893.3242	29528.6406	28138.1875	32553.2539	32536.8672	32140.4785	29008.7383	30107.5996	30022.4102	31702.8457	27591.5508	29577.9531	32312.9082
0.6671	31418.7832	32237.125	29012.1836	28942.748	33997.4531	29936.082	27388.25	31171.3047	31252.2363	29379.9531	31447.6875	29727.0859	33050.7773	31199.666	32723.7754	30510.459	30382.3633	29034.2012	34208.4961	28343.6328	31122.4609	32181.4961
0.8005	31569.6055	32268.0391	29200.7852	27936.6543	33668.5352	29113.0156	27258.8164	31474.9316	32106.8066	29393.6836	30382.4727	30627.1895	34016.7422	32011.5547	32712.1621	31270.3125	29036.6016	31056.5957	33158.0469	30998.9121	30710.668	31902.8027
0.934	31118.7715	30151.375	29624.1562	28439.6504	32385.4023	29290.6035	28048.2207	31071.5684	31533.1504	29903.7852	30876.502	29563.5176	32183.6777	33930.5977	31748.7246	31229.041	27714.4883	31113.5234	33668.125	29319.0586	30387.959	32436.5156
1.0674	31299.8574	30661.4492	31745.6094	28669.5137	33425.1562	30300.3535	28351.1621	31254.6895	30010.0371	29647.7031	30196.1016	27722.9609	32094.8125	33898.5664	32151.0801	31872.4258	28567.3789	30508.5059	32854.75	28683.8066	30865.6953	31453.832
1.2008	31380.791	29589.707	31045.8398	28816.0117	33402.6016	28246.0352	28343.2891	31341.8984	29801.9453	29824.4941	31469.752	28936.6797	32111.0547	33572.6289	33305.3438	32033.8281	30025.2695	32744.5996	32026.1855	28810.8809	31468.6387	30639.6758
1.3342	31906.582	32454.8613	29950.9238	28336.9258	31926.4902	29255.7793	28223.0859	32065.2773	30928.2168	30466.9473	30751.7598	28932.5527	31839.7363	32607.6426	32319.5449	31107.9668	29565.418	32401.7578	32000.0156	28651.7324	31111.9336	29953.4785
1.4676	31453.2402	31978.793	31198.168	28666.2578	31448.8633	30634.9707	27795.7773	31917.9805	32866.5469	29925.1133	29307.0879	28260.5137	31517.2461	32540.8633	31744.8574	32045.2598	30604.334	31473.5625	32024.8301	27853.043	31364.7695	29557.1738
1.6011	31993.8535	33902.9219	30721.6934	28203.3672	31143.7949	30004.332	28583.6816	31973.1621	33639.1484	30325.4531	29917.332	29904.9023	32189.7031	33191.8086	32833.8008	32053.6484	30489.0059	32393.25	33455.5156	30074.2285	31776.1035	29934.1074
1.7345	32432.3828	32587.0898	29049.498	27887.4023	30453.7266	30282.9668	27899.6699	32435.8398	33370.5391	31638.6875	30744.875	30830.5879	33804.2109	32019.3281	33409.9141	31783.5293	32074.5742	32027.457	32680.3301	28841.6738	32174.0645	30546.4805
1.8679	32196.4531	32950.9258	30074.9551	30469.2598	31503.1211	30143.4648	28625.1289	31521.1328	33956.7383	31882.7617	31181.0234	32227.9141	33994.168	33253.2852	35448.8828	31511.0312	35001.9609	32979.8203	33103.0781	30982.4824	34115.1875	31105.998
2.0013	34054.0391	35079.2812	32065.3262	31075.4707	32516.6738	32345.8535	28616.793	30541.75	36625.6055	33459.5742	32222.5449	35083.0859	35083.0273	33295.5703	40034.1211	32791.3047	40528.9102	35972.7344	35461.2812	33773.2031	33520.0586	33267.3242
2.1347	35399.6094	35714.8047	35233.6836	30930.0918	35412.2617	32149.8809	30322.0312	31335.2031	41935.8516	41286.2305	33173.2305	41946.332	36195.2812	33948.0664	48992.3672	37886.2656	53354.8359	43781.375	40161.1562	42439.707	36679.8984	37470.8555
2.2682	39159.5078	40346.1172	44825.2734	34018.6211	36567.3516	35810.4297	34513.8789	33907.3359	51185.9375	56892.5078	41724.8281	59047.3398	42382.7656	35130.3789	63879.8281	46373.7617	69730.8594	61203.4219	50838.2773	59616.0156	42381.2148	47984.6445
