x	Y_20181208_15693_10_3g	Y_20181208_15693_10_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_18_6g	Y_20181208_15693_19_5g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_7_5g
0	27141.5547	33197.7266	30960.7324	31794.9902	32050.4355	31561.3125	30334.4336	27478.0879	32962.4805	32648.0684	31915.4199	24614.752	28178.2715
0.1334	26551.1875	33136.7969	29475.4902	30972.8984	31659.291	32254.8691	30020.0859	26541.6113	30281.4102	31598.4336	30034.4414	24057.3496	28419.6621
0.2668	27545.1328	33261.6055	31331.1621	31989.168	32294.0488	32605.6797	29675.998	25879.8535	32221.2832	31124.0918	31003.7891	24424.668	26390.9551
0.4003	26695.9141	33756.5039	31312.1973	31208.5059	32117.873	31960.3184	30041.2305	26783.4336	33198.1758	31283.3242	31148.0137	24107.1953	28189.666
0.5337	27176.6445	31889.7617	31934.918	30742.0352	31071.6699	33466.1836	30139.6055	26690.2754	31144.9023	30552.3262	31656.8633	23201.9746	29541.2949
0.6671	28838.9844	32777.7383	32705.1328	32458.8145	32879.1289	36911.2344	31388.0332	27155.7422	32266.7617	32239.1484	32277.4785	25645.9355	28389.5352
0.8005	27248.2012	32915.2539	31457.2676	33737.9453	33495.2422	39449.1953	32539.2793	26588.3984	32896.6953	31543.9551	34211.9062	25742.166	30906.2812
0.934	29419.4629	32142.9727	31751.3691	36276.2734	35478.9062	51144.2773	33645.5	26216.1406	33424.0234	31381.3867	35111.2773	25665.3086	32102.6797
1.0674	30247.9531	33976.8906	33549.0078	43463.0352	42623.5391	73871.9844	35348.1875	28544.0938	34846.5938	34252.5977	38931.0547	30166.916	37169.875
1.2008	34785.5312	37631.7891	34336.2148	64039.9336	56395.9609	89185.3203	37513.0312	30578.1094	42198.207	39630.1484	54709.4961	38401.0156	52893.4922
1.3342	42642.6953	51345.332	34249.1562	98368.0703	74400.9922	70789.6641	44038.5508	37050.9883	58406.8945	50648.9062	75242.2109	43495.4141	72600.9375
1.4676	56391.6836	66857.9375	34342.8672	122546.7891	81065.3594	49997.918	64183.2617	47587.8633	69916.9531	80259.8672	80053.3047	37688.1797	76356.8984
1.6011	72012.1484	66071.9844	37717.707	88762.4219	59288.8984	38278.4688	93775.5938	55085.2539	57516.4609	110911.0625	60985.7461	29652.5156	57217.207
