x	Y_20181208_15692_30_5g	Y_20181208_15692_31_16g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_37_9g	Y_20181208_15692_38_1g	Y_20181208_15692_39_12g	Y_20181208_15692_42_12g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_47_3g	Y_20181208_15692_8_5g	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_22g	Y_20181208_15692b_12_6g	Y_20181208_15692b_17_1g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_7g
0	12955.3682	11602.4121	9635.3594	12219.8857	13515.8115	12845.3789	11444.1338	10935.4951	10220.7754	11784.0488	12923.6143	11380.7471	12311.4883	10623.7451	12843.3936	12878.4492	12497.2197	11497.582	13860.7959	12041.2373	13727.4873	12378.4658
0.1334	12867.3418	13136.7295	10695.0205	13496.6436	13616.0352	14522.5635	11498.2734	10803.834	10663.8926	12271.2236	12940.9268	12944.7432	13408.126	11592.2891	12730.9395	15201.1025	11466.1387	11356.7461	13793.793	11930.0908	15465.7568	11950.9619
0.2668	14569.6572	15858.4961	11927.4219	14462.6094	13454.5381	16181.7607	12639.9336	12592.7988	12403.502	13119.2881	13818.5088	14583.4854	13697.667	13016.2305	14636.9678	18220.3379	12176.9326	11525.8379	14621.374	11808.2852	16274.7881	12492.5273
0.4003	15813.1621	16448.0254	15036.6758	14873.8174	13376.3516	15832.4512	13627.4609	13935.3701	13456.4404	14605.5488	15514.9668	16669.9863	16836.3223	14609.8877	16535.6289	16662.9512	12870.5918	11749.5938	16190.0117	12801.6475	14878.9707	14295.8936
0.5337	16095.1016	15379.9717	18360.2402	15823.6621	13815.582	14673.3125	13309.2568	15736.707	13969.2119	16923.7969	16976.6504	15340.3096	20783.6133	16413.9277	19483.8281	13465.2783	12256.1963	13749.7529	21339.002	13988.1211	13599.2363	16059.0801
0.6671	14524.3613	13327.6396	17481.2578	16144.9883	15366.1611	13722.5674	12088.3496	15093.0762	13518.3232	18993.2949	14745.0322	14424.2979	21878.4297	15514.2158	17302.918	12047.0254	12807.5283	15875.2744	21744.2441	13937.7168	12322.3984	17626.9473
0.8005	13871.4121	12191.6523	16374.3682	15461.043	18792.3066	13592.5723	11960.2842	14633.5576	13359.5654	17853.3105	13962.9033	15233.4277	22127.4941	15094.6465	15173.2344	12485.2715	13907.4238	16712.8105	21041.793	13160.0332	12231.1084	18338.7207
0.934	14489.9189	11857.4229	15417.1162	14281.9668	21264.0527	14064.3428	12240.7637	14938.8691	13074.9941	15148.2275	13054.7344	16968.0488	19877.0898	15007.3887	14442.5391	12281.5674	14813.6426	15160.4209	18830.6523	13324.5498	12263.4834	17110.2266
1.0674	14496.2344	11279.3438	14369.7979	13492.9277	20980.416	14593.5098	13392.1416	14347.4277	13160.4219	14956.7148	12942.8223	17172.2012	18764.0195	14721.4492	14209.4775	11720.7227	17136.0742	13441.3262	17655.4062	14057.7842	11507.5244	16224.7002
1.2008	13396.8848	10414.4209	14861.4639	13274.8799	18782.0547	14001.4844	13621.4795	14131.9062	12890.8311	16083.4258	13096.7939	17053.207	16291.8096	14464.4033	14438.5088	11463.6914	16720.0469	13139.0518	16812.1113	14773.4658	11635.791	16458.373
