x	Y_20180224_15100_11_2g	Y_20180224_15100_14_3g	Y_20180224_15100_4_1_1g	Y_20180224_15100_7_3g
0	36593.781	38435.199	37364.719	36840.098
0.1334	36837.184	37543.801	36209	35708.703
0.2668	36708.66	38553.352	35575.555	38369.797
0.4003	37446.926	38166.453	37250.273	35956.543
0.5337	37819.047	39281.543	36251.766	37132.273
0.6671	38372.363	39635.719	37031.465	36558.375
0.8005	37982.363	39713.531	37962.25	37423.117
0.934	36080.262	39887.543	36792.527	36539.746
1.0674	36405.93	38976.152	35109.75	37095.242
1.2008	37067.895	39181.289	34478.035	39121.371
1.3342	36902.23	41073.902	35051.84	35850.137
1.4676	35518.113	40614.477	36037.371	35299.273
1.6011	37636.562	40782.512	36663.746	36287.223
1.7345	35749.996	41596.891	35256.57	37966.953
1.8679	34504.773	39198.301	35995.207	36315.207
2.0013	35209.773	39632.438	36323.438	37414.844
2.1348	36900.238	39847.059	37448.719	36778.98
2.2682	35608.121	41674.449	37506.324	36792.133
2.4016	36255.438	41375.426	39583.523	38698.477
2.535	36833.391	41033.023	45416.266	42875.855
2.6684	43639.438	42311.195	59655.312	51252.645
2.8019	56970.617	45842.359	79753.844	71425.844
2.9353	84474.422	55222.156	84417.125	106258.398
3.0687	99038.773	81550.961	65010.879	116086.312
3.2021	79887.648	110859.758	48798.984	75865.188
3.3356	52833.348	109589.078	42295.582	52182.129
3.469	42064.504	74072.711	40463.242	43543.961
3.6024	39703.52	61891.199	NaN	40257.156
3.7358	NaN	52030.195	NaN	NaN
3.8692	NaN	47437.609	NaN	NaN
4.0027	NaN	42954.18	NaN	NaN
4.1361	NaN	42349.996	NaN	NaN
4.2695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN
