x	Y_20181208_15693_1_11g	Y_20181208_15693_1_2g	Y_20181208_15693_1_3g	Y_20181208_15693_10_4g	Y_20181208_15693_13_11g	Y_20181208_15693_18_12g	Y_20181208_15693_18_1g	Y_20181208_15693_19_8g	Y_20181208_15693_5_6g	Y_20181208_15693_6_8g	Y_20181208_15693_7_7g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_1g	Y_20181208_15693b_11_12g	Y_20181208_15693b_2_10g	Y_20181208_15693b_3_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_24g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_7g
2.9353	80819.3516	49993.6875	35266.8359	37424.7344	38616.3281	34770.5859	35572.4102	NaN	38192.3828	NaN	NaN	39576.1406	NaN	56134.7773	42837.1406	34536.082	30391.1699	36257.4531	31796.7461	38085.0547	NaN	43452.3359	32699.6641
3.0687	53747.2148	35849.8008	35160.0391	NaN	35344.3125	33302.7188	33851.2578	NaN	31737.8008	NaN	NaN	36775.4883	NaN	44168.2852	46604.793	34493.2539	NaN	34079.5781	29627.7598	36779.2578	NaN	37353.8125	33191.6328
3.2021	41276.1211	31809.3867	34255.7422	NaN	33399.8398	32688.832	31265.5664	NaN	30625.7539	NaN	NaN	34738.7852	NaN	38806.4492	NaN	NaN	NaN	NaN	30539.9805	NaN	NaN	35893.9805	32210.332
3.3355	37656.9531	29744.7441	34693.3203	NaN	32972.2852	32708.9414	31329.3477	NaN	32100.4727	NaN	NaN	NaN	NaN	36845.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35007.2109	NaN
3.469	33102.3086	28158.2402	35649.6445	NaN	34631.8164	NaN	31837.7969	NaN	NaN	NaN	NaN	NaN	NaN	36998.7734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	33639.3594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35921.3047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	35096.4375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.4703	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.6037	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.7371	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.8706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
