x	Y_20181208_15693_1_13g	Y_20181208_15693_12_8g	Y_20181208_15693_13_13g	Y_20181208_15693_13_8g	Y_20181208_15693_14_5g	Y_20181208_15693_16_3g	Y_20181208_15693_17_1g	Y_20181208_15693_18_11g	Y_20181208_15693_18_4g	Y_20181208_15693_3_3g	Y_20181208_15693_3_6g	Y_20181208_15693_4_7g	Y_20181208_15693_6_1g	Y_20181208_15693_6_5g	Y_20181208_15693_7_10g	Y_20181208_15693_7_4g	Y_20181208_15693_8_4g	Y_20181208_15693b_1_4g	Y_20181208_15693b_10_18g	Y_20181208_15693b_10_9g	Y_20181208_15693b_11_2g	Y_20181208_15693b_13_20g	Y_20181208_15693b_2_12g	Y_20181208_15693b_3_13g	Y_20181208_15693b_4_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_6g	Y_20181208_15693b_6_5g	Y_20181208_15693b_7_4g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_10g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_14g	Y_20181208_15693b_8_8g	Y_20181208_15693b_9_5g
0	13337.5537	12604.8584	11040.1133	12562.1514	13398.6953	12313.0498	9927.4883	11811.6348	12194.6631	13353.6602	12489.7783	11429.667	10189.707	11837.9941	10106.1826	16392.877	12415.2285	13731.8516	13138.6934	10901.0039	10404.3818	14804.0615	14091.0811	13213.0908	11754.9912	12073.9902	10848.416	12592.332	11528.6943	15456.5625	12789.4043	11833.5459	13113.9268	11540.9443	13061.0176
0.1334	14830.8076	15530.5967	11776.1172	12997.5459	15036.8184	12996.4004	10416.9844	13823.9316	12222.6729	14138.4619	15069.1152	11540.7471	10853.4365	12614.7559	10722.4512	16525.3027	15446.5635	14274.0527	15884.582	10885.9043	10900.752	15158.126	13017.8428	17197.7578	12620.0762	12953.8184	11660.25	14220.9277	11758.7021	19400.7578	13571.8164	12783.8262	15707.3984	11741.4629	13261.1396
0.2668	17805.1426	18209.8418	14552.1416	14115.2773	16534.1367	13626.7061	11386.3594	14179.8594	13468.9443	16560.3691	18261.4297	14174.6865	11960.0811	13747.0156	11617.0176	15296.7793	16584.2754	14872.8555	18381.9414	11359.4365	13637.1816	16561.498	14473.3418	20437.3008	15047.6094	13506.9824	12653.0127	15133.5068	11985.9531	22499.875	13893.2314	13983.2568	21383.5859	12516.0664	17328.5391
0.4003	19947.457	17302.0996	16630.7812	15024.8945	14954.417	16501.252	11687.916	14030.7725	16702.2012	20253.5195	22973.7969	16511.6934	12849.1045	15668.6787	12430.3174	14618.1719	15843.7285	17673.5742	18333.2793	11526.4961	18829.834	22339.6406	16771.3164	24523.0547	18126.8359	14669.4062	13924.4248	13508.4639	12774.9746	22058.4824	15707.6572	15586.541	26381.8652	13225.335	21640.6152
0.5337	16625.3457	14718.4658	15160.1436	14433.877	13395.209	15024.7754	12716.001	13091.0977	17597.0117	19718.4531	23739.3457	17397.4062	13861.1904	18165.5293	13758.6455	13608.1797	15053.832	19628.418	17207.9395	12206.9365	23122.9141	26649.9102	16926.5664	22044.7051	18518.127	17430.166	14031.8887	12645.1484	15267.21	19367.6738	18471.5742	16759.4473	27159.1426	12614.5537	21372.1211
0.6671	13340.3125	13232.8838	13872.7598	13419.5977	13451.9229	14121.2637	14134.4482	12344.5537	16754.7227	17670.8867	20766.5391	13884.0283	14459.2295	21302.2637	13671.3711	13914.7314	14490.6201	17110.4141	16359.001	13309.4463	23177.9492	25420.4805	15986.3955	19150.2871	16801.5312	16451.4355	13515.1738	12263.0049	18891.0703	17175.2148	22852.4922	17065.873	23303.7852	12318.7422	18202.3281
0.8005	12653.8086	12307.8652	12534.0283	12930.5527	13527.0703	13041.9346	14593.6963	12466.3164	15250.1221	15757.5059	20012.4551	13969.3945	13483.71	19923.0586	13675.0752	13240.2715	14027.1377	15670.04	15846.9385	13581.0908	21740.0039	21585.373	16472.416	17387.916	14407.5391	14558.2578	12541.9609	12081.3613	19404.2051	14299.0381	23497.0801	15871.7178	18987.8848	11809.2646	16142.1279
0.934	12046.6777	11057.4121	12563.7988	12605.3799	12549.0527	13989.4678	13081.6621	12165.1855	13640.1279	15071.0723	19192.9941	13438.752	13140.8652	18293.582	14258.6729	13065.6025	15810.2236	14256.6768	15859.5566	12662.9004	18361.4395	19262.0117	17538.4902	16807.709	14331.2412	14738.3379	11812.209	11675.5068	17954.3086	13368.5146	19036.7715	15080.6025	17005.6074	12065.6055	14612.5088
1.0674	12306.4814	10934.6182	11757.1152	12836.2871	12329.1602	14685.8525	12885.6885	11641.9277	13097.5312	13845.0039	19641.7227	12933.9609	12586.0303	17110.7617	13716.2402	13443.1875	17988.7266	13493.8037	14241.875	11910.6885	16305.0381	16437.0781	16613.7031	15529.1064	13516.2051	16646.0977	11273.9531	11354.3301	15638.8828	12800.3271	17066.3457	14625.5928	15657.3525	12067.5703	12448.8193
1.2008	12806.8359	11107.4414	11270.3115	12342.0059	11459.5098	13714.3916	13642.9297	11982.791	12176.7139	13417.4883	17663.7344	13151.207	11902.8398	16674.6348	13961.999	15616.7764	17960.4258	12571.2686	13988.5166	11523.5703	15200.1143	13826.9189	16116.6729	15312.8545	13967.1084	17368.6855	11524.0488	11483.3926	13560.6504	12858.1367	16596.8945	15205.0781	14488.7148	12626.751	13207.6367
1.3342	12448.8818	10487.3135	11933.9785	12038.8213	11710.1865	13419.1074	12465.4092	11804.9551	11888.8896	14504.3574	17041.6074	13406.6172	11774.3896	16490.0371	14176.2441	15902.2939	15421.1904	12451.6621	13646.6328	11337.5342	15175.9463	13253.1787	16260.7295	14281.5293	14275.5762	15780.1885	10754.7051	12015.4844	12826.1279	13188.2295	17508.4648	15760.0918	14314.3633	13343.0977	13544.7334
1.4676	11699.1973	10685.8184	11638.9688	12739.0811	12089.2871	14285.9121	12697.1504	11462.835	12351.2295	15647.0674	16151.9268	14009.1133	11508.3789	16961.7695	14386.7373	14069.3916	13314.0059	12622.5391	13471.6953	11353.2549	13528.6963	13852.1436	15110.7207	13593.0029	13956.6797	14825.8164	11847.3438	12230.1436	13009.5312	13040.9473	18219.7109	15562.123	14025.3213	14339.9717	13184.3193
1.6011	10805.9365	11125.9238	12207.7441	12183.4668	12407.9277	14132.6475	12085.0312	10702.7275	11756.1592	16121.8701	15837.0996	14628.4482	10995.167	15810.3965	13475.3408	14177.9932	13140.7549	12543.5176	12292.0127	10738.335	13649.7842	13422.0322	14980.2432	14136.1738	13378.3369	15654.6211	12894.1992	13324.7803	13709.3643	12731.3965	18612.4961	15201.6104	12737.0156	15965.5947	12879.0908
1.7345	10591.8447	11207.1963	11686.1689	11718.9307	11708.5674	13356.4531	12058.8564	11010.2061	11908.9873	15621.7939	15962.6807	13387.6992	11125.9893	13927.1592	13794.0752	14282.9238	12308.3184	13734.1006	12096.458	11140.1875	12714.4668	13374.7393	13574.5186	14223.2998	13213.4756	15648.3516	13279.667	12740.207	13910.0166	14283.4434	16843.9531	15535.7129	12945.8389	17581.7695	12716.877
1.8679	10820.9805	11419.6553	12213.6221	11324.2109	12457.1855	13514.1875	11538.1348	11176.1328	12801.7275	15833.9053	15949.7871	13794.5771	11618.1465	13235.3838	12606.834	14335.5879	13044.7373	14043.5059	11702.7656	11742.249	12740.2148	13507.8564	13175.1504	14486.624	13298.2578	14241.7012	14090.4619	12114.1846	13143.04	14585.7891	14357.7793	15139.8721	13731.7383	16035.376	13305.5957
2.0013	10836.1133	11273.9736	11646.1113	12103.3193	12850.7549	14547.0371	10912.3105	11800.8428	13581.4336	15101.4189	15916.5205	13118.6758	12226.8408	12326.9189	12630.7471	14197.6631	13058.917	13826.2305	11746.5879	11871.2363	12214.7686	13714.6465	12478.8516	15331.1758	13221.7402	14496.918	14252.9785	11573.5801	12793.8721	14439.4229	13106.7275	13393.7568	14120.5039	14877.6191	13332.2871
2.1347	11438.21	11561.5059	11500.4443	10823.2852	13032.9336	14665.6885	10742.3271	11546.6494	14794.8838	15985.3564	15982.9824	12294.5498	12861.8447	12482.3438	13325.5635	14428.7734	13182.501	14278.7461	11827.0586	11849.875	12115.9619	14372.3174	12077.2422	15854.7344	12076.541	13021.7852	14539.4902	11437.2334	13542.6104	13803.75	12685.2168	13297.252	14973.4639	13446.2783	13523.6396
2.2682	12385.0742	11765.1309	11021.8086	10584.6787	12490.4463	14014.2939	10901.7412	11331.6494	16330.1562	15810.9658	15013.7861	12287.2881	12474.8408	12855.125	12971.168	13899.7852	14885.4023	14188.2812	11838.8945	13184.7793	11386.0996	14917.4512	11276.166	13997.9043	12184.6631	13229.8867	13229.6016	11221.4033	13076.5137	12778.7725	12590.7275	12594.417	16391.1992	12587.7275	14197.6123
2.4016	13083.5332	10903.2871	11511.2168	10346.2197	12370.1641	13528.0361	11902.5352	11351.5938	16068.7051	14357.835	14023.8916	12044.6172	11869.6973	12347.6924	13058.0986	13551.9961	14602.3779	15921.3477	12063.3438	12616.084	11709.5371	14023.6406	10572.166	12854.2246	11611.9971	13178.9004	13689.2412	11449.2002	11943.5127	11487.5459	12320.5967	11695.9922	16691.4531	12338.5889	14170.9883
2.535	13155.7168	11120.54	11166.5664	10585.8027	11660.3008	13183.6973	12551.1885	12445.9131	15478.6543	14394.4033	13899.0781	13320.7559	11548.9424	12103.4512	13772.0117	13282.6553	13999.8994	17214.3359	13021.5625	12801.5176	12528.7588	13429.7314	10982.0732	12283.1289	10893.6973	13514.0654	13000.6348	11017.1826	11288.7344	11821.9951	11876.8701	11011.042	16135.3623	11305.8516	14300.1182
2.6684	13104.8408	11308.4395	10834.0078	10562.3887	11946.9424	13075.2363	11811.8027	12538.1914	14476.5713	13538.3496	12844.2256	12609.8545	12372.415	12152.207	12860.1699	13175.6641	13804.3779	17326.1738	13249.7881	13543.2051	12014.3916	13834.125	10702.6797	11966.335	10476.6055	14298.7432	12359.5527	11039.8564	11114.0459	12064.3799	12156.5986	11486.0947	16817.0312	11716.5586	13851.3516
2.8019	12784.6357	10902.0322	10576.9473	10889.4443	12601.9883	12431.7979	12136.7676	12465.8418	13852.0498	12978.0645	12105.4482	11464.6172	12375.835	12243.0166	11869.1504	13209.0254	15405.9316	15093.0303	12614.1836	14982.5527	11630.5332	14532.6836	10369.6953	11938.5986	11396.0195	14567.9473	11462.1914	11260.9268	11148.3242	11748.3818	12152.9668	11993.3438	14575.6846	11128.1816	13081.2197
2.9353	12511.543	11053.0107	11033.957	10853.4648	12698.6377	12281.9883	12319.6201	12349.3906	13569.6562	12272.4385	12088.0225	11498.9121	12068.1377	12517.4668	10977.3447	12869.6738	14281.9121	13878.8877	12835.3369	16149.418	11838.8604	13701.0938	10912.9229	11590.3945	11188.6807	13727.2715	11120.6328	11752.1436	10814.957	12055.0674	12026.8535	11588.1611	13373.5107	10864.9639	12838.3984
3.0687	12737.5674	11068.8848	11474.7754	NaN	NaN	11121.3174	12338.3711	12316.5439	12220.5088	12004.6826	11174.4082	11549.5518	11939.4688	12671.0127	11066.7178	NaN	13302.04	12806.499	12323.9854	15861.623	11318.6934	14153.4805	10919.542	12319.4336	11172.2803	12670.4336	11422.0771	11908.5566	10469.2236	11329.8887	12002.6064	11838.3955	13173.2988	11178.6699	12224.4375
3.2021	13288.6768	NaN	NaN	NaN	NaN	11446.2715	11679.8262	12554.9717	12178.1826	12011.1406	11197.083	11888.1162	11983.3672	NaN	10336.3301	NaN	13674.7178	13168.123	12122.5684	13866.668	11688.5859	13455.9053	10703.4277	12170.1191	11665.6523	12246.6416	11183.6162	10978.2822	10358.0273	11226.8047	11353.4199	12511.79	13004.3125	11808.666	12365.3682
