x	Y_20181208_15692_37_13g	Y_20181208_15692_38_7g	Y_20181208_15692_39_15g	Y_20181208_15692_39_1g	Y_20181208_15692_41_4g	Y_20181208_15692_41_5g	Y_20181208_15692_43_6g	Y_20181208_15692_8_9g	Y_20181208_15692b_12_16g	Y_20181208_15692b_8_7g
0	28923.9434	28983.1348	29914.6562	28869.4414	29490.9473	29154.0645	31372.5742	30672.9082	28813.6465	26314.6309
0.1334	28818.0879	29809.707	29621.6484	28873.0645	29979.3125	30268.4629	29983.8438	29771.2656	28935.6914	24561.2188
0.2668	30251.9902	28385.9004	30687.4141	29154.1582	30005.6504	29269.7188	31721.4629	30400.3145	29855.4316	25266.5371
0.4003	29645.0781	28673.7344	30423.8125	31050.9688	31122.7852	30990.5723	30782.5566	30986.8086	28488.793	23991.9766
0.5337	29785.1523	29872.6191	31110.9199	29012.9551	32285.0195	30328.7324	31334.8652	29812.3613	30036.3789	24981.0039
0.6671	31429.2227	31172.0645	32990.4844	30501.7168	31908.1445	29675.0781	30754.457	29740.7715	29905.3066	24723.8047
0.8005	32610.3711	31180.6094	31903.5996	31229.8223	31371.9199	31590.1055	29399.4668	28938.6797	29226.5918	25970.5566
0.934	30392.8906	32127.707	31504.0156	31409.1309	31889.6172	30722.8945	27946.916	30252.9805	29504.7305	27344.7246
1.0674	29212.4043	32428.6582	32534.3438	30860.4844	32119.6309	31779.5547	29987.2207	30417.1934	30201.8184	25368.6348
1.2008	30261.9258	31020.7715	33753.5586	30715.5078	33098.0039	30639.1738	28227.0293	29908.8594	30553.4512	26272.0195
1.3342	31035.5332	31627.7949	33188.5195	31200.8945	32711.2383	31356.4473	30669.8965	28930.0488	29748.832	27028.5742
1.4676	31086.2988	33048.625	32212.6758	30038.4805	32154.5098	31094.0059	28857.8574	31236.3594	31287.9551	28076.4316
1.6011	29671.7363	35383.6758	32116.9551	31287.9258	32105.5703	32940.8398	28659.1875	31436.4258	31122.8047	27468.1504
1.7345	32428.5547	34701.8984	32582.3145	31563.293	33017.0117	32341.6777	28422.2617	30251.1758	31802.6953	27389.7969
1.8679	33969.8398	33998.0039	34341.4062	31839.4883	31244.7656	36147.2695	29519.791	30459.3867	31641.0898	29062.3398
2.0013	40172.8828	34627.7422	33709.7773	31474.7969	33977.2891	40080.6211	31281.7852	31522.7812	33097.75	28514.6055
2.1347	48097.3516	34161.4805	37079.6914	32435.6289	37839.6836	53386.5156	31202.7246	33239.3477	35715.7969	29692.0312
2.2682	66592.6406	37509.8164	40268.0195	35742.0938	49355.8672	82380.5781	39215.5039	36302.0625	39414.625	36187.9844
2.4016	64421.0156	42143	53866.3164	37987.2617	62629.5078	98648.0391	50152.7891	39364.7266	36394.0625	44681.7812
2.535	47694.4414	55715.457	59923.25	35711.3555	64348.9219	79422.9062	54338.4375	38953.5117	34053.4375	58139.875
2.6684	38985.7461	68980.3281	49482.8867	34294.8867	49209.8867	51498.7656	44720.5547	35295.4414	30394.998	56559.6914
2.8019	33890.8438	62744.3047	38970.2617	33257.6641	38390.6992	40234.3164	34258.418	34210.8125	29351.9102	43487.5664
2.9353	33486.9375	45783.9141	35332.9414	32558.2383	34955.8789	36727.4805	28979.959	NaN	29607.0195	32253.5664
3.0687	33223.1562	37367.5352	NaN	31730.9805	33113.0977	34151.6992	29245.1895	NaN	29456.7988	31019.0254
3.2021	32457.0195	33600.1328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	31547.5	33347.7344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
